gc_t0_ms,period,window_s,direction,attack1_volume,attack2_volume,volume_ratio_2_to_1,attack1_delta_frac_aligned,attack2_delta_frac_aligned,abs_attack2_delta_frac,attack2_signed_impact,impact_deterioration,rev2_aligned_aggr_share,hit2,hit3,t50_s,fixed5m_atr,entry_i,end_i,mid0,post_volume,post_aligned_volume,post_opposite_volume,post_aligned_share,post_aligned_delta_frac,post_signed_impulse_atr,post_impulse_efficiency,pre_volume,pre_aligned_delta_frac,volume_acceleration,aligned_delta_acceleration,xau_signed_move_confirm_atr,gc_xau_lead_gap
1786060200000,TRAIN,0,1,10.0,22.0,2.2,-0.4,-0.2727272727272727,0.2727272727272727,0.1581920903953136,0.07644478111317757,0.36363636363636365,True,True,12.306,2.315852562181728,946732,947583,4248.65,,,,,,,,,,,,,
1786060200000,TRAIN,5,1,10.0,22.0,2.2,-0.4,-0.2727272727272727,0.2727272727272727,0.1581920903953136,0.07644478111317757,0.36363636363636365,True,False,12.598,1.4683847767455447,946744,947596,4248.975,,,,,,,,13.0,-0.5384615384615384,,,0.27270002996764026,
1786060200000,TRAIN,15,1,10.0,22.0,2.2,-0.4,-0.2727272727272727,0.2727272727272727,0.1581920903953136,0.07644478111317757,0.36363636363636365,True,False,77.1,0.6796523823797022,946769,947604,4249.54,14.0,8.0,6.0,0.5714285714285714,0.14285714285714285,0.5536723163839573,0.03954802259885409,15.0,-0.4666666666666667,0.9333333333333333,0.6095238095238096,0.7467785436022946,-0.19310622721833726
1786060200000,TRAIN,30,1,10.0,22.0,2.2,-0.4,-0.2727272727272727,0.2727272727272727,0.1581920903953136,0.07644478111317757,0.36363636363636365,True,False,64.197,0.9145939466580125,946819,947630,4249.85,19.0,11.0,8.0,0.5789473684210527,0.15789473684210525,0.6327683615812544,0.03330359797796076,22.0,-0.2727272727272727,0.8636363636363636,0.43062200956937796,1.0068924183404127,-0.3741240567591583
1786061580000,TRAIN,0,1,14.0,6.0,0.42857142857142855,-0.14285714285714285,-0.3333333333333333,0.3333333333333333,-0.32258064516129303,0.9141299409357221,0.33333333333333337,False,False,,-1.9362034351997164,950575,951447,4245.93,,,,,,,,,,,,,
1786061580000,TRAIN,5,1,14.0,6.0,0.42857142857142855,-0.14285714285714285,-0.3333333333333333,0.3333333333333333,-0.32258064516129303,0.9141299409357221,0.33333333333333337,False,False,,-1.6863707338833123,950586,951462,4245.48,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0,-0.28106178898102546,0.28106178898102546
1786061580000,TRAIN,15,1,14.0,6.0,0.42857142857142855,-0.14285714285714285,-0.3333333333333333,0.3333333333333333,-0.32258064516129303,0.9141299409357221,0.33333333333333337,False,False,,-2.0985946910547257,950611,951490,4245.73,2.0,1.0,1.0,0.5,0.0,0.19354838709689318,0.09677419354844659,4.0,0.0,0.5,0.0,-0.124916350658486,0.3184647377553792
1786061580000,TRAIN,30,1,14.0,6.0,0.42857142857142855,-0.14285714285714285,-0.3333333333333333,0.3333333333333333,-0.32258064516129303,0.9141299409357221,0.33333333333333337,False,False,91.497,-2.1048405085883317,950651,951524,4244.6,13.0,5.0,8.0,0.38461538461538464,-0.23076923076923078,-0.25806451612938647,-0.01985111662533742,6.0,-0.3333333333333333,2.1666666666666665,0.10256410256410253,-0.8306937318758644,0.5726292157464778
1786072020000,TRAIN,0,1,16.0,19.0,1.1875,-0.25,-0.2631578947368421,0.2631578947368421,-0.04697986577198414,0.4712222900142395,0.368421052631579,False,False,61.201,-1.0965563808241314,985627,986399,4257.120000000001,,,,,,,,,,,,,
1786072020000,TRAIN,5,1,16.0,19.0,1.1875,-0.25,-0.2631578947368421,0.2631578947368421,-0.04697986577198414,0.4712222900142395,0.368421052631579,False,False,60.301,-1.361242403781369,985646,986416,4257.360000000001,2.0,2.0,0.0,1.0,1.0,0.04697986577198414,0.02348993288599207,1.0,1.0,2.0,0.0,0.1134368669816733,-0.06645700120968916
1786072020000,TRAIN,15,1,16.0,19.0,1.1875,-0.25,-0.2631578947368421,0.2631578947368421,-0.04697986577198414,0.4712222900142395,0.368421052631579,False,False,,-1.451046590141753,985682,986444,4257.615,4.0,4.0,0.0,1.0,1.0,0.09395973154396828,0.02348993288599207,4.0,-0.5,1.0,1.5,0.2339635381494325,-0.14000380660546421
1786072020000,TRAIN,30,1,16.0,19.0,1.1875,-0.25,-0.2631578947368421,0.2631578947368421,-0.04697986577198414,0.4712222900142395,0.368421052631579,False,False,24.451,-1.1343686698175925,985723,986478,4256.79,14.0,6.0,8.0,0.42857142857142855,-0.14285714285714285,-0.187919463087082,-0.013422818791934427,19.0,-0.2631578947368421,0.7368421052631579,0.12030075187969924,-0.15597569210033813,-0.031943770986743864
1786096110000,TRAIN,0,1,141.0,180.0,1.2765957446808511,-0.10638297872340426,-0.15555555555555556,0.15555555555555556,0.6730769230769074,0.0,0.4222222222222222,False,False,122.998,0.6020461245013672,1055761,1056802,4317.075000000001,,,,,,,,,,,,,
