sl_atr,tp_atr,rr_nominal,period,n,ev_r,pf,wr_pct,tp_rate_pct,sl_rate_pct,timeout_rate_pct,cum_r,maxdd_r,max_consec_losses
0.25,0.5,2.0,TRAIN,54,-0.6666666666666666,0.25,11.11111111111111,11.11111111111111,88.88888888888889,0.0,-36.0,36.0,19
0.25,0.5,2.0,VALID,74,-0.6351351351351351,0.27692307692307694,12.162162162162163,12.162162162162163,87.83783783783784,0.0,-47.0,47.0,26
0.25,0.5,2.0,POST_CHECK,45,-0.9333333333333333,0.045454545454545456,2.2222222222222223,2.2222222222222223,97.77777777777777,0.0,-42.0,42.0,41
0.25,0.5,2.0,FULL,173,-0.7225433526011561,0.20382165605095542,9.248554913294797,9.248554913294797,90.7514450867052,0.0,-125.0,125.0,41
0.25,0.75,3.0,TRAIN,54,-0.7037037037037037,0.24,7.4074074074074066,7.4074074074074066,92.5925925925926,0.0,-38.0,38.0,19
0.25,0.75,3.0,VALID,74,-0.6216216216216216,0.31343283582089554,9.45945945945946,9.45945945945946,90.54054054054053,0.0,-46.0,46.0,26
0.25,0.75,3.0,POST_CHECK,45,-0.9111111111111111,0.06818181818181818,2.2222222222222223,2.2222222222222223,97.77777777777777,0.0,-41.0,41.0,41
0.25,0.75,3.0,FULL,173,-0.7225433526011561,0.2236024844720497,6.9364161849710975,6.9364161849710975,93.0635838150289,0.0,-125.0,125.0,41
0.25,1.0,4.0,TRAIN,54,-0.7222222222222222,0.23529411764705882,5.555555555555555,5.555555555555555,94.44444444444444,0.0,-39.0,39.0,21
0.25,1.0,4.0,VALID,74,-0.527027027027027,0.417910447761194,9.45945945945946,9.45945945945946,90.54054054054053,0.0,-39.0,39.0,26
0.25,1.0,4.0,POST_CHECK,45,-0.8888888888888888,0.09090909090909091,2.2222222222222223,2.2222222222222223,97.77777777777777,0.0,-40.0,41.0,41
0.25,1.0,4.0,FULL,173,-0.6820809248554913,0.2716049382716049,6.358381502890173,6.358381502890173,93.64161849710982,0.0,-118.0,118.0,47
0.25,1.25,5.0,TRAIN,54,-0.6666666666666666,0.29411764705882354,5.555555555555555,5.555555555555555,94.44444444444444,0.0,-36.0,37.0,21
0.25,1.25,5.0,VALID,74,-0.52093418569932,0.4246398546007511,9.45945945945946,6.756756756756757,90.54054054054053,2.7027027027027026,-38.54912974174968,38.549129741749674,26
0.25,1.25,5.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,1.25,5.0,FULL,173,-0.6910354320332351,0.2665697561855848,5.780346820809249,4.624277456647398,94.21965317919076,1.1560693641618496,-119.54912974174968,120.54912974174967,53
0.25,1.5,6.0,TRAIN,54,-0.6111111111111112,0.35294117647058826,5.555555555555555,5.555555555555555,94.44444444444444,0.0,-33.0,35.0,21
0.25,1.5,6.0,VALID,74,-0.45336661813175244,0.4992667202723928,9.45945945945946,6.756756756756757,90.54054054054053,2.7027027027027026,-33.54912974174968,33.549129741749674,26
0.25,1.5,6.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,1.5,6.0,FULL,173,-0.6447926574667612,0.3156495107868118,5.780346820809249,4.624277456647398,94.21965317919076,1.1560693641618496,-111.54912974174968,113.54912974174968,53
0.25,1.75,7.0,TRAIN,54,-0.7037037037037037,0.2692307692307692,3.7037037037037033,3.7037037037037033,96.29629629629629,0.0,-38.0,38.0,24
0.25,1.75,7.0,VALID,74,-0.4347923293390263,0.5197816064016726,9.45945945945946,4.054054054054054,90.54054054054053,5.405405405405405,-32.174632371087945,32.65031760539398,26
0.25,1.75,7.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,1.75,7.0,FULL,173,-0.6657493200640922,0.29771565627385405,5.202312138728324,2.8901734104046244,94.79768786127167,2.312138728323699,-115.17463237108794,115.17463237108794,53
0.25,2.0,8.0,TRAIN,54,-0.6666666666666666,0.3076923076923077,3.7037037037037033,3.7037037037037033,96.29629629629629,0.0,-36.0,36.0,24
0.25,2.0,8.0,VALID,74,-0.4063408123680504,0.5512056699218548,9.45945945945946,2.7027027027027026,90.54054054054053,6.756756756756757,-30.06922011523573,31.544905349541764,26
0.25,2.0,8.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,2.0,8.0,FULL,173,-0.6420186133828655,0.3227486578339285,5.202312138728324,2.312138728323699,94.79768786127167,2.8901734104046244,-111.06922011523574,111.06922011523572,53
0.25,2.25,9.0,TRAIN,54,-0.6460822045617493,0.32906847987818344,3.7037037037037033,1.8518518518518516,96.29629629629629,1.8518518518518516,-34.88843904633446,34.88843904633446,24
0.25,2.25,9.0,VALID,74,-0.3793137853410234,0.5810564161905115,9.45945945945946,2.7027027027027026,90.54054054054053,6.756756756756757,-28.06922011523573,30.544905349541764,26
0.25,2.25,9.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,2.25,9.0,FULL,173,-0.6240327119165907,0.34172159047823053,5.202312138728324,1.7341040462427744,94.79768786127167,3.4682080924855487,-107.95765916157019,107.9576591615702,53
0.25,2.5,10.0,TRAIN,54,-0.6275636860432308,0.34829924910895266,3.7037037037037033,1.8518518518518516,96.29629629629629,1.8518518518518516,-33.88843904633446,33.88843904633446,24
0.25,2.5,10.0,VALID,74,-0.35228675831399636,0.6109071624591682,9.45945945945946,2.7027027027027026,90.54054054054053,6.756756756756757,-26.06922011523573,29.544905349541764,26
0.25,2.5,10.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,2.5,10.0,FULL,173,-0.6066916714541629,0.3600142734050598,5.202312138728324,1.7341040462427744,94.79768786127167,3.4682080924855487,-104.95765916157019,104.9576591615702,53
0.25,2.75,11.0,TRAIN,54,-0.724100873637326,0.24804909276123838,3.7037037037037033,0.0,96.29629629629629,3.7037037037037033,-39.101447176415604,39.101447176415604,24
0.25,2.75,11.0,VALID,74,-0.34307495236579366,0.6210813958944965,9.45945945945946,1.3513513513513513,90.54054054054053,8.108108108108109,-25.38754647506873,28.544905349541764,26
0.25,2.75,11.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,2.75,11.0,FULL,173,-0.6328843563669615,0.3323841850519248,5.202312138728324,0.5780346820809248,94.79768786127167,4.624277456647398,-109.48899365148434,109.48899365148432,53
0.25,3.0,12.0,TRAIN,54,-0.724100873637326,0.24804909276123838,3.7037037037037033,0.0,96.29629629629629,3.7037037037037033,-39.101447176415604,39.101447176415604,24
0.25,3.0,12.0,VALID,74,-0.3295614388522802,0.6360067690288249,9.45945945945946,1.3513513513513513,90.54054054054053,8.108108108108109,-24.38754647506873,27.544905349541764,26
0.25,3.0,12.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,3.0,12.0,FULL,173,-0.6271040095461522,0.33848174602753456,5.202312138728324,0.5780346820809248,94.79768786127167,4.624277456647398,-108.48899365148434,108.48899365148432,53
0.25,3.25,13.0,TRAIN,54,-0.724100873637326,0.24804909276123838,3.7037037037037033,0.0,96.29629629629629,3.7037037037037033,-39.101447176415604,39.101447176415604,24
0.25,3.25,13.0,VALID,74,-0.31604792533876663,0.6509321421631533,9.45945945945946,1.3513513513513513,90.54054054054053,8.108108108108109,-23.38754647506873,26.544905349541764,26
0.25,3.25,13.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,3.25,13.0,FULL,173,-0.621323662725343,0.3445793070031443,5.202312138728324,0.5780346820809248,94.79768786127167,4.624277456647398,-107.48899365148434,107.48899365148435,53
0.25,3.5,14.0,TRAIN,54,-0.724100873637326,0.24804909276123838,3.7037037037037033,0.0,96.29629629629629,3.7037037037037033,-39.101447176415604,39.101447176415604,24
0.25,3.5,14.0,VALID,74,-0.39226055191110637,0.5667570023668378,9.45945945945946,0.0,90.54054054054053,9.45945945945946,-29.02728084142187,32.1846397158949,26
0.25,3.5,14.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,3.5,14.0,FULL,173,-0.653923283340101,0.31019068281806417,5.202312138728324,0.0,94.79768786127167,5.202312138728324,-113.12872801783747,113.12872801783746,53
0.25,3.75,15.0,TRAIN,54,-0.724100873637326,0.24804909276123838,3.7037037037037033,0.0,96.29629629629629,3.7037037037037033,-39.101447176415604,39.101447176415604,24
0.25,3.75,15.0,VALID,74,-0.39226055191110637,0.5667570023668378,9.45945945945946,0.0,90.54054054054053,9.45945945945946,-29.02728084142187,32.1846397158949,26
0.25,3.75,15.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,3.75,15.0,FULL,173,-0.653923283340101,0.31019068281806417,5.202312138728324,0.0,94.79768786127167,5.202312138728324,-113.12872801783747,113.12872801783746,53
0.25,4.0,16.0,TRAIN,54,-0.724100873637326,0.24804909276123838,3.7037037037037033,0.0,96.29629629629629,3.7037037037037033,-39.101447176415604,39.101447176415604,24
0.25,4.0,16.0,VALID,74,-0.39226055191110637,0.5667570023668378,9.45945945945946,0.0,90.54054054054053,9.45945945945946,-29.02728084142187,32.1846397158949,26
0.25,4.0,16.0,POST_CHECK,45,-1.0,0.0,0.0,0.0,100.0,0.0,-45.0,45.0,45
0.25,4.0,16.0,FULL,173,-0.653923283340101,0.31019068281806417,5.202312138728324,0.0,94.79768786127167,5.202312138728324,-113.12872801783747,113.12872801783746,53
0.5,0.75,1.5,TRAIN,54,-0.38337775100548654,0.48504568635783823,24.074074074074073,24.074074074074073,74.07407407407408,1.8518518518518516,-20.702398554296273,22.202398554296273,15
0.5,0.75,1.5,VALID,74,-0.12162162162162163,0.8125,35.13513513513514,35.13513513513514,64.86486486486487,0.0,-9.0,11.5,5
0.5,0.75,1.5,POST_CHECK,45,-0.4444444444444444,0.42857142857142855,22.22222222222222,22.22222222222222,77.77777777777779,0.0,-20.0,23.5,8
0.5,0.75,1.5,FULL,173,-0.28729710146992066,0.5965792944169668,28.32369942196532,28.32369942196532,71.09826589595376,0.5780346820809248,-49.70239855429627,52.70239855429627,15
0.5,1.0,2.0,TRAIN,54,-0.35408240492738075,0.5359384274466025,22.22222222222222,18.51851851851852,75.92592592592592,5.555555555555555,-19.12044986607856,22.12044986607856,15
0.5,1.0,2.0,VALID,74,-0.02702702702702703,0.96,32.432432432432435,32.432432432432435,67.56756756756756,0.0,-2.0,7.0,5
0.5,1.0,2.0,POST_CHECK,45,-0.38971749769830444,0.5065102408973239,20.0,20.0,77.77777777777779,2.2222222222222223,-17.5372873964237,20.999999999999996,8
0.5,1.0,2.0,FULL,173,-0.2234551286849842,0.6949831698530996,26.011560693641616,24.85549132947977,72.83236994219652,2.312138728323699,-38.657737262502266,43.657737262502266,15
0.5,1.25,2.5,TRAIN,54,-0.2614898123347882,0.6572905859480312,22.22222222222222,18.51851851851852,75.92592592592592,5.555555555555555,-14.12044986607856,19.370902491304342,15
0.5,1.25,2.5,VALID,74,-0.02891455345120319,0.9588523662425186,29.72972972972973,25.675675675675674,70.27027027027027,4.054054054054054,-2.139676955389036,7.377519572542054,6
0.5,1.25,2.5,POST_CHECK,45,-0.44527305325386,0.466203106665275,15.555555555555555,15.555555555555555,82.22222222222221,2.2222222222222223,-20.0372873964237,22.537287396423704,8
0.5,1.25,2.5,FULL,173,-0.2098116428779844,0.7223688128517229,23.699421965317917,20.809248554913296,75.14450867052022,4.046242774566474,-36.2974142178913,43.7974142178913,15
0.5,1.5,3.0,TRAIN,54,-0.1885456817635507,0.7528914050521923,22.22222222222222,16.666666666666664,75.92592592592592,7.4074074074074066,-10.181466815231737,17.370902491304342,15
0.5,1.5,3.0,VALID,74,0.015625641686624125,1.021816933675664,28.37837837837838,21.62162162162162,71.62162162162163,6.756756756756757,1.1562974848101852,6.365112084514198,6
0.5,1.5,3.0,POST_CHECK,45,-0.3896294273456374,0.5329091299169334,15.555555555555555,13.333333333333334,82.22222222222221,4.444444444444445,-17.53332423055368,20.53332423055368,8
0.5,1.5,3.0,FULL,173,-0.15351730382066606,0.798401724056713,23.121387283236995,17.91907514450867,75.72254335260115,6.358381502890173,-26.55849356097523,36.558493560975236,15
0.5,1.75,3.5,TRAIN,54,-0.31192696314688223,0.6101129434107176,18.51851851851852,11.11111111111111,79.62962962962963,9.25925925925926,-16.84405600993164,21.364987748996178,16
0.5,1.75,3.5,VALID,74,0.06347367421119128,1.0886236205967574,28.37837837837838,16.216216216216218,71.62162162162163,12.162162162162163,4.6970518916281545,6.273390796607739,6
0.5,1.75,3.5,POST_CHECK,45,-0.3229627606789707,0.6128296624881233,15.555555555555555,13.333333333333334,82.22222222222221,4.444444444444445,-14.533324230553681,18.03332423055368,8
0.5,1.75,3.5,FULL,173,-0.1542215511494634,0.8005055256471272,21.965317919075144,13.872832369942195,76.878612716763,9.248554913294797,-26.680328348857167,33.68032834885717,16
0.5,2.0,4.0,TRAIN,54,-0.2682140739955534,0.6647510212295941,18.51851851851852,9.25925925925926,79.62962962962963,11.11111111111111,-14.483559995759885,20.864987748996178,16
0.5,2.0,4.0,VALID,74,0.1260815260735655,1.1760383571593178,28.37837837837838,12.162162162162163,71.62162162162163,16.216216216216218,9.330032929443846,6.0,6
0.5,2.0,4.0,POST_CHECK,45,-0.25629609401230397,0.6927501950593133,15.555555555555555,13.333333333333334,82.22222222222221,4.444444444444445,-11.53332423055368,15.533324230553681,8
0.5,2.0,4.0,FULL,173,-0.09645578784317758,0.8752288733277087,21.965317919075144,11.560693641618498,76.878612716763,11.560693641618498,-16.686851296869722,24.68685129686972,16
0.5,2.25,4.5,TRAIN,54,-0.28342782136246975,0.6457348928361445,18.51851851851852,5.555555555555555,79.62962962962963,14.814814814814813,-15.305102353573366,20.80920727216341,16
0.5,2.25,4.5,VALID,74,0.1707649992084036,1.238426602668337,28.37837837837838,10.81081081081081,71.62162162162163,17.56756756756757,12.636609941421867,6.0,6
0.5,2.25,4.5,POST_CHECK,45,-0.2291236802192011,0.7253247017831563,15.555555555555555,11.11111111111111,82.22222222222221,6.666666666666667,-10.31056560986405,14.810565609864051,8
0.5,2.25,4.5,FULL,173,-0.07502345677465637,0.9029528301210603,21.965317919075144,9.248554913294797,76.878612716763,13.872832369942195,-12.979058022015552,22.459124862952176,16
0.5,2.5,5.0,TRAIN,54,-0.25565004358469196,0.6804551873150452,18.51851851851852,5.555555555555555,79.62962962962963,14.814814814814813,-13.805102353573366,20.80920727216341,16
0.5,2.5,5.0,VALID,74,0.21299300562739026,1.2973864606872996,28.37837837837838,9.45945945945946,71.62162162162163,18.91891891891892,15.76148241642688,6.0,6
0.5,2.5,5.0,POST_CHECK,45,-0.17521421519862546,0.7899517991092415,15.555555555555555,8.88888888888889,82.22222222222221,8.88888888888889,-7.884639683938145,12.884639683938145,8
0.5,2.5,5.0,FULL,173,-0.03426739665366841,0.9556731453424449,21.965317919075144,8.092485549132949,76.878612716763,15.028901734104046,-5.928259621084635,21.459124862952176,16
0.5,2.75,5.5,TRAIN,54,-0.3014796535972311,0.6231713553174578,18.51851851851852,1.8518518518518516,79.62962962962963,18.51851851851852,-16.27990129425048,20.91160641861394,16
0.5,2.75,5.5,VALID,74,0.20345147542489378,1.2840643241781537,28.37837837837838,6.756756756756757,71.62162162162163,21.62162162162162,15.05540918144214,6.0,6
0.5,2.75,5.5,POST_CHECK,45,-0.130769770754181,0.8432321541567015,15.555555555555555,8.88888888888889,82.22222222222221,8.88888888888889,-5.884639683938145,11.773278213440348,8
0.5,2.75,5.5,FULL,173,-0.04109324738003749,0.9468435136047347,21.965317919075144,5.780346820809249,76.878612716763,17.341040462427745,-7.109131796746485,24.612538983060986,16
0.5,3.0,6.0,TRAIN,54,-0.29222039433797187,0.6347447868104248,18.51851851851852,1.8518518518518516,79.62962962962963,18.51851851851852,-15.77990129425048,20.80920727216341,16
0.5,3.0,6.0,VALID,74,0.16652029111962502,1.2325000291104198,28.37837837837838,4.054054054054054,71.62162162162163,24.324324324324326,12.322501542852251,6.0,6
0.5,3.0,6.0,POST_CHECK,45,-0.10235447020767646,0.8772966434494074,15.555555555555555,6.666666666666667,82.22222222222221,11.11111111111111,-4.605951159345441,11.273278213440346,8
0.5,3.0,6.0,FULL,173,-0.046608964801986556,0.939708614885526,21.965317919075144,4.046242774566474,76.878612716763,19.07514450867052,-8.063350910743674,24.112538983060986,16
0.5,3.25,6.5,TRAIN,54,-0.2829611350787126,0.6463182183033916,18.51851851851852,1.8518518518518516,79.62962962962963,18.51851851851852,-15.27990129425048,20.80920727216341,16
0.5,3.25,6.5,VALID,74,0.18468421266480956,1.2578609761735078,28.37837837837838,2.7027027027027026,71.62162162162163,25.675675675675674,13.666631737195907,6.0,6
0.5,3.25,6.5,POST_CHECK,45,-0.1009005314637929,0.8790396368304634,15.555555555555555,4.444444444444445,82.22222222222221,13.333333333333334,-4.54052391587068,10.773278213440346,8
0.5,3.25,6.5,FULL,173,-0.03557106053714021,0.9539867808931989,21.965317919075144,2.8901734104046244,76.878612716763,20.23121387283237,-6.153793472925257,23.612538983060986,16
0.5,3.5,7.0,TRAIN,54,-0.2737018758194533,0.6578916497963585,18.51851851851852,1.8518518518518516,79.62962962962963,18.51851851851852,-14.77990129425048,20.80920727216341,16
0.5,3.5,7.0,VALID,74,0.1442205461428843,1.2013645361240273,28.37837837837838,0.0,71.62162162162163,28.37837837837838,10.672320414573438,6.0,6
0.5,3.5,7.0,POST_CHECK,45,-0.07867830924157067,0.9056798143541934,15.555555555555555,4.444444444444445,82.22222222222221,13.333333333333334,-3.54052391587068,10.273278213440346,8
0.5,3.5,7.0,FULL,173,-0.04420869824016024,0.9428134981686298,21.965317919075144,1.7341040462427744,76.878612716763,21.38728323699422,-7.648104795547721,23.112538983060986,16
0.5,3.75,7.5,TRAIN,54,-0.2644426165601941,0.6694650812893255,18.51851851851852,1.8518518518518516,79.62962962962963,18.51851851851852,-14.27990129425048,20.80920727216341,16
0.5,3.75,7.5,VALID,74,0.1442205461428843,1.2013645361240273,28.37837837837838,0.0,71.62162162162163,28.37837837837838,10.672320414573438,6.0,6
0.5,3.75,7.5,POST_CHECK,45,-0.10076246795455703,0.879205148468265,15.555555555555555,2.2222222222222223,82.22222222222221,15.555555555555555,-4.534311057955066,9.773278213440348,8
0.5,3.75,7.5,FULL,173,-0.0470629591770642,0.9391213469677788,21.965317919075144,1.1560693641618496,76.878612716763,21.965317919075144,-8.141891937632106,22.612538983060986,16
0.5,4.0,8.0,TRAIN,54,-0.25518335730093483,0.6810385127822923,18.51851851851852,1.8518518518518516,79.62962962962963,18.51851851851852,-13.77990129425048,20.80920727216341,16
0.5,4.0,8.0,VALID,74,0.1442205461428843,1.2013645361240273,28.37837837837838,0.0,71.62162162162163,28.37837837837838,10.672320414573438,6.0,6
0.5,4.0,8.0,POST_CHECK,45,-0.11557345267250461,0.8614496216698332,15.555555555555555,0.0,82.22222222222221,17.77777777777778,-5.2008053702627075,10.43977252574799,8
0.5,4.0,8.0,FULL,173,-0.04802535404589452,0.9378764336787719,21.965317919075144,0.5780346820809248,76.878612716763,22.54335260115607,-8.308386249939751,22.11253898306099,16
0.75,1.25,1.6666666666666667,TRAIN,54,-0.22290433622026345,0.6701878621448025,29.629629629629626,24.074074074074073,66.66666666666666,9.25925925925926,-12.036834155894226,14.441398991610257,8
0.75,1.25,1.6666666666666667,VALID,74,-0.08308094396234196,0.8673991415945261,36.486486486486484,31.08108108108108,60.810810810810814,8.108108108108109,-6.147989853213305,14.685291599892967,6
0.75,1.25,1.6666666666666667,POST_CHECK,45,-0.3323907500050273,0.5328136451838568,26.666666666666668,22.22222222222222,68.88888888888889,8.88888888888889,-14.95758375022623,19.95758375022623,7
0.75,1.25,1.6666666666666667,FULL,173,-0.1915746113256287,0.7114965103347687,31.79190751445087,26.589595375722542,64.73988439306359,8.670520231213873,-33.142407759333764,38.14240775933374,8
