cohort,expiry_min,signals,fills,fill_rate_pct,ev_r_per_signal,ev_r_per_fill,pf,wr_fill_pct,max_dd_r,early_ev_r_signal,late_ev_r_signal,ci_lo,ci_hi
COMMON_CLOCK,1,245,44,17.959183673469386,0.07845937980961015,0.4368760921216928,1.7561106237003719,43.18181818181818,4.200000000000003,0.11120055791396058,0.045984390145132475,0.007005387474110186,0.16176114875621836
COMMON_CLOCK,3,245,101,41.224489795918366,0.05767029236292799,0.13989328345462732,1.2162980359083,37.62376237623762,8.400000000000006,0.053973657116265276,0.0613368736644959,-0.03966989865471726,0.16385328444012365
COMMON_CLOCK,5,245,126,51.42857142857143,0.05217116096689199,0.10144392410228995,1.1521638096358053,35.714285714285715,11.100000000000016,0.11160421724086834,-0.006778699727621146,-0.0742123886428297,0.1934613210459797
COMMON_CLOCK,10,245,157,64.08163265306122,0.015345578497847805,0.0239469218596988,1.0347402886507733,33.12101910828025,13.846644104670327,0.04420858031532878,-0.013282764768271543,-0.14064667885738014,0.1856165053684125
COMMON_CLOCK,15,245,170,69.38775510204081,-0.002032409663001626,-0.002929060984914113,0.9957519868414929,32.94117647058823,14.27252635204243,0.030014114315033737,-0.0338183927956871,-0.160251930918227,0.16977115752021435
COMMON_CLOCK,30,245,194,79.18367346938776,-0.02068933966294436,-0.02612828978052254,0.962760864756251,31.958762886597935,18.57262535949917,0.0018444035739134212,-0.04303988173527486,-0.1941722651512301,0.1570557935787366
COMMON_CLOCK,60,245,206,84.08163265306122,-0.05386370653349536,-0.06406120437236101,0.9103460585027605,30.582524271844658,19.622625359499168,-0.030350021698914376,-0.0771862231986895,-0.23079312844713082,0.12941034902759851
AMP_ALL,1,279,51,18.27956989247312,0.05861154230723064,0.32063961379837935,1.5331287191785519,41.17647058823529,4.200000000000003,0.11123687000899961,0.006362109803331435,-0.011383822771027249,0.14003742027350094
AMP_ALL,3,279,117,41.935483870967744,0.0652994178197435,0.15571399633938826,1.2436515110488502,38.46153846153847,8.400000000000006,0.06861034532337634,0.06201213979827944,-0.029518667966608052,0.1627138243755211
AMP_ALL,5,279,147,52.68817204301075,0.048810372497556716,0.09264009474026072,1.1394565700545012,36.054421768707485,12.481032332629677,0.11919256356223656,-0.021069088630946847,-0.07324033367562865,0.18228398873793694
AMP_ALL,10,279,179,64.15770609318996,0.012709054558790315,0.019809085038561408,1.0288461264340492,33.5195530726257,16.044094385716047,0.08126258007363348,-0.055354802916661144,-0.13858064965415015,0.16883432947720872
AMP_ALL,15,279,194,69.53405017921148,0.0006430553025360839,0.0009248063371523773,1.0013492980130967,33.50515463917525,18.85701358745849,0.06880412790071264,-0.06703115249136782,-0.15061177952356192,0.15470733392746888
AMP_ALL,30,279,223,79.92831541218638,-0.028403217624579542,-0.035535864202949366,0.9492238227405987,32.28699551569507,25.25293892976744,0.021417763077571116,-0.07786833417885766,-0.19531290554485137,0.13793711178942786
AMP_ALL,60,279,235,84.22939068100358,-0.05753483010947198,-0.06830730893847951,0.9039622980622832,31.06382978723404,27.924219023707092,-0.014393171334551123,-0.10036833417885767,-0.22925185922842775,0.11227550078958405
