candidate,feed,period,n,ev5,ev15,days15,positive_days15,long_ev15,short_ev15,gate_pass
A_REV,RITHMIC,TRAIN,1116,-0.019027826204031005,-0.041501713900759116,15,6,0.23466964041173521,-0.29672213788609875,False
A_REV,RITHMIC,VALID,976,-0.013130710196907936,0.06971395759172952,14,9,0.1775866004134352,-0.03994170411959109,False
A_REV,RITHMIC,LATE_CHECK,371,0.1056117748708877,0.2369969100129611,6,6,0.1527991115219441,0.32256749869676626,False
A_REV,RITHMIC,POST_CHECK,10,-0.4664374974625529,-0.4540795377457372,1,0,0.30016103280134643,-0.9569065847771263,False
A_REV,RITHMIC,FULL,2473,0.00020059018428403934,0.042503019868027514,35,21,0.19928598248556945,-0.1099040227402529,False
A_REV,AMP,TRAIN,823,0.006232117906997239,0.041590086118937844,11,6,0.4154077135260631,-0.3223666446419563,False
A_REV,AMP,VALID,965,-0.008762978171116542,0.12920879314079298,14,9,0.1754513640312564,0.08248452880355389,False
A_REV,AMP,LATE_CHECK,375,0.08646415672798191,0.14298528098554425,6,5,-0.00941391018371868,0.3063302704155829,False
A_REV,AMP,POST_CHECK,191,-0.16659145828481986,-0.3615091672979868,4,0,-0.309981361450059,-0.41468147758787,False
A_REV,AMP,FULL,2354,-0.001343992612663507,0.06095427173849389,34,20,0.18769454535570546,-0.0668674035307416,False
FAIL_Q20_REV,RITHMIC,TRAIN,202,0.08842678289366644,0.09611309256802535,13,8,0.07676043896148668,0.11434924692803296,False
FAIL_Q20_REV,RITHMIC,VALID,176,-0.010637702055545182,0.18773543156825012,13,8,0.4816348045360804,-0.040852969628951276,False
FAIL_Q20_REV,RITHMIC,LATE_CHECK,54,0.16337684047566864,0.27096957057699705,5,3,0.2656979589007024,0.2743242325528207,False
FAIL_Q20_REV,RITHMIC,POST_CHECK,1,-0.6545454545455361,-2.472727272727397,1,0,,-2.472727272727397,False
FAIL_Q20_REV,RITHMIC,FULL,433,0.05571183438003457,0.14922843000735234,31,19,0.25606153114499297,0.060877004593944906,False
FAIL_Q20_REV,AMP,TRAIN,152,0.013914363006951818,0.06382360637592087,9,4,0.12785817685290415,-0.003672292234953479,False
FAIL_Q20_REV,AMP,VALID,185,-0.05484146878869594,0.15666395512929587,13,7,0.44655993439829533,-0.0642091719327991,False
FAIL_Q20_REV,AMP,LATE_CHECK,55,0.36757524954353915,0.34085217789020095,5,4,0.05668132187858029,0.5608554212540363,False
FAIL_Q20_REV,AMP,POST_CHECK,45,-0.08874306038898572,-0.35699096351276116,4,1,-0.23281298829558747,-0.4989086494752454,False
FAIL_Q20_REV,AMP,FULL,437,0.01839151529926245,0.09465971691978603,30,16,0.20131345899214556,-0.00045141237417959664,False
OPPOSITE_BODY_REV,RITHMIC,TRAIN,126,0.1259919970606591,0.09914534916475064,13,7,0.2577784836841027,-0.059487785354601586,False
OPPOSITE_BODY_REV,RITHMIC,VALID,97,-0.3058386362690783,0.03486088967168168,12,6,0.023035426902651906,0.04153655413806945,False
OPPOSITE_BODY_REV,RITHMIC,LATE_CHECK,24,-0.2544802594374408,-0.5573209679132004,5,1,-0.5147792203402901,-0.5877079304652789,False
OPPOSITE_BODY_REV,RITHMIC,POST_CHECK,1,-0.6545454545455361,-2.472727272727397,1,0,,-2.472727272727397,False
OPPOSITE_BODY_REV,RITHMIC,FULL,248,-0.08298857558697816,0.00010237818656249996,30,14,0.11017122416933688,-0.0848078744287207,False
OPPOSITE_BODY_REV,AMP,TRAIN,89,0.1661871968028425,0.10349451872238381,9,3,0.24895911182536654,-0.052118766922667426,False
OPPOSITE_BODY_REV,AMP,VALID,98,-0.3314575734973206,-0.017157036685465678,12,7,-0.17994705019584004,0.0773661969657194,False
OPPOSITE_BODY_REV,AMP,LATE_CHECK,26,-0.04040116190984725,-0.3394128536678401,5,2,-0.8689306221045698,-0.059079917436630144,False
OPPOSITE_BODY_REV,AMP,POST_CHECK,22,-0.009636483903207666,-0.5028361959893385,4,0,0.008908001545212787,-0.9292896939347982,False
OPPOSITE_BODY_REV,AMP,FULL,235,-0.08069102634393296,-0.05258514015324587,29,12,-0.027299705411607696,-0.07164356484657003,False
REJECTION_REV,RITHMIC,TRAIN,80,-0.0973625806356769,-0.15630685630007882,13,6,0.2380998076785925,-0.5922300112238735,False
REJECTION_REV,RITHMIC,VALID,65,-0.35717573884218673,-0.11643027110175158,12,6,0.8195125313149821,-0.664299228613986,False
REJECTION_REV,RITHMIC,LATE_CHECK,16,-0.40921960627597237,-0.24160978470888328,4,2,-0.20553474958250603,-0.2632548057847095,False
REJECTION_REV,RITHMIC,POST_CHECK,0,,,0,0,,,False
REJECTION_REV,RITHMIC,FULL,161,-0.23393083679470675,-0.14868492348423784,29,14,0.39493450245229744,-0.5884669309834575,False
REJECTION_REV,AMP,TRAIN,60,-0.2184549431426868,-0.23456993012980148,9,4,-0.04715678324442096,-0.49694833576933406,False
REJECTION_REV,AMP,VALID,61,-0.29810877119166634,-0.1839872048673002,12,5,0.8419537131750399,-0.6844461892781977,False
REJECTION_REV,AMP,LATE_CHECK,18,-0.15048814748529712,-0.24431791799825037,5,1,-1.9542984047503011,0.24424793535947836,False
REJECTION_REV,AMP,POST_CHECK,7,-0.370741527194124,-0.4526392238676303,3,1,0.6944757859037048,-1.3129754811961316,False
REJECTION_REV,AMP,FULL,146,-0.25129815215358375,-0.2250932355872281,29,11,0.15249710626864482,-0.5037908688618009,False
SWEEP_REJECT_REV,RITHMIC,TRAIN,22,-0.5744686916494721,-1.1146743982670682,10,3,0.176518574528897,-2.190668542263706,False
SWEEP_REJECT_REV,RITHMIC,VALID,23,-0.4069193806779463,0.42973844457371263,11,6,1.5675188825333968,-0.613226956889331,False
SWEEP_REJECT_REV,RITHMIC,LATE_CHECK,5,0.11960808585081291,-0.9308319560842184,3,1,-0.31254503963492875,-1.343023233717078,False
SWEEP_REJECT_REV,RITHMIC,POST_CHECK,0,,,0,0,,,False
SWEEP_REJECT_REV,RITHMIC,FULL,50,-0.42757521418245165,-0.3858602463420241,24,10,0.7992523206037597,-1.3954005811476917,False
SWEEP_REJECT_REV,AMP,TRAIN,17,-0.9632888733322995,-1.3486291470752134,7,2,-0.24936326533939074,-2.11811526429029,False
SWEEP_REJECT_REV,AMP,VALID,18,-0.38588813856538273,0.5798247039774062,11,6,2.589373947043442,-0.6989793597918892,False
SWEEP_REJECT_REV,AMP,LATE_CHECK,6,0.3069949348538866,-0.3197076672367201,4,2,-0.9945355191257629,-0.18474209685891158,False
SWEEP_REJECT_REV,AMP,POST_CHECK,5,0.1189604585710278,-0.18952154481745145,3,2,1.6830749354000627,-1.4379191982957942,False
SWEEP_REJECT_REV,AMP,FULL,46,-0.452574756966232,-0.33381966426506293,25,12,1.103040536682513,-1.1761170234412284,False
LOC_OPPOSITE_BODY_REV,RITHMIC,TRAIN,26,0.13275539246751475,-0.4816599004488704,11,4,-1.481380235242373,0.5180604343446323,False
LOC_OPPOSITE_BODY_REV,RITHMIC,VALID,32,-0.5144080049447001,0.6426336385862903,10,6,1.4170544805404834,0.3395993960824754,False
LOC_OPPOSITE_BODY_REV,RITHMIC,LATE_CHECK,6,-0.4178607929786671,-0.34595655540279696,3,2,1.4482758620686438,-0.7048030388970851,False
LOC_OPPOSITE_BODY_REV,RITHMIC,POST_CHECK,0,,,0,0,,,False
LOC_OPPOSITE_BODY_REV,RITHMIC,FULL,64,-0.24244657362417224,0.09320905766677934,24,12,-0.21983377700947188,0.2688184527290666,False
LOC_OPPOSITE_BODY_REV,AMP,TRAIN,20,-0.014951537326140473,-0.5262316162907361,8,3,-1.4889062674887397,0.2614112801439941,False
LOC_OPPOSITE_BODY_REV,AMP,VALID,31,-0.5849043010507076,0.48602230744300967,10,6,1.0030797035177197,0.23980449978838583,False
LOC_OPPOSITE_BODY_REV,AMP,LATE_CHECK,8,0.32375181369094297,-0.25691511401842765,4,2,-0.9329836829836162,-0.03155892436336479,False
LOC_OPPOSITE_BODY_REV,AMP,POST_CHECK,6,0.1356854284971956,-0.7970988667186399,3,1,-0.30715271827896184,-1.2870450151583182,False
LOC_OPPOSITE_BODY_REV,AMP,FULL,65,-0.231183646132062,-0.0353208447313951,25,12,-0.25653270387606564,0.09416902403621702,False
