family,q,clock,period,n,retention,hit2,hit3,ev,pf
IMPULSE,80,5s,TRAIN,10,0.18867924528301888,0.4,0.1,0.564344004767995,2.727748745857231
IMPULSE,80,5s,VALID,16,0.21621621621621623,0.375,0.125,0.489872847209513,1.875177505368825
IMPULSE,80,5s,POST_CHECK,2,0.044444444444444446,0.5,0.5,0.9930115457323286,9.77422900197422
VOLUME,80,30s,TRAIN,11,0.2037037037037037,0.45454545454545453,0.18181818181818182,2.4092251302307712,39.912717531363036
VOLUME,80,30s,VALID,23,0.3108108108108108,0.391304347826087,0.08695652173913043,0.3118209061037853,1.4926322028890142
VOLUME,80,30s,POST_CHECK,9,0.2,0.1111111111111111,0.1111111111111111,0.36678309908521983,2.2597865260673022
ALIGNED_VOLUME,80,30s,TRAIN,12,0.2222222222222222,0.4166666666666667,0.25,2.541243019857082,134.05608589675276
ALIGNED_VOLUME,80,30s,VALID,26,0.35135135135135137,0.34615384615384615,0.07692307692307693,0.28003009323983563,1.4720738403533113
ALIGNED_VOLUME,80,30s,POST_CHECK,12,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.21241930500835263,1.6581372381421882
IMPULSE_AND_VOLUME,80,30s,TRAIN,5,0.09433962264150944,0.4,0.0,1.0032733902106337,inf
IMPULSE_AND_VOLUME,80,30s,VALID,7,0.0945945945945946,0.42857142857142855,0.14285714285714285,0.7093078294329376,2.452189068156551
IMPULSE_AND_VOLUME,80,30s,POST_CHECK,0,0.0,,,,
IMPULSE_AND_ALIGNED_VOLUME,80,30s,TRAIN,5,0.09433962264150944,0.4,0.2,1.5398913172583653,inf
IMPULSE_AND_ALIGNED_VOLUME,80,30s,VALID,8,0.10810810810810811,0.5,0.125,0.8824735868098545,3.06481939962181
IMPULSE_AND_ALIGNED_VOLUME,80,30s,POST_CHECK,0,0.0,,,,
