family,q,clock,period,n,retention,hit2,hit3,ev,pf
IMPULSE,60,5s,TRAIN,32,0.6037735849056604,0.1875,0.09375,0.3304496535204551,1.5196896044392778
IMPULSE,60,5s,VALID,33,0.44594594594594594,0.3333333333333333,0.12121212121212122,0.3691241414100714,1.6532441014385237
IMPULSE,60,5s,POST_CHECK,21,0.4666666666666667,0.3333333333333333,0.19047619047619047,0.3206854404494114,1.5516405842731114
VOLUME,60,30s,TRAIN,21,0.3888888888888889,0.3333333333333333,0.14285714285714285,1.3742664030707972,6.403085187252985
VOLUME,60,30s,VALID,35,0.47297297297297297,0.2857142857142857,0.05714285714285714,0.18763132976963867,1.321581227464497
VOLUME,60,30s,POST_CHECK,23,0.5111111111111111,0.2608695652173913,0.2608695652173913,0.3460484256742882,1.6670952665662886
ALIGNED_VOLUME,60,30s,TRAIN,21,0.3888888888888889,0.3333333333333333,0.14285714285714285,1.177053269430682,4.243247824393615
ALIGNED_VOLUME,60,30s,VALID,39,0.527027027027027,0.358974358974359,0.05128205128205128,0.26539545637728545,1.4512173213159583
ALIGNED_VOLUME,60,30s,POST_CHECK,25,0.5555555555555556,0.24,0.24,0.2944750899970703,1.544629667423411
IMPULSE_AND_VOLUME,60,30s,TRAIN,12,0.22641509433962265,0.3333333333333333,0.16666666666666666,2.422788257129156,223.2884839924028
IMPULSE_AND_VOLUME,60,30s,VALID,18,0.24324324324324326,0.3333333333333333,0.1111111111111111,0.8050802854185686,3.469446055511854
IMPULSE_AND_VOLUME,60,30s,POST_CHECK,10,0.2222222222222222,0.3,0.3,0.6887441583307456,2.7179086851041707
IMPULSE_AND_ALIGNED_VOLUME,60,30s,TRAIN,12,0.22641509433962265,0.3333333333333333,0.16666666666666666,2.0776652732589542,11.341432126119566
IMPULSE_AND_ALIGNED_VOLUME,60,30s,VALID,22,0.2972972972972973,0.36363636363636365,0.09090909090909091,0.5392025608407702,2.081532224215457
IMPULSE_AND_ALIGNED_VOLUME,60,30s,POST_CHECK,12,0.26666666666666666,0.25,0.25,0.337240328369708,1.590806775227598
IMPULSE,65,5s,TRAIN,16,0.3018867924528302,0.375,0.1875,1.3838411866926283,4.548783355102156
IMPULSE,65,5s,VALID,21,0.28378378378378377,0.38095238095238093,0.09523809523809523,0.5628431800634853,2.3126977923351535
IMPULSE,65,5s,POST_CHECK,11,0.24444444444444444,0.36363636363636365,0.36363636363636365,0.7022485413910199,2.539092196286799
VOLUME,65,30s,TRAIN,19,0.35185185185185186,0.3684210526315789,0.15789473684210525,1.585281884138397,10.43202106235242
VOLUME,65,30s,VALID,31,0.4189189189189189,0.3225806451612903,0.06451612903225806,0.2703701684369763,1.4823369593530573
VOLUME,65,30s,POST_CHECK,20,0.4444444444444444,0.3,0.3,0.526318715479463,2.1241634875477136
ALIGNED_VOLUME,65,30s,TRAIN,19,0.35185185185185186,0.3684210526315789,0.15789473684210525,1.422024430249706,6.077643496787797
ALIGNED_VOLUME,65,30s,VALID,38,0.5135135135135135,0.3684210526315789,0.05263157894736842,0.28454229144137944,1.4810584353916494
ALIGNED_VOLUME,65,30s,POST_CHECK,23,0.5111111111111111,0.2608695652173913,0.2608695652173913,0.3215640971812172,1.5919554568683734
IMPULSE_AND_VOLUME,65,30s,TRAIN,8,0.1509433962264151,0.5,0.25,3.3759004404264426,inf
IMPULSE_AND_VOLUME,65,30s,VALID,13,0.17567567567567569,0.38461538461538464,0.07692307692307693,0.9282140642692494,4.090923884211153
IMPULSE_AND_VOLUME,65,30s,POST_CHECK,8,0.17777777777777778,0.375,0.375,0.745166609209634,2.4869128680970887
IMPULSE_AND_ALIGNED_VOLUME,65,30s,TRAIN,8,0.1509433962264151,0.5,0.25,3.385148008994048,inf
IMPULSE_AND_ALIGNED_VOLUME,65,30s,VALID,15,0.20270270270270271,0.4,0.06666666666666667,0.7212463677179836,2.9938085270850094
IMPULSE_AND_ALIGNED_VOLUME,65,30s,POST_CHECK,8,0.17777777777777778,0.375,0.375,0.745166609209634,2.4869128680970887
IMPULSE,70,5s,TRAIN,14,0.2641509433962264,0.2857142857142857,0.07142857142857142,0.23655348239929483,1.5307996577767435
IMPULSE,70,5s,VALID,18,0.24324324324324326,0.3888888888888889,0.1111111111111111,0.5489442143730204,2.103299733217664
IMPULSE,70,5s,POST_CHECK,6,0.13333333333333333,0.5,0.5,0.8435134667436763,2.9955398290300184
VOLUME,70,30s,TRAIN,16,0.2962962962962963,0.3125,0.125,1.693337086768191,16.38713115684657
VOLUME,70,30s,VALID,26,0.35135135135135137,0.34615384615384615,0.07692307692307693,0.22751995461927293,1.368407933627604
VOLUME,70,30s,POST_CHECK,14,0.3111111111111111,0.21428571428571427,0.21428571428571427,0.47801293922161436,2.2007414069472064
ALIGNED_VOLUME,70,30s,TRAIN,16,0.2962962962962963,0.375,0.1875,1.9406787511806383,25.095317800273065
ALIGNED_VOLUME,70,30s,VALID,35,0.47297297297297297,0.37142857142857144,0.05714285714285714,0.3918775360233549,1.7893116063557453
ALIGNED_VOLUME,70,30s,POST_CHECK,21,0.4666666666666667,0.2857142857142857,0.2857142857142857,0.5269174479183695,2.2538761991208682
IMPULSE_AND_VOLUME,70,30s,TRAIN,6,0.11320754716981132,0.3333333333333333,0.0,0.9715879896879042,inf
IMPULSE_AND_VOLUME,70,30s,VALID,9,0.12162162162162163,0.4444444444444444,0.1111111111111111,0.9739843483872817,3.563804212930308
IMPULSE_AND_VOLUME,70,30s,POST_CHECK,4,0.08888888888888889,0.5,0.5,1.2872658978603877,4.279463120739639
IMPULSE_AND_ALIGNED_VOLUME,70,30s,TRAIN,7,0.1320754716981132,0.42857142857142855,0.14285714285714285,1.3306971034466364,inf
IMPULSE_AND_ALIGNED_VOLUME,70,30s,VALID,11,0.14864864864864866,0.45454545454545453,0.09090909090909091,1.0369787418638283,4.336206375918034
IMPULSE_AND_ALIGNED_VOLUME,70,30s,POST_CHECK,4,0.08888888888888889,0.5,0.5,1.2872658978603877,4.279463120739639
IMPULSE,75,5s,TRAIN,12,0.22641509433962265,0.3333333333333333,0.08333333333333333,0.5237135943259384,2.9240296658921934
IMPULSE,75,5s,VALID,17,0.22972972972972974,0.4117647058823529,0.11764705882352941,0.5768497152824488,2.0949754947099564
IMPULSE,75,5s,POST_CHECK,5,0.1111111111111111,0.4,0.4,0.7202831311730715,2.4200066478913875
VOLUME,75,30s,TRAIN,14,0.25925925925925924,0.35714285714285715,0.14285714285714285,2.012366199507612,42.367239582523936
VOLUME,75,30s,VALID,23,0.3108108108108108,0.391304347826087,0.08695652173913043,0.3118209061037853,1.4926322028890142
VOLUME,75,30s,POST_CHECK,12,0.26666666666666666,0.25,0.25,0.6415195719111149,2.9229815258524927
ALIGNED_VOLUME,75,30s,TRAIN,14,0.25925925925925924,0.42857142857142855,0.21428571428571427,2.176343087788409,31.977357026306123
ALIGNED_VOLUME,75,30s,VALID,30,0.40540540540540543,0.3333333333333333,0.06666666666666667,0.29187087820521246,1.515001009882985
ALIGNED_VOLUME,75,30s,POST_CHECK,16,0.35555555555555557,0.3125,0.3125,0.8027425943803685,4.1679527780548655
IMPULSE_AND_VOLUME,75,30s,TRAIN,6,0.11320754716981132,0.3333333333333333,0.0,0.9715879896879042,inf
IMPULSE_AND_VOLUME,75,30s,VALID,8,0.10810810810810811,0.5,0.125,0.9380887265263409,3.1949481888747644
IMPULSE_AND_VOLUME,75,30s,POST_CHECK,2,0.044444444444444446,0.5,0.5,3.1091980071887497,inf
IMPULSE_AND_ALIGNED_VOLUME,75,30s,TRAIN,6,0.11320754716981132,0.5,0.16666666666666666,1.4046230314185584,inf
IMPULSE_AND_ALIGNED_VOLUME,75,30s,VALID,10,0.13513513513513514,0.5,0.1,1.0145616837227305,3.9673503518624917
IMPULSE_AND_ALIGNED_VOLUME,75,30s,POST_CHECK,2,0.044444444444444446,0.5,0.5,3.1091980071887497,inf
