signal_time_utc,status,net_r,sl_label,fold,acceleration_delta,threshold,veto
2026-08-26T06:04:00+00:00,SL,-1.05,1,0,8.326672684688674e-17,0.017694746349208524,False
2026-08-26T11:18:00+00:00,SL,-1.05,1,0,0.006303600657624672,0.017694746349208524,False
2026-08-26T17:30:00+00:00,SL,-1.05,1,0,8.326672684688674e-17,0.017694746349208524,False
2026-08-27T01:14:00+00:00,TIMEOUT,0.3542379788102158,0,0,0.0006046309922181289,0.017694746349208524,False
2026-08-27T08:56:00+00:00,SL,-1.05,1,0,0.021427355440954875,0.017694746349208524,True
2026-08-27T10:57:00+00:00,TP,2.95,0,0,0.022703432419163505,0.017694746349208524,True
2026-08-27T12:02:00+00:00,SL,-1.05,1,0,0.026271576360161628,0.017694746349208524,True
2026-08-27T15:41:00+00:00,TIMEOUT,1.206650791359731,0,0,0.012385367074555356,0.017694746349208524,False
2026-08-27T18:52:00+00:00,TP,2.95,0,0,-0.005921397919202738,0.017694746349208524,False
2026-08-27T19:08:00+00:00,SL,-1.05,1,0,0.009942884392834365,0.017694746349208524,False
2026-08-28T03:24:00+00:00,SL,-1.05,1,0,0.00991361933333055,0.017694746349208524,False
2026-08-28T06:59:00+00:00,SL,-1.05,1,0,-0.0017237466775412505,0.017694746349208524,False
2026-08-28T09:31:00+00:00,TIMEOUT,0.6308834729628682,0,1,0.011321000921242734,0.017694746349208524,False
2026-08-28T19:01:00+00:00,TIMEOUT,1.0623744551827174,0,1,6.938893903907228e-18,0.017694746349208524,False
2026-08-30T23:08:00+00:00,SL,-1.05,1,1,8.326672684688674e-17,0.017694746349208524,False
2026-08-31T04:37:00+00:00,TIMEOUT,1.0156011893702572,0,1,0.019043721189938915,0.017694746349208524,True
2026-08-31T16:29:00+00:00,SL,-1.05,1,1,0.02893410639584338,0.017694746349208524,True
2026-08-31T23:32:00+00:00,SL,-1.05,1,1,6.938893903907228e-17,0.017694746349208524,False
2026-09-01T20:05:00+00:00,SL,-1.05,1,1,2.0816681711721685e-17,0.017694746349208524,False
2026-09-02T02:20:00+00:00,TP,2.95,0,1,0.006234577881757479,0.017694746349208524,False
2026-09-03T02:50:00+00:00,TP,2.95,0,1,2.7755575615628914e-17,0.017694746349208524,False
2026-09-03T11:45:00+00:00,SL,-1.05,1,1,0.004133237685705785,0.017694746349208524,False
2026-09-04T10:32:00+00:00,SL,-1.05,1,1,0.015237005057445532,0.017694746349208524,False
2026-09-04T11:51:00+00:00,SL,-1.05,1,1,0.002185508377376192,0.017694746349208524,False
2026-09-04T14:25:00+00:00,SL,-1.05,1,2,0.0017512110341199073,0.01678494271804206,False
2026-09-04T19:33:00+00:00,SL,-1.05,1,2,0.02120524989289369,0.01678494271804206,True
2026-09-07T00:11:00+00:00,SL,-1.05,1,2,-0.0036559257230964863,0.01678494271804206,False
2026-09-07T05:27:00+00:00,SL,-1.05,1,2,0.08639028863758676,0.01678494271804206,True
2026-09-07T07:55:00+00:00,TP,2.95,0,2,0.0,0.01678494271804206,False
2026-09-07T12:10:00+00:00,TIMEOUT,2.128748180494892,0,2,0.0010629143033035488,0.01678494271804206,False
2026-09-08T15:11:00+00:00,SL,-1.05,1,2,3.469446951953614e-18,0.01678494271804206,False
2026-09-09T05:01:00+00:00,SL,-1.05,1,2,0.017938963815864926,0.01678494271804206,True
2026-09-09T07:36:00+00:00,TIMEOUT,1.0507751937981775,0,2,0.01154950246569236,0.01678494271804206,False
2026-09-09T12:57:00+00:00,TP,2.95,0,2,0.010158705624338068,0.01678494271804206,False
2026-09-09T13:19:00+00:00,TP,2.95,0,2,5.551115123125783e-17,0.01678494271804206,False
2026-09-10T00:18:00+00:00,SL,-1.05,1,2,-0.00024640478915761294,0.01678494271804206,False
2026-09-10T10:05:00+00:00,SL,-1.05,1,3,0.026228358554212863,0.01678494271804206,True
2026-09-11T00:06:00+00:00,SL,-1.05,1,3,0.023055575636468203,0.01678494271804206,True
2026-09-11T03:42:00+00:00,SL,-1.05,1,3,0.01204358384941641,0.01678494271804206,False
2026-09-11T05:09:00+00:00,TIMEOUT,1.597228915662626,0,3,0.003062398107377887,0.01678494271804206,False
2026-09-11T05:55:00+00:00,TIMEOUT,0.8765794422438408,0,3,0.02992963643778019,0.01678494271804206,True
2026-09-11T08:00:00+00:00,SL,-1.05,1,3,0.0026243995874259407,0.01678494271804206,False
2026-09-13T22:33:00+00:00,SL,-1.05,1,3,0.008513944988923076,0.01678494271804206,False
2026-09-14T10:18:00+00:00,TIMEOUT,1.4708415516104445,0,3,6.938893903907228e-18,0.01678494271804206,False
2026-09-14T16:43:00+00:00,TP,2.95,0,3,-0.0036361585156899044,0.01678494271804206,False
2026-09-15T12:53:00+00:00,SL,-1.05,1,3,0.04912705400325969,0.01678494271804206,True
2026-09-15T14:00:00+00:00,SL,-1.05,1,3,6.938893903907228e-17,0.01678494271804206,False
2026-09-15T15:55:00+00:00,SL,-1.05,1,3,2.7755575615628914e-17,0.01678494271804206,False
2026-09-15T18:06:00+00:00,TP,2.95,0,4,0.015706358690129783,0.017694746349208524,False
