gc_t0_ms,event_utc,period,direction,quiet_start,big2,big3,attack1_impact,attack2_impact,impact_deterioration,attack1_delta_frac,attack2_delta_frac,abs_delta_frac_1,abs_delta_frac_2,attack1_volume,attack2_volume,volume_ratio_2_to_1,persistence_abs_delta,efficiency1,efficiency2,efficiency_deterioration,prior30_abs_move_atr,prior30_signed_pred_move_atr,prior60_signed_pred_move_atr,prior60_range_atr,gc_pred_60_atr,gc_minus_xau_signed_context,utc_hour
1786041630000,2026-08-06T18:40:30+00:00,TRAIN,-1,False,False,False,0.0,-0.08641975308673998,0.08641975308673998,0.3333333333333333,0.17647058823529413,0.3333333333333333,0.17647058823529413,3.0,17.0,5.666666666666667,0.17647058823529413,0.0,-0.4897119341581932,0.4897119341581932,0.36111984900898425,0.36111984900898425,0.09688581314769681,0.6429694872597426,0.17283950617269397,0.07595369302499716,18
1786041810000,2026-08-06T18:43:30+00:00,TRAIN,1,False,True,False,0.2333333333334866,-0.0,0.2333333333334866,-0.4782608695652174,-0.24324324324324326,0.4782608695652174,0.24324324324324326,23.0,37.0,1.608695652173913,0.24324324324324326,0.4878787878791083,-0.0,0.4878787878791083,0.25567010309312177,0.25567010309312177,-0.13195876288723227,0.6927835051547815,-0.15555555555542194,-0.023596792668189676,18
1786041870000,2026-08-06T18:44:30+00:00,TRAIN,-1,True,False,False,0.5326086956520724,0.0,0.5326086956520724,0.125,1.0,0.125,1.0,32.0,2.0,0.0625,0.125,4.260869565216579,0.0,4.260869565216579,0.23313576065487987,-0.23313576065487987,-0.5887665819926008,0.9325430426188007,-0.5326086956520724,0.05615788634052843,18
1786042020000,2026-08-06T18:47:00+00:00,TRAIN,1,True,True,True,0.46408839778964717,0.25454545454562294,0.20954294324402423,-0.5555555555555556,-0.4666666666666667,0.5555555555555556,0.4666666666666667,9.0,15.0,1.6666666666666667,0.4666666666666667,0.8353591160213648,0.5454545454549062,0.2899045705664586,0.1522684897461316,-0.1522684897461316,-0.5177128651346317,0.9701678060905409,-0.5939393939392724,-0.07622652880464076,18
1786042260000,2026-08-06T18:51:00+00:00,TRAIN,-1,True,True,True,0.8235294117651955,-0.37333333333384267,1.1968627450990381,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.3333333333333333,28.0,18.0,0.6428571428571429,0.3333333333333333,1.1529411764712736,-1.120000000001528,2.2729411764728016,0.04652708541061002,0.04652708541061002,-0.6792954469928751,1.1771352608836096,-0.6533333333331636,0.025962113659711572,18
1786042410000,2026-08-06T18:53:30+00:00,TRAIN,1,True,False,False,0.18181818181802073,-0.09090909090859696,0.2727272727266177,-1.0,-0.14285714285714285,1.0,0.14285714285714285,6.0,7.0,1.1666666666666667,0.14285714285714285,0.18181818181802073,-0.6363636363601788,0.8181818181781995,0.02683706070346494,0.02683706070346494,-0.31309904153228824,0.4383386581468307,-0.18181818181802073,0.1312808597142675,18
1786042500000,2026-08-06T18:55:00+00:00,TRAIN,1,True,False,False,1.1973684210528135,0.2608695652175436,0.9364988558352698,-0.391304347826087,-0.7333333333333333,0.391304347826087,0.7333333333333333,23.0,30.0,1.3043478260869565,0.391304347826087,3.059941520468301,0.3557312252966504,2.704210295171651,0.085261875761586,0.085261875761586,-1.389768574908889,1.585870889159451,-1.5652173913044707,-0.17544881639558163,18
1786043040000,2026-08-06T19:04:00+00:00,TRAIN,1,True,False,False,0.1458333333332021,-0.0,0.1458333333332021,-0.02857142857142857,-0.2,0.02857142857142857,0.2,35.0,5.0,0.14285714285714285,0.02857142857142857,5.104166666662073,-0.0,5.104166666662073,0.16135084427779284,0.16135084427779284,0.026266416510211384,0.5553470919330112,0.0,-0.026266416510211384,19
1786043340000,2026-08-06T19:09:00+00:00,TRAIN,-1,True,False,False,0.40776699029153823,-0.14285714285702356,0.5506241331485617,0.7391304347826086,0.25,0.7391304347826086,0.25,23.0,16.0,0.6956521739130435,0.25,0.5516847515709047,-0.5714285714280942,1.123113322998999,0.2100525131283915,-0.2100525131283915,-0.8822205551388621,0.8822205551388621,-0.49999999999990724,0.38222055513895487,19
1786043520000,2026-08-06T19:12:00+00:00,TRAIN,-1,False,True,False,0.33816425120776217,0.06451612903191195,0.2736481221758502,0.29411764705882354,0.2727272727272727,0.29411764705882354,0.2727272727272727,17.0,11.0,0.6470588235294118,0.2727272727272727,1.1497584541063914,0.23655913978367718,0.9131993143227143,0.4691417550624687,0.4691417550624687,-0.2396335583416806,0.921407907425701,-0.5161290322582295,-0.2764954739165489,19
1786043820000,2026-08-06T19:17:00+00:00,TRAIN,1,True,False,False,0.2692307692311459,-0.0,0.2692307692311459,-0.38461538461538464,-0.2,0.38461538461538464,0.2,13.0,5.0,0.38461538461538464,0.2,0.7000000000009794,-0.0,0.7000000000009794,0.019869429463232408,0.019869429463232408,-0.14305989213758644,0.401362475163222,-0.38461538461538847,-0.24155549247780203,19
1786043880000,2026-08-06T19:18:00+00:00,TRAIN,1,True,False,False,0.4615384615380464,-0.0,0.4615384615380464,-0.45901639344262296,-1.0,0.45901639344262296,1.0,122.0,1.0,0.00819672131147541,0.45901639344262296,1.005494505493601,-0.0,1.005494505493601,0.07393715341850875,0.07393715341850875,-0.5175600739376307,1.5231053604430678,-0.4242424242420345,0.0933176496955962,19
1786043970000,2026-08-06T19:19:30+00:00,TRAIN,1,True,False,False,0.2131979695426321,0.14213197969530353,0.07106598984732856,-0.45454545454545453,-0.2857142857142857,0.45454545454545453,0.2857142857142857,11.0,14.0,1.2727272727272727,0.2857142857142857,0.46903553299379064,0.4974619289335624,-0.028426395939771754,0.11524163568753788,-0.11524163568753788,-0.3122676579926053,0.46096654275015153,-0.14213197969530353,0.17013567829730178,19
1786044180000,2026-08-06T19:23:00+00:00,TRAIN,1,True,False,False,0.7368421052630874,-0.0,0.7368421052630874,-0.3,-0.10204081632653061,0.3,0.10204081632653061,20.0,49.0,2.45,0.10204081632653061,2.456140350876958,-0.0,2.456140350876958,0.045393136989610415,0.045393136989610415,-0.7830316130773164,1.581194271818295,-1.0396039603959553,-0.25657234731863887,19
1786044330000,2026-08-06T19:25:30+00:00,TRAIN,1,False,False,False,2.2008733624449413,0.2445414847164753,1.956331877728466,-0.4057971014492754,-0.19424460431654678,0.4057971014492754,0.19424460431654678,138.0,139.0,1.0072463768115942,0.19424460431654678,5.423580786025034,1.2589357916885209,4.164644994336513,0.4505893019044348,-0.4505893019044348,-2.9193109700814124,4.277425203988376,-2.4454148471614165,0.47389612291999583,19
1786044390000,2026-08-06T19:26:30+00:00,TRAIN,-1,False,True,False,1.0037735849054337,-1.3207547169810867,2.32452830188652,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,27.0,60.0,2.2222222222222223,0.06666666666666667,3.011320754716301,-19.811320754716302,22.822641509432604,1.436324024559302,1.436324024559302,0.17746088334306287,2.0851653792830063,0.5283018867924347,0.35084100344937186,19
