gc_end_ms,gc_end_utc,period,direction,side,xau_atr,r5,r10,r30,mfe_15m_atr,mae_15m_atr,first025_hit,first025_ms,gc_delta_frac,gc_volume,gc_impact,bias_60s_atr,bias_180s_atr,bias_300s_atr,bias_600s_atr,bias_900s_atr,state
1786113390000,2026-08-07T14:36:30+00:00,TRAIN,1,LONG,3.399999999999961,0.16470588235279326,-0.10294117647069642,0.08823529411743408,0.6323529411763709,-2.255882352941224,PRED,1659,-0.43846153846153846,260.0,-0.3927855711421782,-0.2676470588234897,-1.2882352941179616,0.09117647058808655,-0.7250000000000512,-1.0426470588235628,ALL
1786121310000,2026-08-07T16:48:30+00:00,TRAIN,-1,SHORT,2.326071428571335,0.11607554122543418,0.3525257177950679,-0.30953477660037576,4.475356978351107,-0.3783202825115704,PRED,8706,0.5789473684210527,95.0,-0.12500000000007444,0.872716106249357,0.498694917856552,1.4982343006298207,3.5682481191465443,2.132350683249379,ALL
1786121310000,2026-08-07T16:48:30+00:00,TRAIN,-1,SHORT,2.326071428571335,0.11607554122543418,0.3525257177950679,-0.30953477660037576,4.475356978351107,-0.3783202825115704,PRED,8706,0.5789473684210527,95.0,-0.12500000000007444,0.872716106249357,0.498694917856552,1.4982343006298207,3.5682481191465443,2.132350683249379,DIVERGE_EARLY
1786132650000,2026-08-07T19:57:30+00:00,TRAIN,-1,SHORT,1.6342857142855922,-0.1988636363635399,-0.18356643356655858,-0.40078671328714394,1.3951048951048435,-3.22159090909135,OPP,11557,0.5636363636363636,55.0,-0.060085836910087016,-1.600087412587955,-1.8111888111889687,-2.300699300699606,-1.5786713286719585,0.28146853146857476,ALL
1786132650000,2026-08-07T19:57:30+00:00,TRAIN,-1,SHORT,1.6342857142855922,-0.1988636363635399,-0.18356643356655858,-0.40078671328714394,1.3951048951048435,-3.22159090909135,OPP,11557,0.5636363636363636,55.0,-0.060085836910087016,-1.600087412587955,-1.8111888111889687,-2.300699300699606,-1.5786713286719585,0.28146853146857476,CROWD_PERSISTS
1786354620000,2026-08-10T09:37:00+00:00,TRAIN,-1,SHORT,1.841785714285509,-0.2877642039944643,-0.41807252278435447,-0.36377738995498665,0.31762652705066596,-2.052356020942499,OPP,1955,0.7391304347826086,69.0,0.0,-0.49408570874537067,-0.30133798720155935,-1.1537715726198687,-1.5501260422725749,-0.11401977894127738,ALL
1786354620000,2026-08-10T09:37:00+00:00,TRAIN,-1,SHORT,1.841785714285509,-0.2877642039944643,-0.41807252278435447,-0.36377738995498665,0.31762652705066596,-2.052356020942499,OPP,1955,0.7391304347826086,69.0,0.0,-0.49408570874537067,-0.30133798720155935,-1.1537715726198687,-1.5501260422725749,-0.11401977894127738,CROWD_PERSISTS
1786373190000,2026-08-10T14:46:30+00:00,TRAIN,1,LONG,2.3885714285712702,-0.17165071770329973,-0.0879186602871024,-0.6635765550243634,0.18211722488018162,-3.171351674641663,OPP,27603,-0.46153846153846156,156.0,0.04216867469894882,-0.5756578947368802,-1.1638755980864757,-2.2900717703351865,-2.0325956937798564,-2.581040669856996,ALL
1786373190000,2026-08-10T14:46:30+00:00,TRAIN,1,LONG,2.3885714285712702,-0.17165071770329973,-0.0879186602871024,-0.6635765550243634,0.18211722488018162,-3.171351674641663,OPP,27603,-0.46153846153846156,156.0,0.04216867469894882,-0.5756578947368802,-1.1638755980864757,-2.2900717703351865,-2.0325956937798564,-2.581040669856996,CROWD_PERSISTS
1786446660000,2026-08-11T11:11:00+00:00,TRAIN,1,LONG,3.2028571428568933,-0.09678858162396685,-0.14049955396990807,-0.2653880463872886,0.47457627118604606,-1.7827832292600239,OPP,8111,-0.7073170731707317,41.0,-0.05957446808505335,-0.3543710972347077,0.15142729705582544,0.24041034790324456,-0.8086529884033199,-1.6610169491528648,ALL
