cohort,signal_time_utc,depth_atr,expiry_min,filled,fill_time_msc,fill_delay_sec,fill_price,status,r,exit_time_msc,exit_price
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.5,3,True,1786075747207.0,67.207,4243.691607142857,TIMEOUT,0.07715373082700579,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.5,5,True,1786075747207.0,67.207,4243.691607142857,TIMEOUT,0.07715373082700579,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.5,10,True,1786075747207.0,67.207,4243.691607142857,TIMEOUT,0.07715373082700579,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.5,15,True,1786075747207.0,67.207,4243.691607142857,TIMEOUT,0.07715373082700579,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.75,3,True,1786075756656.0,76.656,4242.917410714285,TIMEOUT,0.24382039749368645,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.75,5,True,1786075756656.0,76.656,4242.917410714285,TIMEOUT,0.24382039749368645,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.75,10,True,1786075756656.0,76.656,4242.917410714285,TIMEOUT,0.24382039749368645,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,0.75,15,True,1786075756656.0,76.656,4242.917410714285,TIMEOUT,0.24382039749368645,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.0,3,True,1786075773604.0,93.604,4242.143214285714,TIMEOUT,0.4104870641603671,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.0,5,True,1786075773604.0,93.604,4242.143214285714,TIMEOUT,0.4104870641603671,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.0,10,True,1786075773604.0,93.604,4242.143214285714,TIMEOUT,0.4104870641603671,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.0,15,True,1786075773604.0,93.604,4242.143214285714,TIMEOUT,0.4104870641603671,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.25,3,True,1786075826253.0,146.253,4241.369017857142,TIMEOUT,0.5771537308270478,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.25,5,True,1786075826253.0,146.253,4241.369017857142,TIMEOUT,0.5771537308270478,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.25,10,True,1786075826253.0,146.253,4241.369017857142,TIMEOUT,0.5771537308270478,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.25,15,True,1786075826253.0,146.253,4241.369017857142,TIMEOUT,0.5771537308270478,1786077480309.0,4244.05
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.5,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.5,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.5,10,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T01:07:00+00:00,1.5,15,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.5,3,True,1786082797953.0,157.953,4256.964285714286,SL,-1.0,1786083079508.0,4253.7071428571435
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.5,5,True,1786082797953.0,157.953,4256.964285714286,SL,-1.0,1786083079508.0,4253.7071428571435
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.5,10,True,1786082797953.0,157.953,4256.964285714286,SL,-1.0,1786083079508.0,4253.7071428571435
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.5,15,True,1786082797953.0,157.953,4256.964285714286,SL,-1.0,1786083079508.0,4253.7071428571435
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.75,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.75,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.75,10,True,1786083064205.0,424.205,4256.421428571429,SL,-1.0,1786083086407.0,4253.164285714286
COMMON_CLOCK,2026-08-07T03:03:00+00:00,0.75,15,True,1786083064205.0,424.205,4256.421428571429,SL,-1.0,1786083086407.0,4253.164285714286
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.0,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.0,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.0,10,True,1786083067808.0,427.808,4255.878571428571,SL,-1.0,1786083747754.0,4252.621428571429
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.0,15,True,1786083067808.0,427.808,4255.878571428571,SL,-1.0,1786083747754.0,4252.621428571429
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.25,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.25,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.25,10,True,1786083072457.0,432.457,4255.335714285715,SL,-1.0,1786083751506.0,4252.078571428572
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.25,15,True,1786083072457.0,432.457,4255.335714285715,SL,-1.0,1786083751506.0,4252.078571428572
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.5,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.5,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.5,10,True,1786083075308.0,435.308,4254.792857142857,TIMEOUT,1.4635964912282104,1786084440005.0,4259.56
COMMON_CLOCK,2026-08-07T03:03:00+00:00,1.5,15,True,1786083075308.0,435.308,4254.792857142857,TIMEOUT,1.4635964912282104,1786084440005.0,4259.56
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.5,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.5,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.5,10,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.5,15,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.75,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.75,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.75,10,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,0.75,15,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.0,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.0,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.0,10,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.0,15,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.25,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.25,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.25,10,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.25,15,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.5,3,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.5,5,False,,,,NO_FILL,0.0,,
COMMON_CLOCK,2026-08-07T07:55:00+00:00,1.5,10,False,,,,NO_FILL,0.0,,
