core_bar_utc,side,confirm_bar_utc,confirm_offset_bars,confirm_open,confirm_close,confirm_delta,entry_eligible_utc
2026-08-03T20:10:00+00:00,LONG,2026-08-03T20:20:00+00:00,2,4107.8,4110.1,19.0,2026-08-03T20:25:00+00:00
2026-08-04T00:25:00+00:00,LONG,2026-08-04T00:30:00+00:00,1,4114.9,4115.8,7.0,2026-08-04T00:35:00+00:00
2026-08-04T14:55:00+00:00,SHORT,2026-08-04T15:00:00+00:00,1,4140.5,4138.7,-18.0,2026-08-04T15:05:00+00:00
2026-08-05T22:25:00+00:00,LONG,2026-08-05T22:30:00+00:00,1,4307.2,4309.1,3.0,2026-08-05T22:35:00+00:00
2026-08-06T07:05:00+00:00,LONG,2026-08-06T07:10:00+00:00,1,4318.3,4322.0,9.0,2026-08-06T07:15:00+00:00
2026-08-06T10:00:00+00:00,SHORT,2026-08-06T10:05:00+00:00,1,4330.5,4330.0,-36.0,2026-08-06T10:10:00+00:00
2026-08-06T19:10:00+00:00,SHORT,2026-08-06T19:15:00+00:00,1,4306.1,4304.0,-48.0,2026-08-06T19:20:00+00:00
2026-08-07T09:05:00+00:00,LONG,2026-08-07T09:15:00+00:00,2,4365.4,4366.3,59.0,2026-08-07T09:20:00+00:00
2026-08-07T13:15:00+00:00,LONG,2026-08-07T13:20:00+00:00,1,4407.4,4410.6,91.0,2026-08-07T13:25:00+00:00
2026-08-07T20:40:00+00:00,SHORT,2026-08-07T20:45:00+00:00,1,4400.8,4399.2,-143.0,2026-08-07T20:50:00+00:00
2026-08-10T04:05:00+00:00,LONG,2026-08-10T04:10:00+00:00,1,4387.5,4392.5,132.0,2026-08-10T04:15:00+00:00
2026-08-10T20:40:00+00:00,LONG,2026-08-10T20:50:00+00:00,2,4447.9,4448.3,19.0,2026-08-10T20:55:00+00:00
2026-08-11T10:10:00+00:00,SHORT,2026-08-11T10:15:00+00:00,1,4431.7,4431.5,-3.0,2026-08-11T10:20:00+00:00
2026-08-11T14:55:00+00:00,SHORT,2026-08-11T15:05:00+00:00,2,4456.3,4450.3,-93.0,2026-08-11T15:10:00+00:00
2026-08-11T23:40:00+00:00,LONG,2026-08-11T23:45:00+00:00,1,4427.0,4428.2,10.0,2026-08-11T23:50:00+00:00
2026-08-12T17:55:00+00:00,LONG,2026-08-12T18:05:00+00:00,2,4458.5,4463.7,48.0,2026-08-12T18:10:00+00:00
2026-08-12T20:10:00+00:00,SHORT,2026-08-12T20:15:00+00:00,1,4469.1,4467.0,-5.0,2026-08-12T20:20:00+00:00
2026-08-13T04:05:00+00:00,SHORT,2026-08-13T04:10:00+00:00,1,4454.0,4452.5,-48.0,2026-08-13T04:15:00+00:00
2026-08-13T19:15:00+00:00,LONG,2026-08-13T19:20:00+00:00,1,4404.6,4405.6,25.0,2026-08-13T19:25:00+00:00
2026-08-13T20:10:00+00:00,SHORT,2026-08-13T20:15:00+00:00,1,4406.5,4406.4,-1.0,2026-08-13T20:20:00+00:00
2026-08-14T18:15:00+00:00,LONG,2026-08-14T18:20:00+00:00,1,4435.5,4436.6,27.0,2026-08-14T18:25:00+00:00
2026-08-19T07:15:00+00:00,LONG,2026-08-19T07:20:00+00:00,1,4404.6,4407.9,91.0,2026-08-19T07:25:00+00:00
2026-08-19T10:20:00+00:00,SHORT,2026-08-19T10:30:00+00:00,2,4423.5,4421.9,-141.0,2026-08-19T10:35:00+00:00
2026-08-20T06:45:00+00:00,SHORT,2026-08-20T06:50:00+00:00,1,4550.7,4549.4,-29.0,2026-08-20T06:55:00+00:00
2026-08-20T20:25:00+00:00,SHORT,2026-08-20T20:30:00+00:00,1,4577.2,4574.2,-89.0,2026-08-20T20:35:00+00:00
2026-08-24T08:20:00+00:00,SHORT,2026-08-24T08:25:00+00:00,1,4691.8,4684.8,-307.0,2026-08-24T08:30:00+00:00
2026-08-24T16:35:00+00:00,SHORT,2026-08-24T16:45:00+00:00,2,4717.3,4715.0,-18.0,2026-08-24T16:50:00+00:00
2026-08-24T17:50:00+00:00,LONG,2026-08-24T17:55:00+00:00,1,4690.5,4693.3,62.0,2026-08-24T18:00:00+00:00
2026-08-24T19:05:00+00:00,LONG,2026-08-24T19:15:00+00:00,2,4692.7,4699.0,22.0,2026-08-24T19:20:00+00:00
2026-08-24T20:20:00+00:00,SHORT,2026-08-24T20:25:00+00:00,1,4706.6,4705.3,-24.0,2026-08-24T20:30:00+00:00
2026-08-25T14:10:00+00:00,SHORT,2026-08-25T14:15:00+00:00,1,4678.7,4674.9,-18.0,2026-08-25T14:20:00+00:00
2026-08-25T20:20:00+00:00,SHORT,2026-08-25T20:25:00+00:00,1,4723.3,4719.5,-37.0,2026-08-25T20:30:00+00:00
2026-08-26T01:25:00+00:00,LONG,2026-08-26T01:35:00+00:00,2,4696.2,4701.9,11.0,2026-08-26T01:40:00+00:00
2026-08-26T04:45:00+00:00,SHORT,2026-08-26T04:55:00+00:00,2,4698.1,4697.6,-41.0,2026-08-26T05:00:00+00:00
2026-08-26T18:05:00+00:00,SHORT,2026-08-26T18:10:00+00:00,1,4658.1,4655.9,-34.0,2026-08-26T18:15:00+00:00
2026-08-27T05:05:00+00:00,SHORT,2026-08-27T05:15:00+00:00,2,4674.0,4673.7,-15.0,2026-08-27T05:20:00+00:00
2026-08-27T20:15:00+00:00,SHORT,2026-08-27T20:25:00+00:00,2,4658.4,4657.3,-9.0,2026-08-27T20:30:00+00:00
2026-08-27T20:35:00+00:00,LONG,2026-08-27T20:40:00+00:00,1,4657.0,4657.7,6.0,2026-08-27T20:45:00+00:00
2026-08-30T22:50:00+00:00,LONG,2026-08-30T22:55:00+00:00,1,4508.1,4510.9,179.0,2026-08-30T23:00:00+00:00
2026-08-31T02:05:00+00:00,SHORT,2026-08-31T02:10:00+00:00,1,4478.3,4474.0,-3.0,2026-08-31T02:15:00+00:00
2026-08-31T10:35:00+00:00,LONG,2026-08-31T10:40:00+00:00,1,4500.8,4502.1,44.0,2026-08-31T10:45:00+00:00
2026-09-01T03:05:00+00:00,SHORT,2026-09-01T03:10:00+00:00,1,4489.5,4489.4,-4.0,2026-09-01T03:15:00+00:00
2026-09-01T04:55:00+00:00,SHORT,2026-09-01T05:05:00+00:00,2,4479.6,4479.4,-4.0,2026-09-01T05:10:00+00:00
2026-09-02T03:25:00+00:00,LONG,2026-09-02T03:35:00+00:00,2,4331.6,4338.1,88.0,2026-09-02T03:40:00+00:00
2026-09-02T23:20:00+00:00,LONG,2026-09-02T23:30:00+00:00,2,4427.5,4428.5,24.0,2026-09-02T23:35:00+00:00
2026-09-02T23:35:00+00:00,LONG,2026-09-02T23:40:00+00:00,1,4428.5,4430.8,13.0,2026-09-02T23:45:00+00:00
2026-09-03T20:40:00+00:00,LONG,2026-09-03T20:50:00+00:00,2,4520.4,4521.0,13.0,2026-09-03T20:55:00+00:00
