cohort,key,depth_atr,expiry_min,full_signals,full_filled,full_fill_rate_pct,full_tp,full_sl,full_timeout,full_ev_r_per_signal,full_ev_r_per_filled,full_wr_filled_pct,full_pf,full_max_dd_r,full_median_fill_delay_sec,full_ci_lo,full_ci_hi,early_ev_r_per_signal,early_pf,early_fill_rate_pct,late_ev_r_per_signal,late_pf,late_fill_rate_pct,stable_gate_pass
COMMON_CLOCK,D0.50_E3M,0.5,3,245,158,64.48979591836735,25,112,21,-0.05773218629639579,-0.0895214281178289,29.11392405063291,0.8737108424766342,33.9181252577567,41.9315,-0.2514586481235467,0.147585306566591,-0.003570268269505183,0.9916850331091788,62.71186440677966,-0.19871247292521388,0.6246542178079293,69.11764705882352,False
COMMON_CLOCK,D0.50_E5M,0.5,5,245,175,71.42857142857143,26,126,23,-0.10130843538201736,-0.14183180953482427,27.42857142857143,0.8034928445512204,40.2268421689016,47.701,-0.30071648390974254,0.1110486668115709,-0.04128880513943337,0.9153258353127479,70.05649717514125,-0.2575360023369786,0.5621887960271363,75.0,False
COMMON_CLOCK,D0.50_E10M,0.5,10,245,192,78.36734693877551,29,139,24,-0.1185120193034417,-0.1512262746319959,26.5625,0.7918958099152176,42.2268421689016,52.207,-0.3279463710090917,0.10363956953841377,-0.05945195802502072,0.889838771525246,76.8361581920904,-0.2722418846899198,0.5792625418428513,82.35294117647058,False
COMMON_CLOCK,D0.50_E15M,0.5,15,245,198,80.81632653061224,29,143,26,-0.1254361159887247,-0.15521135564261393,26.767676767676768,0.7858759848981225,44.2268421689016,55.132999999999996,-0.3406118990582374,0.10034664546328924,-0.06338644213741813,0.8861247373126854,79.66101694915254,-0.28694776704286096,0.5663900409130102,83.82352941176471,False
COMMON_CLOCK,D0.75_E3M,0.75,3,245,124,50.61224489795918,25,81,18,0.04980734787615162,0.09840967927142859,33.064516129032256,1.1494466592547192,9.757309214614512,54.155,-0.06339319866743302,0.16640794982413984,0.05624351757013317,1.1697281653746447,50.847457627118644,0.03305437676093494,1.0977259834671118,50.0,True
COMMON_CLOCK,D0.75_E5M,0.75,5,245,147,60.0,29,94,24,0.06164937096277877,0.10274895160463128,32.6530612244898,1.1581721728168661,10.065373564087235,72.453,-0.06748773758621794,0.19442681480304655,0.08183942371085637,1.2201614036825486,58.19209039548022,0.00909585130969441,1.0208281683563083,64.70588235294117,True
COMMON_CLOCK,D0.75_E10M,0.75,10,245,180,73.46938775510205,34,116,30,0.047390142707585216,0.06450324979643542,32.22222222222222,1.0987801158541077,12.474566084530345,87.9805,-0.11703675728681799,0.21444817641177252,0.07245261565037696,1.1586289144277857,71.1864406779661,-0.01784600009938736,0.9669304365400425,79.41176470588235,False
COMMON_CLOCK,D0.75_E15M,0.75,15,245,187,76.32653061224491,34,121,32,0.03055124561816283,0.040027033029143816,32.0855614973262,1.0610826965673361,13.53617146029824,91.804,-0.14097518538077217,0.20624671411717188,0.06044397278648719,1.1276018551006293,74.01129943502825,-0.04725776480526969,0.916954991221518,82.35294117647058,False
COMMON_CLOCK,D1.00_E3M,1.0,3,245,101,41.224489795918366,20,62,19,0.07226963171330857,0.17530752247287726,37.62376237623762,1.2839817631639603,8.0,72.006,-0.02549611967530934,0.17911124017037183,0.061314847669836504,1.2393142060735973,41.80790960451977,0.10078429017940493,1.40313716071762,39.705882352941174,True
COMMON_CLOCK,D1.00_E5M,1.0,5,245,126,51.42857142857142,24,76,26,0.08209965925255829,0.15963822632441885,36.507936507936506,1.2592810109966848,9.2378972520908,88.582,-0.04497402208769352,0.2228031669569863,0.10389979952181565,1.3455856425555597,50.282485875706215,0.025355176492873614,1.0707696078608069,54.41176470588235,True
COMMON_CLOCK,D1.00_E10M,1.0,10,245,157,64.08163265306122,28,98,31,0.05369281764522999,0.08378815492408499,34.394904458598724,1.1318590584091,12.0,112.805,-0.09829022413876747,0.2209884061025551,0.07689047039646639,1.199511204578656,62.14689265536724,-0.006689307898429488,0.9855819549186257,69.11764705882352,False
COMMON_CLOCK,D1.00_E15M,1.0,15,245,170,69.38775510204081,28,106,36,0.03839144867099254,0.05532885249643044,34.705882352941174,1.087282727905008,12.21414710485115,125.03049999999999,-0.11590428905321273,0.20361348007291735,0.05990547854095031,1.1448241661113858,66.66666666666666,-0.017608305549338683,0.9653428606926552,76.47058823529412,False
COMMON_CLOCK,D1.25_E3M,1.25,3,245,75,30.612244897959183,15,49,11,0.018743009877660845,0.06122716560035876,32.0,1.0922249959166241,11.382007048147026,105.456,-0.06817044367176513,0.1118807121942858,-0.00795459084730561,0.9627441117703266,32.20338983050847,0.08823529411764706,1.5,26.47058823529412,False
COMMON_CLOCK,D1.25_E5M,1.25,5,245,102,41.63265306122449,19,67,16,0.015577286019140935,0.037416030144015,31.372549019607842,1.0562374216076558,11.071230585424303,122.854,-0.08047038444268109,0.11781323387006994,0.021964212769004704,1.0780786210638278,43.50282485875706,-0.0010475086091809485,0.9960583433935177,36.76470588235294,False
COMMON_CLOCK,D1.25_E10M,1.25,10,245,134,54.69387755102041,24,86,24,0.01855676728317351,0.03392841779386201,30.597014925373134,1.0516601511659707,14.792189463574786,151.5065,-0.12331319288362393,0.1720127969323965,0.011965623321555565,1.0342065164024827,54.23728813559322,0.035713127300914305,1.0930794328993831,55.88235294117647,False
COMMON_CLOCK,D1.25_E15M,1.25,15,245,151,61.63265306122449,24,98,29,-0.013667716893517357,-0.022176096946435464,30.4635761589404,0.9665161332414856,15.909831486014209,181.056,-0.1581930316190722,0.14127576830549152,-0.01552880245211333,0.9601164327318983,59.887005649717516,-0.008823420660113135,0.9807017630725617,66.17647058823529,False
COMMON_CLOCK,D1.50_E3M,1.5,3,245,54,22.040816326530614,12,37,5,0.01765123253461241,0.08008429575888965,29.629629629629626,1.1168294160818077,12.161048169996612,121.05850000000001,-0.07593422960087313,0.11728030902102843,-0.04336411315830485,0.7260329317817332,21.468926553672315,0.17647058823529413,2.3333333333333335,23.52941176470588,False
COMMON_CLOCK,D1.50_E5M,1.5,5,245,75,30.612244897959183,14,53,8,-0.015951890841043728,-0.05210951008074285,28.000000000000004,0.9262823138423802,15.125815782906887,131.256,-0.1133866817453795,0.09737266978127114,-0.062167510380215535,0.7179704971172218,29.943502824858758,0.10434464825356524,1.5068168629458882,32.35294117647059,False
