cohort,candidate,mode,cost_r,original_signals,accepted_signals,accept_rate_pct,fills,fill_rate_original_pct,fill_rate_accepted_pct,ev_r_per_original_signal,ev_r_per_accepted_signal,ev_r_per_fill,pf,max_dd_r,positive_weeks,weeks,positive_week_pct,worst_closed_utc_day_r,early_ev_r_per_original_signal,late_ev_r_per_original_signal,dd_pct_at_025risk,dd_pct_at_050risk,worst_day_pct_at_025risk,worst_day_pct_at_050risk
COMMON_CLOCK,D1.00_E3M,ALL_SIGNALS,0.0,245,245,100.0,101,41.224489795918366,41.224489795918366,0.07226963171330857,0.07226963171330857,0.17530752247287726,1.2839817631639603,8.0,5,6,83.33333333333334,-4.0,0.06131484766983651,0.10078429017940493,2.0,4.0,-1.0,-2.0
COMMON_CLOCK,D1.00_E3M,ALL_SIGNALS,0.025,245,245,100.0,101,41.224489795918366,41.224489795918366,0.06196350926432902,0.06196350926432902,0.15030752247287718,1.2374850163318856,8.200000000000003,4,6,66.66666666666666,-4.1,0.0508628702687066,0.09085781959116968,2.0500000000000007,4.100000000000001,-1.025,-2.05
COMMON_CLOCK,D1.00_E3M,ALL_SIGNALS,0.05,245,245,100.0,101,41.224489795918366,41.224489795918366,0.0516573868153494,0.0516573868153494,0.12530752247287724,1.1932243970153829,8.400000000000004,4,6,66.66666666666666,-4.2,0.04041089286757664,0.08093134900293435,2.100000000000001,4.200000000000002,-1.05,-2.1
COMMON_CLOCK,D1.00_E3M,ALL_SIGNALS,0.1,245,245,100.0,101,41.224489795918366,41.224489795918366,0.03104514191739016,0.03104514191739016,0.07530752247287723,1.1107959072732287,8.799999999999997,4,6,66.66666666666666,-4.4,0.0195069380653167,0.06107840782646374,2.1999999999999993,4.399999999999999,-1.1,-2.2
COMMON_CLOCK,D1.00_E3M,ONE_ACTIVE_SETUP,0.0,245,212,86.53061224489797,90,36.734693877551024,42.45283018867924,0.09355943399586475,0.10812293079710784,0.2546895703220763,1.4296601445610337,8.0,6,6,100.0,-4.0,0.10208321806094536,0.07137252547352259,2.0,4.0,-1.0,-2.0
COMMON_CLOCK,D1.00_E3M,ONE_ACTIVE_SETUP,0.025,245,212,86.53061224489797,90,36.734693877551024,42.45283018867924,0.08437576052647702,0.09750972324993808,0.22968957032207638,1.3779219688903328,8.199999999999994,4,6,66.66666666666666,-4.1,0.09290242710049341,0.06218134900293437,2.0499999999999985,4.099999999999997,-1.025,-2.05
COMMON_CLOCK,D1.00_E3M,ONE_ACTIVE_SETUP,0.05,245,212,86.53061224489797,90,36.734693877551024,42.45283018867924,0.07519208705708927,0.08689651570276825,0.2046895703220763,1.3286761189528467,8.400000000000006,4,6,66.66666666666666,-4.2,0.0837216361400414,0.052990172532346114,2.1000000000000014,4.200000000000003,-1.05,-2.1
COMMON_CLOCK,D1.00_E3M,ONE_ACTIVE_SETUP,0.1,245,212,86.53061224489797,90,36.734693877551024,42.45283018867924,0.056824740118313725,0.0656701006084286,0.15468957032207623,1.236974142344808,8.799999999999997,4,6,66.66666666666666,-4.4,0.06536005421913743,0.034607819591169604,2.1999999999999993,4.399999999999999,-1.1,-2.2
COMMON_CLOCK,D1.00_E5M,ALL_SIGNALS,0.0,245,245,100.0,126,51.42857142857142,51.42857142857142,0.0820996592525583,0.0820996592525583,0.15963822632441887,1.2592810109966848,9.2378972520908,4,6,66.66666666666666,-4.0,0.10389979952181565,0.025355176492873627,2.3094743130227,4.6189486260454,-1.0,-2.0
COMMON_CLOCK,D1.00_E5M,ALL_SIGNALS,0.025,245,245,100.0,126,51.42857142857142,51.42857142857142,0.06924251639541544,0.06924251639541544,0.13463822632441894,1.2131806155460447,9.787897252090788,4,6,66.66666666666666,-4.1,0.09132917805288912,0.011752235316403067,2.446974313022697,4.893948626045394,-1.025,-2.05
