feature,n,auc_raw,auc_directionless,failure_direction,sl_median,non_sl_median
gc_breakout_atr,94,0.3760075865339023,0.6239924134660977,LOW,0.5705329153605879,0.8749999999999503
gc_body_atr,94,0.39592223802750115,0.6040777619724989,LOW,1.1052631578948835,1.4264150943400071
xau_mom_30s_warning_atr,94,0.3992413466097676,0.6007586533902324,LOW,-0.7965746907707303,-0.7585394581867682
gc_range_atr,94,0.4191559981033665,0.5808440018966334,LOW,1.3861386138613776,1.6470588235292116
warning_delay_sec,94,0.5604551920341394,0.5604551920341394,HIGH,51.901,49.349
xau_approach_velocity_atr_per_sec,94,0.44333807491702226,0.5566619250829777,LOW,0.0153581310470915,0.017319908830838192
gc_buy_loc_excess,94,0.44713134186818393,0.5528686581318161,LOW,-0.1117924528301886,-0.0949223190602501
xau_mom_10s_warning_atr,94,0.46325272641062115,0.5367472735893788,LOW,-0.5488372093024709,-0.51118963486511
gc_close_pos,94,0.5362731152204836,0.5362731152204836,HIGH,0.9047619047619666,0.8947368421053388
gc_delta_excess,94,0.465149359886202,0.534850640113798,LOW,0.0738953771289537,0.0978682078734189
gc_post_delta_to_warning,94,0.46728307254623036,0.5327169274537696,LOW,-0.15355805243445692,-0.13069908814589665
xau_spread_warning_atr,94,0.46989094357515415,0.5301090564248458,LOW,0.26010218300022,0.24953367875671142
xau_spread_start_atr,94,0.4722617354196302,0.5277382645803699,LOW,0.2605135839226089,0.258780036968479
xau_prefill_range_warning_atr,94,0.5277382645803698,0.5277382645803698,HIGH,1.0299071845997527,0.9926262053318659
gc_buy_strength,94,0.4791370317686106,0.5208629682313894,LOW,1.7510729613733906,1.75
xau_remaining_to_d1_atr,94,0.510194404931247,0.510194404931247,HIGH,0.21904053551492397,0.2130464954889327
