core_bar_utc,side,open,high,low,close,atr14_wilder,delta_frac,q10_prior240,q90_prior240,sell_loc,q75_sell_loc_prior240,buy_loc,q75_buy_loc_prior240,directional_impact_atr,cooldown30_keep
2026-08-10T04:05:00+00:00,LONG,4386.7,4387.8,4383.8,4387.5,3.9347517180775604,-0.40047961630695444,-0.2523611111111111,0.15326640926640925,0.339041095890411,0.26337309394982783,0.128,0.26054251196717576,0.0,1
2026-08-10T06:30:00+00:00,SHORT,4407.6,4408.9,4406.1,4407.4,4.433718638279999,0.25555555555555554,-0.2604456527533451,0.17974189310822974,0.0895522388059701,0.26501877346683356,0.4336283185840708,0.2702850877192982,0.0,1
2026-08-10T20:40:00+00:00,LONG,4449.3,4450.5,4448.9,4449.1,3.5933825901277885,-0.4157303370786517,-0.2150533862753076,0.16543593081178498,0.3015873015873015,0.2593069306930693,0.1538461538461538,0.28377282914500973,0.05565786413873221,1
2026-08-10T20:50:00+00:00,SHORT,4447.9,4449.6,4447.6,4448.3,3.373886008834675,0.17117117117117117,-0.2150533862753076,0.1581992650385338,0.1739130434782608,0.2589314134459131,0.4461538461538462,0.28377282914500973,0.11855765101521729,0
2026-08-11T10:10:00+00:00,SHORT,4432.9,4435.0,4431.7,4431.7,3.904580388535171,0.2765957446808511,-0.2153051948051948,0.17307692307692307,0.2794117647058823,0.2389162561576354,0.2916666666666667,0.28983861615771156,0.0,1
2026-08-11T14:55:00+00:00,SHORT,4454.8,4457.4,4452.3,4453.6,6.093962547760998,0.2008238928939238,-0.21128650966916845,0.19804957923972968,0.1572164948453608,0.24169624746450305,0.5231560891938251,0.2880244755244755,0.0,1
2026-08-11T20:05:00+00:00,LONG,4428.3,4429.7,4427.6,4429.2,3.832211493145073,-0.5882352941176471,-0.20910552763819096,0.2008841061000751,0.4938271604938271,0.24169624746450305,0.4285714285714285,0.2817708333333333,0.0,1
2026-08-11T23:40:00+00:00,LONG,4427.2,4427.2,4426.2,4426.7,3.6923249436428986,-0.25925925925925924,-0.21319047619047618,0.22661107693113242,0.3529411764705882,0.244151319064211,0.3,0.28447204968944095,0.13541603397091403,1
2026-08-12T20:10:00+00:00,SHORT,4471.0,4471.0,4469.0,4469.3,3.1934521459295535,0.43902439024390244,-0.19888198757763975,0.20061068702290075,0.4347826086956521,0.2626921285514671,0.7457627118644068,0.2588586829153972,0.0,1
2026-08-13T04:05:00+00:00,SHORT,4453.7,4455.2,4453.0,4454.0,4.381271837500709,0.3594306049822064,-0.2005211726384365,0.21700044052058567,0.2,0.2825999895526806,0.3560209424083769,0.27473354958294716,0.06847326783797933,1
2026-08-13T19:15:00+00:00,LONG,4403.1,4405.0,4400.0,4404.1,4.105535328492769,-0.1988388969521045,-0.17586166673665446,0.2168615454987278,0.3075060532687651,0.2698611455492189,0.2391304347826087,0.2589673913043478,0.0,1
2026-08-13T20:10:00+00:00,SHORT,4406.0,4406.5,4405.4,4406.3,3.33588940742644,0.2222222222222222,-0.18871428571428572,0.20818675658555624,0.0857142857142857,0.26696428571428565,0.4727272727272727,0.2610231986480258,0.08993103888046002,1
2026-08-14T04:40:00+00:00,SHORT,4380.1,4381.2,4379.7,4380.1,3.2310811392899477,0.275,-0.21614938062805686,0.21554828150572833,0.0689655172413793,0.2583864098155673,0.3137254901960784,0.25912102473498233,0.0,1
2026-08-14T10:00:00+00:00,SHORT,4413.6,4413.8,4412.1,4413.2,3.1841994904477002,0.24793388429752067,-0.20770509828128317,0.217101327153992,0.2417582417582417,0.2505252100840336,0.5231788079470199,0.25823319982198484,0.0,1
2026-08-14T10:05:00+00:00,SHORT,4412.9,4415.1,4412.0,4412.5,3.1781852411300333,0.29081632653061223,-0.20770509828128317,0.2178441152385915,0.2302158273381295,0.25,0.2766798418972332,0.26213369963369965,0.0,0
2026-08-14T10:20:00+00:00,SHORT,4409.7,4410.3,4408.6,4410.0,3.082497439782304,0.3511450381679389,-0.20770509828128317,0.21826591795945557,0.0823529411764705,0.25,0.4745762711864407,0.2628205128205128,0.09732368180697301,0
2026-08-14T18:15:00+00:00,LONG,4434.6,4436.0,4434.0,4435.4,3.3454915234878966,-0.18699186991869918,-0.18540540540540537,0.2085627413920618,0.273972602739726,0.25232864230029356,0.32,0.2532431052093973,0.0,1
2026-08-19T07:15:00+00:00,LONG,4403.8,4405.2,4401.1,4404.3,4.523007087090289,-0.24804177545691905,-0.20800078375024492,0.1673290684974255,0.4309623430962343,0.2785485933503836,0.0694444444444444,0.2637005649717514,0.0,1
2026-08-19T09:35:00+00:00,SHORT,4410.8,4411.5,4410.4,4411.1,3.50921644268466,0.17647058823529413,-0.20800078375024492,0.17142829287315978,0.0952380952380952,0.2803135405105438,0.5666666666666667,0.24455782312925167,0.08548916970498194,1
