### SHEET Sheet1 dim=273x15
100	2023.03.31 20:26:26	19	XAUUSD	sell	0.2 / 0.2		0.0			2023.03.31 20:26:26		filled	sl 1971.10		
101	2023.04.04 12:00:00	20	XAUUSD	buy	0.31 / 0.31		0.0	1972.75	1992.75	2023.04.04 12:00:00		filled	CTX BUY E75 C76		
102	2023.04.04 16:44:41	21	XAUUSD	sell	0.31 / 0.31		0.0			2023.04.04 16:44:41		filled	tp 1992.75		
103	2023.07.18 08:00:00	22	XAUUSD	buy	0.46 / 0.46		0.0	1954.69	1968.19	2023.07.18 08:00:00		filled	CTX BUY E75 C76		
104	2023.07.18 14:16:31	23	XAUUSD	sell	0.46 / 0.46		0.0			2023.07.18 14:16:31		filled	tp 1968.19		
105	2023.11.03 12:00:00	24	XAUUSD	buy	0.41 / 0.41		0.0	1982.38	1997.85	2023.11.03 12:00:00		filled	CTX BUY E75 C76		
106	2023.11.03 15:31:29	25	XAUUSD	sell	0.41 / 0.41		0.0			2023.11.03 15:31:29		filled	tp 1997.85		
107	2023.11.03 16:00:00	26	XAUUSD	buy	0.17 / 0.17		0.0	1985.75	2022.2	2023.11.03 16:00:00		filled	CTX BUY E75 C76		
108	2023.11.06 05:23:28	27	XAUUSD	sell	0.17 / 0.17		0.0			2023.11.06 05:23:28		filled	sl 1985.75		
109	2023.11.24 20:00:00	28	XAUUSD	buy	0.43 / 0.43		0.0	1995.23	2009.73	2023.11.24 20:00:00		filled	CTX BUY E75 C76		
110	2023.11.27 03:24:36	29	XAUUSD	sell	0.43 / 0.43		0.0			2023.11.27 03:24:36		filled	tp 2009.73		
111	2023.11.28 16:00:00	30	XAUUSD	buy	0.25 / 0.25		0.0	2011.69	2036.32	2023.11.28 16:00:00		filled	CTX BUY E100 C76		
112	2023.11.28 18:21:28	31	XAUUSD	sell	0.25 / 0.25		0.0			2023.11.28 18:21:28		filled	tp 2036.32		
113	2023.12.21 16:00:00	32	XAUUSD	buy	0.27 / 0.27		0.0	2032.02	2055.5	2023.12.21 16:00:00		filled	CTX BUY E100 C76		
114	2023.12.22 12:20:37	33	XAUUSD	sell	0.27 / 0.27		0.0			2023.12.22 12:20:37		filled	tp 2055.50		
115	2023.12.22 16:00:00	34	XAUUSD	buy	0.26 / 0.26		0.0	2057.6	2082.0	2023.12.22 16:00:00		filled	CTX BUY E75 C76		
116	2023.12.22 18:41:39	35	XAUUSD	sell	0.26 / 0.26		0.0			2023.12.22 18:41:39		filled	sl 2057.60		
117	2023.12.27 12:00:00	36	XAUUSD	buy	0.42 / 0.42		0.0	2062.33	2077.58	2023.12.27 12:00:00		filled	CTX BUY E75 C76		
118	2023.12.27 12:30:38	37	XAUUSD	sell	0.42 / 0.42		0.0			2023.12.27 12:30:38		filled	sl 2062.33		
119	2024.03.15 12:00:00	38	XAUUSD	buy	0.37 / 0.37		0.0	2162.43	2179.32	2024.03.15 12:00:00		filled	CTX BUY E75 C76		
