gc_t0_ms,utc,period,direction,entry_price,atr,gross_r,commission_r,net_r,reason,hold_ms,iso_year,iso_week,post_signed_impulse_atr,post_aligned_volume
1786096110000,2026-08-07T09:48:30+00:00,TRAIN,1,4316.13,2.1875,0.3047619047619048,0.012276992,0.2924849127619048,TIME,299850,2026,32,0.2692307692309262,29.0
1786105620000,2026-08-07T12:27:00+00:00,TRAIN,1,4312.78,2.6285714285714414,-1.0,0.01020899613526565,-1.0102089961352656,SL,136506,2026,32,0.0729166666665975,49.0
1786381140000,2026-08-10T16:59:00+00:00,TRAIN,-1,4356.08,1.5442857142857065,0.39428512694004664,0.017551478672011598,0.376733648268035,TIME,299547,2026,33,0.1320754716979998,24.0
1786553460000,2026-08-12T16:51:00+00:00,TRAIN,-1,4403.32,2.452142857143112,1.1382334854514975,0.011173262387932942,1.1270602230635645,TIME,299846,2026,33,0.5915492957746479,36.0
1786553820000,2026-08-12T16:57:00+00:00,TRAIN,1,4400.0,3.175714285714353,0.689958514519944,0.008620982656070192,0.6813375318638739,TIME,299698,2026,33,0.2434782608696254,49.0
1786633320000,2026-08-13T15:02:00+00:00,TRAIN,-1,4382.67,2.242499999999901,1.5161649944258588,0.01216051133407709,1.5040044830917818,TIME,299704,2026,33,0.2052785923753698,36.0
1786670520000,2026-08-14T01:22:00+00:00,TRAIN,-1,4320.59,3.0750000000001427,0.007226738934081963,0.008742657271905646,-0.0015159183378236837,TIME,298799,2026,33,0.3043478260869505,62.0
1787143260000,2026-08-19T12:41:00+00:00,TRAIN,1,4414.6,5.618928571428569,0.07039697168720725,0.00488858718758166,0.0655083844996256,TIME,299851,2026,34,0.299643281807253,275.0
1787234520000,2026-08-20T14:02:00+00:00,VALID,-1,4490.19,3.3996428571427453,0.9844171306509779,0.008218204433239054,0.9761989262177388,TIME,299848,2026,34,0.1999999999999554,87.0
1787246430000,2026-08-20T17:20:30+00:00,VALID,1,4510.8,1.7971428571427819,0.118706942236251,0.01561767885532657,0.10308926338092443,TIME,299397,2026,34,0.055555555555754,27.0
1787267280000,2026-08-20T23:08:00+00:00,VALID,1,4526.76,1.2321428571427273,2.0,0.022859773526572456,1.9771402264734275,TP,252443,2026,34,0.2625000000002039,43.0
1787579790000,2026-08-24T13:56:30+00:00,VALID,-1,4666.85,5.474285714285543,0.10473208072373032,0.005304468800742454,0.09942761192298787,TIME,299693,2026,35,0.193710691823959,37.0
1787583030000,2026-08-24T14:50:30+00:00,VALID,1,4662.27,2.5214285714287143,1.0346868114572718,0.011505255524078668,1.0231815559331932,TIME,299849,2026,35,0.1586402266291108,80.0
1787666490000,2026-08-25T14:01:30+00:00,VALID,1,4618.38,4.443214285714281,0.37810465396669785,0.006467522117729022,0.37163713184896885,TIME,299853,2026,35,0.2492581602373489,161.0
1787749530000,2026-08-26T13:05:30+00:00,VALID,1,4613.27,4.771071428571304,-0.2151857673978022,0.006016424516139923,-0.22120219191394214,TIME,299862,2026,35,0.0815138282386462,43.0
1787788590000,2026-08-26T23:56:30+00:00,VALID,-1,4622.33,1.4774999999999636,-0.6407219402143746,0.01946610114683259,-0.6601880413612071,TIME,299399,2026,35,0.2100000000001178,21.0
1787925720000,2026-08-28T14:02:00+00:00,VALID,1,4583.9,8.38821428571438,-1.0,0.0034002522435578634,-1.0034002522435579,SL,165893,2026,35,0.4368499257057778,462.0
1788258720000,2026-09-01T10:32:00+00:00,VALID,1,4383.0,1.6096428571427819,0.5605108103443585,0.016942888839583663,0.5435679215047748,TIME,299702,2026,36,0.1119999999998899,65.0
1788333960000,2026-09-02T07:26:00+00:00,VALID,1,4327.09,2.141785714285756,0.24278806069702555,0.012570872695606819,0.23021718800141872,TIME,299854,2026,36,0.1761006289306665,35.0
1788353280000,2026-09-02T12:48:00+00:00,VALID,-1,4336.59,2.428214285714213,0.5088329983167146,0.011112374564887327,0.49772062375182724,TIME,299098,2026,36,0.0788732394365479,41.0
1788417360000,2026-09-03T06:36:00+00:00,VALID,1,4424.59,2.187857142856761,0.022345558094760912,0.012583446004282678,0.009762112090478234,TIME,299701,2026,36,0.1917808219178129,43.0
1788439920000,2026-09-03T12:52:00+00:00,VALID,1,4485.71,4.267857142857273,0.6373221757321867,0.006539835685727369,0.6307823400464594,TIME,299862,2026,36,0.3038759689921734,210.0
1788461400000,2026-09-03T18:50:00+00:00,VALID,-1,4477.32,1.351071428571426,0.9309483948658984,0.020619842453079604,0.9103285524128188,TIME,299844,2026,36,0.696132596685456,39.0
1788852930000,2026-09-08T07:35:30+00:00,POST_CHECK,1,4398.75,1.997857142857031,-1.0,0.0136996782266722,-1.0136996782266723,SL,192601,2026,37,0.1494661921709071,28.0
1788853320000,2026-09-08T07:42:00+00:00,POST_CHECK,-1,4391.43,2.3610714285713845,-1.0,0.01157290414964979,-1.0115729041496497,SL,207303,2026,37,0.0818713450291635,83.0
