cohort,bucket,lo_min,hi_min,n,ev_r_fill,pf,wr_pct,early_ev_r,late_ev_r,resp_5m_atr,resp_15m_atr,resp_30m_atr,ci_lo,ci_hi
COMMON_CLOCK,0-1m,0.0,1.0,44,0.4368760921216928,1.7561106237003719,43.18181818181818,0.6552940029774177,0.21845818126596794,0.1459455866351634,0.793997342161824,0.72642372067562,0.041344603104715556,0.8505684614923841
COMMON_CLOCK,1-3m,1.0,3.0,57,-0.08935660393749348,0.8723477086607241,33.33333333333333,-0.36184578204710105,0.17373639561661028,-0.48655856673627834,-0.05569143251575963,-0.4645573992512299,-0.4445260604639875,0.2858797970468192
COMMON_CLOCK,3-5m,3.0,5.0,25,-0.053891487681152934,0.9278685273727215,28.000000000000004,0.6734106946001309,-0.725247348248492,0.019374712867549215,-0.028595548818897292,-0.00032870883572103435,-0.70218863688219,0.6891304347826086
COMMON_CLOCK,5-10m,5.0,10.0,31,-0.29104089370696223,0.627501434743461,22.58064516129032,-0.5481511803277218,-0.04999999999999999,-0.29732559641695205,-0.026730270072094373,-1.1569470243967077,-0.7477798496273422,0.22508942975115265
COMMON_CLOCK,10-15m,10.0,15.0,13,-0.32750823841600823,0.526677214592205,30.76923076923077,-0.288620808672666,-0.3608403210531588,-0.43797971229166177,-1.2744582471270343,-1.0601276204019159,-1.0500000000000003,0.21967652604512977
COMMON_CLOCK,15-30m,15.0,30.0,24,-0.19045616041608215,0.7581509074081496,25.0,-0.1988920592013895,-0.18202026163077475,-0.45349873186677203,0.17670183516381818,0.7998481137922305,-0.7815825710632553,0.3638585620143567
COMMON_CLOCK,30-60m,30.0,60.0000001,12,-0.6773099902737494,0.2663002884240836,8.333333333333332,-0.3833333333333333,-0.9712866472141655,0.11498504104066432,1.4223922412232002,1.4551269087435328,-1.0500000000000003,-0.01793535768115234
AMP_ALL,0-1m,0.0,1.0,51,0.32063961379837935,1.5331287191785519,41.17647058823529,0.5344769972500378,0.11502674509486163,0.09432236795026805,0.5984897735224911,0.5129052819043171,-0.04809767660471659,0.7238351261414316
AMP_ALL,1-3m,1.0,3.0,66,0.028271473757440622,1.0423110491607959,36.36363636363637,-0.27500263428186783,0.3315455817967491,-0.25372036423707145,0.12345306224128226,-0.21793684987605144,-0.30652772801683154,0.36925794672756823
AMP_ALL,3-5m,3.0,5.0,30,-0.15334812149633706,0.7989159757930195,26.666666666666668,0.3287285556801048,-0.6354247986727788,0.027176061137343478,-0.10492565077034278,-0.2757444288002417,-0.7300136323806895,0.49839054454907245
AMP_ALL,5-10m,5.0,10.0,32,-0.3147583657786196,0.60142894416365,21.875,-0.3295167315572392,-0.30000000000000004,-0.28688696154360666,-0.07834538966097705,-1.198756820486357,-0.756962670825796,0.19564975858138545
AMP_ALL,10-15m,10.0,15.0,15,-0.22442758616632866,0.664871559007975,33.33333333333333,-0.39738926457657087,-0.07308611755736687,-0.4223577265544501,-1.1370305809194952,-0.6834836978994294,-0.8397416449889097,0.34155764062174016
AMP_ALL,15-30m,15.0,30.0,29,-0.27944517747121567,0.6491813789322399,24.137931034482758,-0.32047890788690525,-0.24114702908323876,-0.3938697920760967,0.13211584990422504,0.41328148214219573,-0.774710783022993,0.21786597905712632
AMP_ALL,30-60m,30.0,60.0000001,12,-0.6773099902737494,0.2663002884240836,8.333333333333332,-0.3833333333333333,-0.9712866472141655,0.11498504104066432,1.4223922412232002,1.4551269087435328,-1.0500000000000003,-0.01793535768115234
