feature,clock,n,sl_median,non_sl_median,auc_raw,auc_directionless,failure_direction,standardized_mean_diff_sl_minus_non
gc_breakout_atr,ORDER_START_DEPLOYABLE,103,0.5709807433946659,0.8777429467084739,0.36046511627906974,0.6395348837209303,LOW,-0.35808973831031227
gc_body_atr,ORDER_START_DEPLOYABLE,103,1.108187134503008,1.4608695652175003,0.3937984496124031,0.6062015503875968,LOW,-0.22843996276621747
xau_mom_30s_atr,FILL_TIME_DIAGNOSTIC_ONLY,103,-1.0120737919694651,-0.9127906976742751,0.4054263565891473,0.5945736434108527,LOW,-0.3996436283613047
gc_range_atr,ORDER_START_DEPLOYABLE,103,1.4033634245778037,1.659955257270506,0.4155038759689922,0.5844961240310078,LOW,-0.1195253856514115
xau_spread_start_atr,ORDER_START_DEPLOYABLE,103,0.26090797404337707,0.2611398963730203,0.44108527131782943,0.5589147286821705,LOW,-0.2819544502081214
xau_spread_fill_atr,FILL_TIME_DIAGNOSTIC_ONLY,103,0.25510125483986434,0.2628820960700511,0.4414728682170543,0.5585271317829457,LOW,-0.281994764086573
gc_buy_strength,ORDER_START_DEPLOYABLE,103,1.7569797796557673,1.7708333333333333,0.4606589147286822,0.5393410852713179,LOW,-0.008752787034636077
xau_mom_10s_atr,FILL_TIME_DIAGNOSTIC_ONLY,103,-0.5346713189297524,-0.622119815668424,0.5356589147286821,0.5356589147286821,HIGH,0.17439892379884955
xau_fill_overshoot_atr,FILL_TIME_DIAGNOSTIC_ONLY,103,0.0211856890761555,0.023642025141225407,0.5341085271317829,0.5341085271317829,HIGH,0.2433540947146623
gc_close_pos,ORDER_START_DEPLOYABLE,103,0.9066133720930498,0.8947368421053388,0.5317829457364341,0.5317829457364341,HIGH,0.0996023467009499
xau_prefill_range_atr,FILL_TIME_DIAGNOSTIC_ONLY,103,1.31397888736103,1.251622206200359,0.4817829457364341,0.5182170542635659,LOW,0.14782589319797973
fill_delay_sec,FILL_TIME_DIAGNOSTIC_ONLY,103,70.5075,66.758,0.5174418604651163,0.5174418604651163,HIGH,0.07730626422982631
gc_delta_excess,ORDER_START_DEPLOYABLE,103,0.07734007395686227,0.08698480028278543,0.48953488372093024,0.5104651162790698,LOW,-0.11458929977407922
gc_buy_loc_excess,ORDER_START_DEPLOYABLE,103,-0.10120300297187085,-0.10103092783505158,0.4903100775193798,0.5096899224806202,LOW,0.0696275931473647
gc_post_delta_frac,FILL_TIME_DIAGNOSTIC_ONLY,103,-0.16358024691358025,-0.18181818181818182,0.4972868217054263,0.5027131782945737,LOW,-0.09921112488267955
