candidate,sl_atr,tp_atr,rr_nominal,cost_r,period,n,ev_r,pf,wr_pct,tp_rate_pct,sl_rate_pct,timeout_rate_pct,cum_r,maxdd_r,maxdd_pct_at_025,max_consec_losses
Q60,0.5,0.75,1.5,0.0,TRAIN,12,-0.5833333333333334,0.3,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-7.0,8.5,2.125,6
Q60,0.5,0.75,1.5,0.0,VALID,22,-0.09090909090909091,0.8571428571428571,36.36363636363637,36.36363636363637,63.63636363636363,0.0,-2.0,6.5,1.625,5
Q60,0.5,0.75,1.5,0.0,POST_CHECK,12,-0.16666666666666666,0.75,33.33333333333333,33.33333333333333,66.66666666666666,0.0,-2.0,3.5,0.875,3
Q60,0.5,0.75,1.5,0.0,FULL,46,-0.2391304347826087,0.65625,30.434782608695656,30.434782608695656,69.56521739130434,0.0,-11.0,14.0,3.5,6
Q60,0.5,0.75,1.5,0.02,TRAIN,12,-0.6033333333333332,0.2901960784313726,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-7.239999999999998,8.719999999999999,2.1799999999999997,6
Q60,0.5,0.75,1.5,0.02,VALID,22,-0.11090909090909093,0.8291316526610646,36.36363636363637,36.36363636363637,63.63636363636363,0.0,-2.4400000000000004,6.78,1.695,5
Q60,0.5,0.75,1.5,0.02,POST_CHECK,12,-0.18666666666666668,0.7254901960784313,33.33333333333333,33.33333333333333,66.66666666666666,0.0,-2.24,3.62,0.905,3
Q60,0.5,0.75,1.5,0.02,FULL,46,-0.25913043478260867,0.6348039215686275,30.434782608695656,30.434782608695656,69.56521739130434,0.0,-11.919999999999998,14.779999999999989,3.694999999999997,6
Q60,0.5,0.75,1.5,0.05,TRAIN,12,-0.6333333333333333,0.27619047619047615,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-7.6,9.049999999999999,2.2624999999999997,6
Q60,0.5,0.75,1.5,0.05,VALID,22,-0.14090909090909093,0.7891156462585032,36.36363636363637,36.36363636363637,63.63636363636363,0.0,-3.1000000000000005,7.2,1.8,5
Q60,0.5,0.75,1.5,0.05,POST_CHECK,12,-0.2166666666666667,0.6904761904761905,33.33333333333333,33.33333333333333,66.66666666666666,0.0,-2.6000000000000005,3.8000000000000007,0.9500000000000002,3
Q60,0.5,0.75,1.5,0.05,FULL,46,-0.2891304347826088,0.6041666666666665,30.434782608695656,30.434782608695656,69.56521739130434,0.0,-13.300000000000004,15.950000000000005,3.987500000000001,6
Q60,0.5,0.75,1.5,0.1,TRAIN,12,-0.6833333333333332,0.2545454545454545,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-8.2,9.6,2.4,6
