feature,side,threshold,eligible_train,train_removed_fill_frac,train_sum_r_delta,train_ev_fill_delta,train_pf_delta,valid_sum_r_delta,valid_ev_fill_delta,valid_pf_delta,full_signals,full_accepted,full_fills,full_sum_r,full_ev_r_per_signal,full_ev_r_per_fill,full_pf,full_max_dd_r,full_fail_fills,full_good_fills,train_signals,train_accepted,train_fills,train_sum_r,train_ev_r_per_signal,train_ev_r_per_fill,train_pf,train_max_dd_r,train_fail_fills,train_good_fills,valid_signals,valid_accepted,valid_fills,valid_sum_r,valid_ev_r_per_signal,valid_ev_r_per_fill,valid_pf,valid_max_dd_r,valid_fail_fills,valid_good_fills
delta_excess,LOW,0.03740348488043328,True,0.17142857142857137,-1.0377025054748188,0.036388069110296906,0.06549171344926252,-7.297228915662627,-0.23172111617733646,-0.34283015212266343,279,189,85,15.753803193592777,0.05646524442147949,0.18533886110109155,1.297807490513696,7.550000000000008,51,32,195,134,58,17.326858825445427,0.08885568628433553,0.2987389452663004,1.5096242181153272,4.2,33,24,84,55,27,-1.5730556318526467,-0.018726852760150556,-0.05826131969824611,0.9167695432882198,7.35,18,8
delta_excess,HIGH,0.03740348488043328,False,0.7857142857142857,-18.376858825445424,-0.26317070912434865,-0.4455964921095381,1.5730556318526459,0.869001477186999,2.056980912735982,279,63,22,7.284931421137449,0.026110865308736374,0.33113324641533853,1.6307299931720731,6.924534686971327,11,10,195,38,15,-0.012297494525178365,-6.306407448809418e-05,-0.0008198329683451281,0.9985360125565266,6.924534686971327,8,6,84,25,7,7.297228915662626,0.08687177280550745,1.0424612736660894,3.3165806081468654,2.1,3,4
delta_excess,LOW,0.05201703255447275,True,0.22857142857142854,-0.8377025054748231,0.0622205835744673,0.12401223705560427,-8.148004109460803,-0.28363392491776407,-0.41349371608712615,279,172,76,15.103027999794602,0.05413271684514194,0.19872405262887635,1.3241042889995709,7.473830825650836,45,29,195,126,54,17.526858825445423,0.08988132730997653,0.3245714597304708,1.568144741721669,4.766015104398289,30,23,84,46,22,-2.423830825650823,-0.028855128876795512,-0.11017412843867373,0.8461059793237571,7.273830825650822,15,6
delta_excess,HIGH,0.05201703255447275,False,0.7142857142857143,-18.576858825445424,-0.2729657508822624,-0.4625132401227904,2.423830825650823,0.5055405459759765,1.033734290217816,279,81,32,7.935706614935626,0.02844339288507393,0.2479908317167383,1.4445774013969537,6.924534686971327,17,13,195,48,20,-0.21229749452517765,-0.001088705100129116,-0.0106148747262589,0.9816192645432743,6.924534686971327,11,7,84,33,12,8.148004109460803,0.09700004892215242,0.6790003424550669,2.293333985628699,3.1500000000000004,6,6
delta_excess,LOW,0.06552623111909836,True,0.30000000000000004,2.1863694749286964,0.15705587498377083,0.32703006582500715,-3.9480041094608036,-0.07478373123746943,-0.10581881451485065,279,154,67,22.327099980198124,0.08002544795769936,0.3332402982119123,1.5844900034145741,5.423420557756163,37,28,195,113,49,20.550930805848942,0.10538938874794329,0.4194067511397743,1.7711625704910718,3.150000000000002,26,22,84,41,18,1.7761691743491768,0.021144871123204484,0.09867606524162092,1.1537808808960326,5.42342055775616,11,6
delta_excess,HIGH,0.06552623111909836,False,0.6428571428571428,-21.600930805848943,-0.39180565515315136,-0.649616280852014,-1.7761691743491772,0.07329046036220987,0.11640069596633595,279,99,41,0.7116346345321067,0.0025506617725165118,0.01735694230566111,1.0271098908393181,9.01911652703713,25,14,195,61,25,-3.236369474928698,-0.016596766538095886,-0.12945477899714786,0.7945162238140507,7.35,15,8,84,38,16,3.948004109460803,0.04700004892215242,0.24675025684130023,1.3760003913772192,5.25,10,6
delta_excess,LOW,0.14831830495507647,False,0.6571428571428571,-5.634531036804834,0.26806705276547205,0.6212057755198281,-9.474583551704644,-0.5485008232685568,-0.769859595804715,279,79,34,8.979620026220745,0.03218501801512812,0.2641064713594337,1.4652825333778843,7.321251819505114,19,13,195,57,24,12.730030294115412,0.06528220663648929,0.5304179289214755,2.065338280185893,2.4992845895804265,12,11,84,22,10,-3.7504102678946643,-0.044647741284460286,-0.37504102678946644,0.4897400996061682,5.221251819505108,7,2
delta_excess,HIGH,0.14831830495507647,False,0.30000000000000004,-12.730030294115409,-0.14736044683345584,-0.2524817891284854,3.750410267894665,0.2213145181752698,0.3849297979023574,279,170,73,15.109114588509481,0.0541545325753028,0.20697417244533536,1.3426103081294671,6.300000000000002,42,29,195,114,49,5.6345310368048365,0.028895030957973522,0.11499042932254765,1.1916507155375793,5.789111229830052,28,19,84,56,24,9.474583551704646,0.1127926613298172,0.39477431465436014,1.6445294933132406,6.3,14,10
delta_excess,LOW,0.174556884480897,False,0.7428571428571429,-6.574014941502753,0.392679478811635,0.8958112452359601,-8.845425103315089,-0.6936684330632751,-0.8541238515070944,279,64,24,8.669294569912385,0.0310727403939512,0.3612206070796827,1.6170630621534932,5.221251819505113,14,10,195,48,18,11.790546389417493,0.060464340458551244,0.6550303549676385,2.339943749902025,2.1000000000000014,9,9,84,16,6,-3.121251819505108,-0.037157759756013195,-0.5202086365841847,0.40547584390378894,3.15,5,1
delta_excess,HIGH,0.174556884480897,False,0.22857142857142854,-11.790546389417493,-0.1406098587207673,-0.24216583979654804,3.12125181950511,0.15414854068072784,0.2669137035959672,279,183,81,15.419440044817845,0.055266810196479735,0.19036345734343021,1.3124506594694607,7.350000000000002,47,32,195,122,54,6.574014941502753,0.03371289713591155,0.12174101743523617,1.2019666648695166,5.789111229830052,31,21,84,61,27,8.84542510331509,0.10530267980137012,0.3276083371598182,1.5265133990068505,7.35,16,11
