feed,time,side,open,high,low,close,buy_vol,sell_vol,delta,delta_frac,atr14,body_atr,dir_result,b_thresh,stage_b,response_time,response_offset,stage_d,fwd_1m_atr,fwd_3m_atr,fwd_5m_atr,fwd_15m_atr
RITHMIC_RAW,2026-08-03 04:17:00+00:00,SHORT,4122.3,4125.3,4122.3,4123.5,294.0,60.0,234.0,0.6610169491525424,1.0857142857143376,1.1052631578945165,1.1052631578945165,,False,,,False,0.27631578947383856,-1.1052631578945165,-1.381578947368355,-2.02631578947342
RITHMIC_RAW,2026-08-03 04:22:00+00:00,LONG,4125.4,4126.2,4124.5,4125.0,12.0,42.0,-30.0,-0.5555555555555556,1.107142857142922,-0.36129032258029536,0.36129032258029536,,False,,,False,-0.8129032258060753,-0.45161290322577996,-1.1741935483871921,-0.9032258064515599
RITHMIC_RAW,2026-08-03 04:59:00+00:00,LONG,4120.9,4121.3,4119.3,4119.4,7.0,35.0,-28.0,-0.6666666666666666,1.207142857142961,-1.242603550295751,1.242603550295751,,False,,,False,-0.24852071005854748,0.5798816568052866,-1.0769230769223814,-5.550295857987537
RITHMIC_RAW,2026-08-03 05:10:00+00:00,LONG,4116.0,4116.0,4113.2,4113.3,7.0,35.0,-28.0,-0.6666666666666666,1.6714285714285455,-1.6153846153845317,1.6153846153845317,,False,,,False,-0.5982905982906076,-0.5384615384618733,-1.1965811965812152,1.3162393162392279
RITHMIC_RAW,2026-08-03 05:13:00+00:00,SHORT,4112.1,4113.1,4111.8,4112.4,38.0,11.0,27.0,0.5510204081632653,1.5071428571427532,0.19905213270095276,0.19905213270095276,,False,,,False,-0.19905213270155622,1.32701421800957,0.13270142180083633,-2.2559241706166313
RITHMIC_RAW,2026-08-03 05:14:00+00:00,SHORT,4112.7,4112.7,4112.0,4112.7,26.0,7.0,19.0,0.5757575757575758,1.4285714285712987,0.0,0.0,,False,,,False,0.9799999999998344,1.1899999999999809,0.839999999999949,-1.9600000000003055
RITHMIC_RAW,2026-08-03 05:18:00+00:00,SHORT,4111.7,4112.6,4111.7,4112.2,25.0,7.0,18.0,0.5625,1.4857142857142338,0.3365384615384733,0.3365384615384733,,False,,,False,0.4711538461537402,-0.3365384615384733,-0.4038461538464128,-1.2788461538465659
RITHMIC_RAW,2026-08-03 05:24:00+00:00,SHORT,4112.9,4114.2,4112.9,4114.2,82.0,21.0,61.0,0.5922330097087378,1.1857142857143117,1.096385542168804,1.096385542168804,,False,,,False,-1.096385542168804,-0.8433734939758851,-1.096385542168804,1.4337349397588512
RITHMIC_RAW,2026-08-03 05:34:00+00:00,LONG,4114.0,4114.0,4111.0,4111.4,11.0,38.0,-27.0,-0.5510204081632653,1.4857142857142338,-1.750000000000306,1.750000000000306,,False,,,False,0.2019230769232064,1.0096153846154199,0.7403846153848861,2.692307692307786
RITHMIC_RAW,2026-08-03 05:47:00+00:00,LONG,4117.3,4118.8,4116.6,4116.7,9.0,28.0,-19.0,-0.5135135135135135,2.2785714285715977,-0.2633228840126793,0.2633228840126793,,False,,,False,-0.5705329153605391,-0.7899686520376388,0.6144200626961187,3.642633228839935
RITHMIC_RAW,2026-08-03 05:52:00+00:00,SHORT,4114.9,4118.3,4114.9,4118.1,29.0,4.0,25.0,0.7575757575757576,2.1214285714286882,1.5084175084177682,1.5084175084177682,,False,,,False,0.0,-1.0370370370368942,-1.4612794612791236,-2.4511784511782304
RITHMIC_RAW,2026-08-03 05:55:00+00:00,LONG,4120.5,4121.0,4119.7,4120.3,15.0,57.0,-42.0,-0.5833333333333334,1.9714285714286623,-0.1014492753622219,0.1014492753622219,,False,,,False,0.3550724637680073,2.1811594202898466,2.1811594202898466,0.7608695652173563
RITHMIC_RAW,2026-08-03 06:05:00+00:00,SHORT,4123.4,4125.9,4123.4,4125.6,108.0,28.0,80.0,0.5882352941176471,2.0642857142856235,1.0657439446370776,1.0657439446370776,,False,,,False,0.5813148788931116,1.1141868512112099,1.8408304498271588,0.6782006920418167
RITHMIC_RAW,2026-08-03 06:08:00+00:00,LONG,4123.0,4123.8,4121.8,4123.3,11.0,69.0,-58.0,-0.725,2.0214285714284546,0.14840989399303142,-0.14840989399303142,,False,,,False,-0.19787985865752522,-0.24734982332156907,-0.8409893992932449,1.03886925795032
RITHMIC_RAW,2026-08-03 06:14:00+00:00,LONG,4121.7,4122.2,4121.2,4121.2,4.0,26.0,-22.0,-0.7333333333333333,1.7857142857142858,-0.27999999999999997,0.27999999999999997,,False,,,False,0.5599999999999999,1.4,2.0160000000002034,1.3440000000003056
RITHMIC_RAW,2026-08-03 06:57:00+00:00,SHORT,4119.6,4121.5,4119.6,4121.5,35.0,8.0,27.0,0.627906976744186,1.3642857142856104,1.3926701570679023,1.3926701570679023,,False,,,False,0.806282722513417,1.0994764397906596,3.2984293193719787,1.7591623036647888
