seed_time,gc_entry_time,broker_entry_target_msc,broker_exit_target_msc,entry_lag_ms,exit_lag_ms,executable,reject_reason,entry_tick_msc,exit_tick_msc,entry_bid,entry_ask,entry_spread,exit_ask,xau_atr14_m1,ret_30m_price,ret_30m_atr,ret_30m_bps
2026-08-07T13:14:00+00:00,2026-08-07T13:16:00+00:00,1786119360000,1786121160000,4,9,True,,1786119360004,1786121160009,4345.72,4346.17,0.4499999999998181,4358.2,3.687499999999935,-12.479999999999563,-3.3844067796609583,-28.717910956066113
2026-08-13T11:32:00+00:00,2026-08-13T11:34:00+00:00,1786631640000,1786633440000,155,10,True,,1786631640155,1786633440010,4386.77,4387.22,0.4499999999998181,4386.35,1.2549999999999142,0.42000000000007276,0.33466135458175417,0.9574242552038805
2026-08-13T19:09:00+00:00,2026-08-13T19:11:00+00:00,1786659060000,1786660860000,305,304,True,,1786659060305,1786660860304,4352.81,4353.26,0.4499999999998181,4353.48,1.0932142857142415,-0.6699999999991633,-0.6128716105840356,-1.5392355742593018
2026-08-14T11:42:00+00:00,2026-08-14T11:45:00+00:00,1786718700000,1786720500000,162,6,True,,1786718700162,1786720500006,4362.33,4362.77,0.4400000000005093,4372.07,1.3589285714287402,-9.739999999999782,-7.167411300918792,-22.32751763392449
2026-08-17T09:51:00+00:00,2026-08-17T09:53:00+00:00,1786971180000,1786972980000,1655,313,True,,1786971181655,1786972980313,4393.5,4393.95,0.4499999999998181,4396.42,1.3639285714285247,-2.9200000000000728,-2.1408745744960678,-6.646181859565432
2026-08-17T11:42:00+00:00,2026-08-17T11:44:00+00:00,1786977840000,1786979640000,32,4,True,,1786977840032,1786979640004,4400.24,4400.68,0.4400000000005093,4394.03,1.3057142857142026,6.210000000000036,4.7560175054707905,14.112866570914397
2026-08-20T14:01:00+00:00,2026-08-20T14:03:00+00:00,1787245380000,1787247180000,26,12,True,,1787245380026,1787247180012,4487.36,4487.81,0.4500000000007276,4495.09,3.4110714285714363,-7.730000000000473,-2.266150141346589,-17.22616415888289
2026-08-21T15:25:00+00:00,2026-08-21T15:27:00+00:00,1787336820000,1787338620000,3,7,True,,1787336820003,1787338620007,4600.49,4600.94,0.4499999999998181,4614.98,2.6914285714287223,-14.489999999999782,-5.383757961783057,-31.4966449226056
2026-08-24T00:38:00+00:00,2026-08-24T00:40:00+00:00,1787542800000,1787544600000,307,156,True,,1787542800307,1787544600156,4601.22,4601.68,0.4600000000000364,4623.43,4.920357142857483,-22.210000000000036,-4.513899978224273,-48.2698067034396
2026-08-25T15:41:00+00:00,2026-08-25T15:44:00+00:00,1787683440000,1787685240000,6,302,True,,1787683440006,1787685240302,4654.53,4654.96,0.43000000000029104,4645.02,3.479285714285782,9.509999999999309,2.733319646889504,20.431708464655525
