market,state,metric,n_state,n_other,mean_state,mean_other,effect,n,mean
BTCUSDT,EXPANSION,range8_atr,656.0,6202.0,1.7981986292404766,1.4450462653671563,0.3531523638733203,,
BTCUSDT,RANGE,range8_atr,1995.0,4863.0,1.426078425193712,1.5004665392406744,-0.07438811404696244,,
BTCUSDT,PULLBACK,signed24_atr,,,,,,2113.0,0.0111976843782313
BTCUSDT,EXPANSION,signed8_atr,,,,,,565.0,0.2108619504971811
EURUSD,EXPANSION,range8_atr,493.0,4038.0,1.4398158360696989,1.5097834300908874,-0.06996759402118857,,
EURUSD,RANGE,range8_atr,1437.0,3094.0,1.5386481938416372,1.4852285854359837,0.05341960840565352,,
EURUSD,PULLBACK,signed24_atr,,,,,,1061.0,-0.13775781848871443
EURUSD,EXPANSION,signed8_atr,,,,,,391.0,0.05427337271505189
XAUUSD,EXPANSION,range8_atr,573.0,3937.0,1.6306156324099783,1.4693121423308768,0.1613034900791015,,
XAUUSD,RANGE,range8_atr,1344.0,3166.0,1.3805058914592538,1.5362049095408534,-0.15569901808159958,,
XAUUSD,PULLBACK,signed24_atr,,,,,,950.0,0.318682845603214
XAUUSD,EXPANSION,signed8_atr,,,,,,495.0,0.0867313568320272
