market,state,metric,n_state,n_other,mean_state,mean_other,effect,n,mean
BTCUSDT,EXPANSION,range8_atr,1094.0,10931.0,1.7628824921020216,1.4441425624830122,0.31873992961900943,,
BTCUSDT,RANGE,range8_atr,3316.0,8709.0,1.452080442219836,1.4811593811528814,-0.029078938933045473,,
BTCUSDT,PULLBACK,signed24_atr,,,,,,3823.0,-0.009929748923303748
BTCUSDT,EXPANSION,signed8_atr,,,,,,903.0,0.15325048743355124
BTCUSDT,REVERSAL,reverse12_atr,,,,,,0.0,
EURUSD,EXPANSION,range8_atr,539.0,4408.0,1.4365677144682658,1.5118181727809885,-0.0752504583127227,,
EURUSD,RANGE,range8_atr,1511.0,3436.0,1.538104311411821,1.4884542750796659,0.049650036332155034,,
EURUSD,PULLBACK,signed24_atr,,,,,,1193.0,-0.07721917329684286
EURUSD,EXPANSION,signed8_atr,,,,,,424.0,0.032340929478224006
EURUSD,REVERSAL,reverse12_atr,,,,,,0.0,
XAUUSD,EXPANSION,range8_atr,700.0,5088.0,1.5955347428828262,1.4798525366153807,0.11568220626744541,,
XAUUSD,RANGE,range8_atr,1621.0,4167.0,1.4064773209085797,1.5278292030535703,-0.1213518821449906,,
XAUUSD,PULLBACK,signed24_atr,,,,,,1321.0,0.2805006176948076
XAUUSD,EXPANSION,signed8_atr,,,,,,584.0,0.055832484487473445
XAUUSD,REVERSAL,reverse12_atr,,,,,,0.0,
