scope,state,n,share,residual_ev,parent_ev,median_minutes,mfe60,mae60,mfe120,mae120
FULL,FAVORABLE_FIRST,159,0.48623853211009177,0.15107404834646088,0.5891214683579296,30.0,0.8480386583285896,0.267075102989329,1.1814442204367763,0.3051168199598283
FULL,ADVERSE_FIRST,145,0.4434250764525994,0.08642958856233895,-0.47694218887066764,30.0,0.23372749687020355,0.7234957155707078,0.2991874322860303,0.8685936877517582
FULL,NONE_120,23,0.07033639143730887,,0.16103666261785224,,0.2815121192323826,0.3139273078160155,0.2899530159935613,0.3531518208466507
