scope,n,resolved_n,fav_n,adv_n,adv_share,fav_residual,adv_residual,gap,boot_lo,boot_hi
2021,62,56,34,22,0.39285714285714285,0.13619044872622493,0.1262688021503201,0.00992164657590483,-0.5419477995964486,0.5220387110798863
2022,49,45,21,24,0.5333333333333333,0.2904101235200179,-0.13467350572215714,0.425083629242175,-0.151109490808273,0.9336512426694568
2023,52,49,28,21,0.42857142857142855,-0.15403565622395235,0.14545507173784875,-0.2994907279618011,-0.9166880625007255,0.3282934884445086
2024,64,60,27,33,0.55,0.31805133742604236,0.054845470373702083,0.2632058670523403,-0.2870418155517275,0.7185262728118401
2025_H1,32,30,15,15,0.5,0.1533512267259392,-0.19453753545996288,0.3478887621859021,-0.2866878217178425,0.9582467370779738
2025_H2,33,29,18,11,0.3793103448275862,0.23467698741608764,-0.04545454545453587,0.28013153287062353,-0.5340499326309959,0.9762117683146903
2026_JAN_JUL,35,35,16,19,0.5428571428571428,0.1558027453665071,0.60737614919138,-0.451573403824873,-1.3192810319141521,0.4167558459986928
BAD_POOLED,81,75,36,39,0.52,0.23330224985581843,-0.15769813254439013,0.39100038240020857,-0.04470410196417039,0.7954432723608822
RECENT_POOLED,68,64,34,30,0.46875,0.19755969703981446,0.36800489448787754,-0.17044519744806308,-0.7840483985648522,0.4148998971778555
