entry_time,exit_time,hold_hours,state,gross_r,samebar,entry_price,signal_atr,stop_distance,dir,year,cost_r_1bps,net_r_1bps,cost_r_2bps,net_r_2bps,cost_r_3bps,net_r_3bps,cost_r_5bps,net_r_5bps
2023-03-23 13:00:00,2023-03-23 15:42:00,2.7,SL,-1.0,False,1978.07,6.617874960606269,9.926812440909403,1,2023,0.019926537463810363,-1.0199265374638105,0.039853074927620726,-1.0398530749276207,0.05977961239143108,-1.0597796123914311,0.09963268731905181,-1.0996326873190518
2023-03-23 17:00:00,2023-03-23 21:03:00,4.05,TP,1.5,False,1984.02,7.25218025692098,10.87827038538147,1,2023,0.01823837733125463,1.4817616226687453,0.03647675466250926,1.4635232453374907,0.05471513199376389,1.445284868006236,0.09119188665627317,1.408808113343727
2023-03-23 23:00:00,2023-03-24 09:31:00,10.516666666666667,SL,-1.0,False,1997.86,8.18939154201913,12.284087313028696,1,2023,0.016263804946103227,-1.0162638049461032,0.032527609892206454,-1.0325276098922065,0.04879141483830968,-1.0487914148383097,0.08131902473051614,-1.0813190247305162
2023-03-24 16:00:00,2023-03-24 16:58:00,0.9666666666666667,SL,-1.0,False,1998.88,6.731173460050003,10.096760190075004,1,2023,0.019797241514806656,-1.0197972415148067,0.03959448302961331,-1.0395944830296133,0.05939172454441996,-1.05939172454442,0.09898620757403329,-1.0989862075740333
2023-03-24 18:00:00,2023-03-24 20:22:00,2.3666666666666667,SL,-1.0,False,1994.46,7.567542422185964,11.351313633278945,1,2023,0.01757030123943355,-1.0175703012394335,0.0351406024788671,-1.0351406024788672,0.052710903718300645,-1.0527109037183007,0.08785150619716775,-1.0878515061971679
2023-03-24 21:00:00,2023-03-27 09:10:00,60.166666666666664,SL,-1.0,False,1979.77,7.873553462661294,11.810330193991941,1,2023,0.016763036828615793,-1.0167630368286158,0.033526073657231585,-1.0335260736572316,0.050289110485847374,-1.0502891104858474,0.08381518414307897,-1.083815184143079
2023-03-27 12:00:00,2023-03-27 12:33:00,0.55,SL,-1.0,False,1968.32,5.767747421042608,8.651621131563912,1,2023,0.02275088067389974,-1.0227508806738996,0.04550176134779948,-1.0455017613477995,0.0682526420216992,-1.0682526420216991,0.1137544033694987,-1.1137544033694986
2023-03-27 13:00:00,2023-03-27 15:47:00,2.783333333333333,SL,-1.0,False,1955.99,6.265765462396708,9.398648193595061,1,2023,0.02081139712552447,-1.0208113971255244,0.04162279425104894,-1.041622794251049,0.0624341913765734,-1.0624341913765734,0.10405698562762235,-1.1040569856276223
2023-03-27 16:00:00,2023-03-28 04:20:00,12.333333333333334,TP,1.5,False,1945.67,6.955975481372272,10.43396322205841,1,2023,0.018647468450786422,1.4813525315492135,0.037294936901572845,1.462705063098427,0.05594240535235926,1.4440575946476408,0.0932373422539321,1.406762657746068
2023-03-28 05:00:00,2023-03-28 09:13:00,4.216666666666667,SL,-1.0,False,1962.6,5.259180529568209,7.888770794352313,1,2023,0.02487840059195349,-1.0248784005919536,0.04975680118390698,-1.049756801183907,0.07463520177586047,-1.0746352017758605,0.12439200295976745,-1.1243920029597674
2023-03-28 12:00:00,2023-03-28 15:20:00,3.3333333333333335,TP,1.5,False,1950.26,4.942289368406539,7.413434052609809,1,2023,0.026307106614288082,1.4736928933857119,0.052614213228576165,1.447385786771424,0.07892131984286424,1.4210786801571358,0.13153553307144042,1.3684644669285595
2023-03-28 16:00:00,2023-03-30 04:09:00,36.15,SL,-1.0,False,1965.25,5.1111731219038425,7.666759682855764,1,2023,0.02563338465394511,-1.0256333846539452,0.05126676930789022,-1.0512667693078903,0.07690015396183532,-1.0769001539618352,0.12816692326972554,-1.1281669232697256
2023-04-05 16:00:00,2023-04-05 16:28:00,0.4666666666666667,SL,-1.0,False,2031.52,4.526166833604361,6.789250250406541,1,2023,0.0299225971215062,-1.0299225971215062,0.0598451942430124,-1.0598451942430125,0.08976779136451858,-1.0897677913645185,0.149612985607531,-1.149612985607531
2023-04-05 19:00:00,2023-04-06 05:00:00,10.0,SL,-1.0,False,2021.71,6.250188969908427,9.37528345486264,1,2023,0.0215642546674299,-1.02156425466743,0.0431285093348598,-1.04312850933486,0.0646927640022897,-1.0646927640022896,0.10782127333714951,-1.1078212733371495
2023-04-06 17:00:00,2023-04-10 04:03:00,83.05,SL,-1.0,False,2003.59,5.307278812755345,7.960918219133017,1,2023,0.02516782542979321,-1.0251678254297931,0.05033565085958642,-1.0503356508595865,0.07550347628937962,-1.0755034762893796,0.12583912714896603,-1.125839127148966
2023-04-10 13:00:00,2023-04-10 15:53:00,2.8833333333333333,SL,-1.0,False,2000.6,4.791467595487289,7.187201393230933,1,2023,0.027835591220307387,-1.0278355912203074,0.05567118244061477,-1.0556711824406149,0.08350677366092216,-1.083506773660922,0.13917795610153694,-1.139177956101537
2023-04-11 03:00:00,2023-04-11 09:21:00,6.35,TP,1.5,False,1992.37,4.158372980489727,6.23755947073459,1,2023,0.03194149906462312,1.4680585009353768,0.06388299812924624,1.4361170018707539,0.09582449719386935,1.4041755028061307,0.1597074953231156,1.3402925046768843
