entry_time,exit_time,hold_hours,state,gross_r,samebar,entry_price,signal_atr,stop_distance,dir,year,cost_r_1bps,net_r_1bps,cost_r_2bps,net_r_2bps,cost_r_3bps,net_r_3bps,cost_r_5bps,net_r_5bps
2023-05-25 16:00:00,2023-05-25 16:19:00,0.31666666666666665,SL,-1.0,False,1943.62,5.442556435099632,8.163834652649447,-1,2023,0.023807684534243086,-1.023807684534243,0.04761536906848617,-1.0476153690684862,0.07142305360272924,-1.0714230536027292,0.11903842267121542,-1.1190384226712153
2023-05-25 17:00:00,2023-05-26 10:40:00,17.666666666666668,SL,-1.0,False,1946.6,5.812373832592508,8.718560748888763,-1,2023,0.022327079618595383,-1.0223270796185955,0.044654159237190766,-1.0446541592371907,0.06698123885578615,-1.0669812388557862,0.11163539809297691,-1.111635398092977
2023-05-26 13:00:00,2023-05-26 17:35:00,4.583333333333333,TP,1.5,False,1953.57,4.504713213448478,6.757069820172717,-1,2023,0.028911496432488616,1.4710885035675114,0.05782299286497723,1.4421770071350228,0.08673448929746583,1.4132655107025343,0.14455748216244307,1.3554425178375569
2023-05-26 18:00:00,2023-05-30 12:55:00,90.91666666666667,SL,-1.0,False,1942.06,5.181845832764859,7.772768749147288,-1,2023,0.024985433925498606,-1.0249854339254987,0.04997086785099721,-1.0499708678509971,0.0749563017764958,-1.0749563017764958,0.124927169627493,-1.124927169627493
2023-05-30 18:00:00,2023-05-31 16:42:00,22.7,SL,-1.0,False,1958.48,4.982049745263473,7.473074617895209,-1,2023,0.026207151676368595,-1.0262071516763687,0.05241430335273719,-1.0524143033527371,0.07862145502910577,-1.0786214550291058,0.13103575838184295,-1.131035758381843
2023-06-05 15:00:00,2023-06-05 16:58:00,1.9666666666666666,SL,-1.0,False,1942.27,4.305371580869602,6.458057371304403,-1,2023,0.03007514316348817,-1.0300751431634882,0.06015028632697634,-1.0601502863269763,0.09022542949046448,-1.0902254294904645,0.15037571581744083,-1.1503757158174408
2023-06-26 14:00:00,2023-06-26 16:47:00,2.783333333333333,TP,1.5,False,1931.94,3.819444428944967,5.72916664341745,-1,2023,0.03372113468229643,1.4662788653177037,0.06744226936459286,1.4325577306354071,0.10116340404688928,1.3988365959531106,0.16860567341148214,1.331394326588518
2023-06-29 16:00:00,2023-06-29 17:09:00,1.15,SL,-1.0,False,1896.12,4.279650039857498,6.419475059786247,-1,2023,0.029536994572623765,-1.0295369945726238,0.05907398914524753,-1.0590739891452476,0.08861098371787128,-1.0886109837178712,0.14768497286311882,-1.1476849728631189
2023-06-29 18:00:00,2023-06-30 17:26:00,23.433333333333334,SL,-1.0,False,1910.95,5.132045187428138,7.698067781142207,-1,2023,0.0248237616805767,-1.0248237616805767,0.0496475233611534,-1.0496475233611533,0.07447128504173009,-1.0744712850417302,0.1241188084028835,-1.1241188084028835
2023-06-30 18:00:00,2023-06-30 20:07:00,2.1166666666666667,SL,-1.0,False,1915.42,4.0196407527425775,6.029461129113866,-1,2023,0.03176768137290412,-1.0317676813729042,0.06353536274580825,-1.0635353627458082,0.09530304411871236,-1.0953030441187124,0.1588384068645206,-1.1588384068645206
