month,bps,n,ev_r,pf,win_rate,cum_r,max_dd_r,recovery_factor,tp_rate,sl_rate,time_rate,cum_return_proxy_pct_at_025,max_dd_proxy_pct_at_025,median_hold_hours
2023-03,2.0,12,-0.41626465623907033,0.46682806522257597,0.25,-4.995175874868844,6.227913324656767,-0.8020625231074708,0.25,0.75,0.0,-1.248793968717211,1.5569783311641918,3.6916666666666664
2023-04,2.0,8,-0.737367542875063,0.19578810830632434,0.125,-5.898940343000504,5.898940343000505,-0.9999999999999999,0.125,0.875,0.0,-1.474735085750126,1.4747350857501262,8.175
2023-05,2.0,8,0.20499545832071883,1.3937469038294241,0.5,1.6399636665657507,3.107566293414532,0.5277324799284624,0.5,0.5,0.0,0.40999091664143766,0.776891573353633,2.658333333333333
2023-07,2.0,5,-0.06572978090361983,0.8971328275516559,0.4,-0.32864890451809914,3.194886149739692,-0.10286717244834413,0.4,0.6,0.0,-0.08216222612952478,0.798721537434923,12.333333333333334
2023-09,2.0,1,-1.0916050486271678,0.0,0.0,-1.0916050486271678,1.0916050486271678,-1.0,0.0,1.0,0.0,-0.27290126215679195,0.27290126215679195,11.366666666666667
2023-10,2.0,9,0.6171758295547478,2.763921410744843,0.6666666666666666,5.5545824659927305,2.098138983595094,2.647385377910062,0.6666666666666666,0.3333333333333333,0.0,1.3886456164981826,0.5245347458987735,13.35
2023-11,2.0,12,0.18564435586501848,1.348424043728273,0.5,2.227732270380222,3.2069283278049827,0.69466231941174,0.5,0.5,0.0,0.5569330675950555,0.8017320819512457,5.858333333333333
2023-12,2.0,13,0.2954434015083967,1.6134796469074402,0.5384615384615384,3.840764219609157,4.128602057184574,0.9302820098453124,0.5384615384615384,0.46153846153846156,0.0,0.9601910549022893,1.0321505142961436,6.266666666666667
2024-02,2.0,3,-0.2144811235183889,0.6928628558278185,0.3333333333333333,-0.6434433705551668,2.094970871365698,-0.30713714417218135,0.3333333333333333,0.6666666666666666,0.0,-0.1608608426387917,0.5237427178414245,16.75
2024-03,2.0,25,0.3476800978972545,1.7515549200443665,0.56,8.692002447431364,3.1086366695745133,2.7960818105581504,0.56,0.44,0.0,2.173000611857841,0.7771591673936283,7.366666666666666
2024-04,2.0,22,-0.01317295735121271,0.9784777239107053,0.4090909090909091,-0.28980506172667964,4.964880647730387,-0.058371002706612746,0.4090909090909091,0.5909090909090909,0.0,-0.07245126543166991,1.2412201619325967,6.091666666666667
2024-05,2.0,15,-0.04404126438181044,0.929744591082511,0.4,-0.6606189657271566,4.369097527044279,-0.15120261372926352,0.4,0.6,0.0,-0.16515474143178915,1.0922743817610698,4.666666666666667
2024-06,2.0,1,-1.0549057725593707,0.0,0.0,-1.0549057725593707,1.0549057725593707,-1.0,0.0,1.0,0.0,-0.26372644313984267,0.26372644313984267,9.033333333333333
2024-07,2.0,19,-0.002326892020009335,0.9961821315925997,0.42105263157894735,-0.04421094838017736,5.250130913375123,-0.008420923041661015,0.42105263157894735,0.5789473684210527,0.0,-0.01105273709504434,1.3125327283437807,3.85
2024-08,2.0,15,-0.3753873819565655,0.5084300995348559,0.26666666666666666,-5.630810729348482,7.477316142262573,-0.7530523816590489,0.26666666666666666,0.7333333333333333,0.0,-1.4077026823371206,1.8693290355656433,3.8666666666666667
2024-09,2.0,17,0.41960950291677007,1.9683300351662834,0.5882352941176471,7.133361549585091,1.0637064021725129,6.7061376475838825,0.5882352941176471,0.4117647058823529,0.0,1.7833403873962728,0.2659266005431282,11.983333333333333
2024-10,2.0,6,0.6137378021429076,2.7419184224408943,0.6666666666666666,3.6824268128574458,1.0672704289551085,3.4503221610502766,0.6666666666666666,0.3333333333333333,0.0,0.9206067032143614,0.2668176072387771,16.5
2024-11,2.0,2,-1.0551179906596766,0.0,0.0,-2.110235981319353,2.110235981319353,-1.0,0.0,1.0,0.0,-0.5275589953298383,0.5275589953298383,27.375
2024-12,2.0,3,-1.0451068221216548,0.0,0.0,-3.1353204663649645,3.1353204663649645,-1.0,0.0,1.0,0.0,-0.7838301165912411,0.7838301165912411,5.5
2025-01,2.0,17,0.11493613813768408,1.203959037938953,0.47058823529411764,1.9539143483406294,4.246891483957884,0.46008106298955437,0.47058823529411764,0.5294117647058824,0.0,0.48847858708515735,1.061722870989471,9.7
2025-02,2.0,23,0.47279433243425795,2.153072801159455,0.6086956521739131,10.874269645987933,3.1650982536192256,3.435681541182308,0.6086956521739131,0.391304347826087,0.0,2.7185674114969833,0.7912745634048064,4.8
2025-03,2.0,7,0.7327014007124638,3.438355670420418,0.7142857142857143,5.128909804987247,1.0589140017841916,4.843556508220133,0.7142857142857143,0.2857142857142857,0.0,1.2822274512468117,0.2647285004460479,14.166666666666666
2025-04,2.0,22,-0.003053116398022163,0.9949599946390932,0.4090909090909091,-0.06716856075648758,4.176130057256314,-0.01608392455109907,0.4090909090909091,0.5909090909090909,0.0,-0.016792140189121896,1.0440325143140785,2.8083333333333336
2025-05,2.0,7,0.0415372494239218,1.0706460663432928,0.42857142857142855,0.2907607459674526,3.081810235540761,0.09434738797810281,0.42857142857142855,0.5714285714285714,0.0,0.07269018649186315,0.7704525588851903,4.85
2025-06,2.0,2,-1.0371680370822598,0.0,0.0,-2.0743360741645196,2.0743360741645196,-1.0,0.0,1.0,0.0,-0.5185840185411299,0.5185840185411299,42.349999999999994
2025-07,2.0,5,-0.5536138914720623,0.34408792805652577,0.2,-2.7680694573603115,3.1681674838733667,-0.8737131074825945,0.2,0.8,0.0,-0.6920173643400779,0.7920418709683417,9.35
2025-08,2.0,1,-1.0631130637705373,0.0,0.0,-1.0631130637705373,1.0631130637705373,-1.0,0.0,1.0,0.0,-0.2657782659426343,0.2657782659426343,53.11666666666667
2025-09,2.0,26,0.3956126832875248,1.8932892130887702,0.5769230769230769,10.285929765475645,4.815434194601055,2.1360337094852158,0.5769230769230769,0.4230769230769231,0.0,2.5714824413689112,1.2038585486502638,7.075000000000001
2025-10,2.0,26,0.6021533551038464,2.6897765780176535,0.6538461538461539,15.655987232700006,3.622410853209356,4.321979992641982,0.6538461538461539,0.34615384615384615,0.0,3.9139968081750016,0.905602713302339,9.683333333333334
2025-11,2.0,6,-0.6132190719133276,0.2842423524555224,0.16666666666666666,-3.6793144314799657,5.14044725068946,-0.7157576475444776,0.16666666666666666,0.8333333333333334,0.0,-0.9198286078699914,1.285111812672365,6.083333333333333
2025-12,2.0,17,-0.15530559914947184,0.7676928127409042,0.35294117647058826,-2.640195185541021,6.795227889303768,-0.38853666551741395,0.35294117647058826,0.6470588235294118,0.0,-0.6600487963852553,1.698806972325942,9.233333333333333
2026-01,2.0,24,0.32797370364026857,1.699163844860209,0.5416666666666666,7.871368887366446,4.040528388638742,1.9481038444128636,0.5416666666666666,0.4583333333333333,0.0,1.9678422218416114,1.0101320971596854,7.275
2026-03,2.0,6,-0.5998636933012418,0.29264636497325497,0.16666666666666666,-3.5991821598074507,5.088235900097362,-0.707353635026745,0.16666666666666666,0.8333333333333334,0.0,-0.8997955399518627,1.2720589750243405,0.44166666666666665
