year,bps,n,ev_r,pf,win_rate,cum_r,max_dd_r,recovery_factor,tp_rate,sl_rate,time_rate,cum_return_proxy_pct_at_025,max_dd_proxy_pct_at_025,median_hold_hours,eligible,positive
2023,2.0,68,0.013951065463724188,1.023161674796388,0.4264705882352941,0.9486724515332448,12.14893425775309,0.07808688658660162,0.4264705882352941,0.5735294117647058,0.0,0.2371681128833112,3.0372335644382726,6.0,True,True
2024,2.0,128,0.04639405870228552,1.0788169719137675,0.4375,5.938439513892547,12.945530390246399,0.458725083861127,0.4375,0.5625,0.0,1.4846098784731367,3.2363825975615996,6.5,True,True
2025,2.0,159,0.20061367780117031,1.3833850134566834,0.4968553459119497,31.89757477038608,9.941920470230336,3.2083916649603887,0.4968553459119497,0.5031446540880503,0.0,7.97439369259652,2.485480117557584,7.516666666666667,True,True
2026,2.0,30,0.14240622425196647,1.2613518243948794,0.4666666666666667,4.272186727558994,9.128764288736104,0.4679917886400468,0.4666666666666667,0.5333333333333333,0.0,1.0680466818897485,2.282191072184026,7.133333333333333,True,True
