broker,server_tz_offset_hours,entry_server,decision_utc,side,entry_price,initial_sl,exit_server,exit_price,profit_usd,comment,source_file,binance_entry_ref,entry_atr15,vol_percentile_7d,high_vol,close15,expansion15_atr,eff15,persist15,failed_early,HVFE,actual_R,exit15_shadow_R,stopcap075_shadow_R,stopcap_mode
ICTrader,3,2026-09-25 11:40:57,2026-09-25 08:40:00,SELL,84311.43,84635.05,2026-09-25 12:06:25,84642.09,-56.21,CF191GS1790325000,ReportHistory-53049472_itctrader.xlsx,84294.7,215.92857142857247,0.47619047619047616,False,84329.1,-0.1593119417797287,-0.17029702970302496,0.4666666666666667,True,False,-1.021753908905486,-1.021753908905486,-1.021753908905486,not_HVFE
GetLeveraged,3,2026-09-25 13:25:01,2026-09-25 10:25:00,BUY,84544.24,84196.92,2026-09-25 13:43:25,84799.21,20.4,CF191GB1790330700,ReportHistory-236791_getleveraged.xlsx,84492.0,229.80714285714097,0.5798611111111112,False,84656.0,0.7136418736207437,0.2817869415807555,0.6,False,False,0.7341068755038467,0.7341068755038467,0.7341068755038467,not_HVFE
GetLeveraged,3,2026-09-25 14:10:01,2026-09-25 11:10:00,BUY,85086.58,84733.78,2026-09-25 14:41:54,84727.41,-28.73,CF191GB1790332800,ReportHistory-236791_getleveraged.xlsx,85047.1,230.08571428571304,0.5639880952380952,False,84900.0,-0.6393269588973342,-0.2120513190139964,0.3333333333333333,True,False,-1.0180555555555422,-1.0180555555555422,-1.0180555555555422,not_HVFE
GetLeveraged,3,2026-09-25 15:25:02,2026-09-25 12:25:00,BUY,84285.38,83858.6,2026-09-25 16:44:08,83839.7,-35.65,CF191GB1790338500,ReportHistory-236791_getleveraged.xlsx,84250.2,285.22142857142796,0.7371031746031746,False,84460.0,0.7355688562770897,0.4246963562753462,0.4666666666666667,False,False,-1.0442851117672074,-1.0442851117672074,-1.0442851117672074,not_HVFE
