n,resid_n,mean_residual,cum_residual,t_residual,pf_residual,mean_total,t_total,median_mae,stop15_touch,median_delay_h,long_n,short_n,window,state
322,322,0.49071121842669657,158.0090123333963,1.7746069388087842,1.3248433488901599,0.9907112184266958,3.582805806259249,1.9368490101170037,0.562111801242236,0.25,162,160,2021,ACCEPT_FIRST
244,244,0.6162547105395513,150.36614937165052,1.8438886150630112,1.399063498794641,0.11625471053955135,0.3478443791912676,3.0325920173741867,0.7745901639344263,0.25,129,115,2021,ADVERSE_FIRST
64,0,,0.0,,,0.7812761081314906,1.1679362780759976,2.3755186522722935,0.6875,,27,37,2021,AMBIGUOUS_SAME_BAR
1,0,,0.0,,,0.17964002248146121,,0.6592200030158041,0.0,,0,1,2021,NONE
268,268,0.5759298917143687,154.34921097945082,1.8071725304150674,1.3803047234877308,1.075929891714367,3.3760896472499433,1.8916367712068798,0.5746268656716418,0.25,136,132,2022,ACCEPT_FIRST
220,220,0.2598622217431084,57.16968878348385,0.6016720488501089,1.135181667876874,-0.24013777825689384,-0.556003054545462,3.0714288570061945,0.7772727272727272,0.25,119,101,2022,ADVERSE_FIRST
41,0,,0.0,,,0.07670276655120035,0.07122536930769655,3.5669304985845485,0.7804878048780488,,21,20,2022,AMBIGUOUS_SAME_BAR
0,0,,0.0,,,,,,,,0,0,2022,NONE
265,265,0.9902863103390794,262.42587223985606,2.491997835938076,1.617586332026541,1.4902863103390807,3.7502187211105706,1.7992656058751637,0.569811320754717,0.25,133,132,2023,ACCEPT_FIRST
254,254,-0.1083536580230527,-27.521829137855388,-0.25468749727192586,0.9443659884854705,-0.6083536580230529,-1.4299477603713966,3.3856652686247024,0.8228346456692913,0.25,113,141,2023,ADVERSE_FIRST
52,0,,0.0,,,0.3522425770926501,0.3572442201427251,3.2705033149180744,0.75,,22,30,2023,AMBIGUOUS_SAME_BAR
1,0,,0.0,,,-0.2868544240656895,,1.2133834701864799,0.0,,0,1,2023,NONE
253,253,0.2992727341307594,75.71600173508213,0.8237967066185897,1.1682476484597426,0.7992727341307585,2.2001277462826505,1.9790632336527472,0.5849802371541502,0.25,122,131,2024,ACCEPT_FIRST
280,280,0.05126291935448005,14.353617419254412,0.1438869405982437,1.0255354306273707,-0.44873708064552015,-1.2595343082314816,2.90919936783252,0.8,0.25,133,147,2024,ADVERSE_FIRST
49,0,,0.0,,,0.5117786196283429,0.6077995074621495,3.8802570093458018,0.7959183673469388,,23,26,2024,AMBIGUOUS_SAME_BAR
1,0,,0.0,,,1.572014794913782,,1.2154647332683226,0.0,,1,0,2024,NONE
128,128,0.304341335336422,38.955690923062015,0.5956013779284719,1.1624021933641873,0.8043413353364208,1.5741102243690759,2.235466841183623,0.609375,0.25,68,60,2025_H1,ACCEPT_FIRST
112,112,-0.3274017792744397,-36.668999278737246,-0.4366113010291132,0.8720809022585797,-0.827401779274439,-1.103393415037005,3.3097546907828517,0.7678571428571429,0.25,49,63,2025_H1,ADVERSE_FIRST
16,0,,0.0,,,2.1500041365266958,0.9809602480661329,2.9100284044388003,0.8125,,11,5,2025_H1,AMBIGUOUS_SAME_BAR
0,0,,0.0,,,,,,,,0,0,2025_H1,NONE
132,132,-0.05419813408132071,-7.1541536987343335,-0.11923188517751097,0.9719642711244736,0.4458018659186785,0.9807311227612061,2.6029851583963346,0.6742424242424242,0.25,57,75,2025_H2,ACCEPT_FIRST
143,143,-0.015103125383250676,-2.1597469298048466,-0.030493330073661836,0.9926729863759468,-0.5151031253832509,-1.039997300274388,3.4406283194386518,0.8181818181818182,0.25,74,69,2025_H2,ADVERSE_FIRST
34,0,,0.0,,,0.5382476829588736,0.4272974492076912,2.88551353308522,0.6176470588235294,,16,18,2025_H2,AMBIGUOUS_SAME_BAR
0,0,,0.0,,,,,,,,0,0,2025_H2,NONE
128,128,0.827588924482328,105.93138233373799,1.7192639010937112,1.555138753446616,1.3275889244823313,2.7579824304464022,2.0913285596017896,0.578125,0.25,58,70,2026_JAN_JUL,ACCEPT_FIRST
150,150,0.025147484852655496,3.7721227278983243,0.059460667105123474,1.013139087516629,-0.4748525151473442,-1.1227781820982112,3.214583961436544,0.8466666666666667,0.25,70,80,2026_JAN_JUL,ADVERSE_FIRST
37,0,,0.0,,,-1.0636300240672716,-1.3358851866341492,3.3479965899403337,0.7837837837837838,,19,18,2026_JAN_JUL,AMBIGUOUS_SAME_BAR
1,0,,0.0,,,4.369920472467345,,0.42280460387235247,0.0,,0,1,2026_JAN_JUL,NONE
5,5,-4.383317862483696,-21.91658931241848,-1.9236390402105075,0.023425245469606792,-3.8833178624836924,-1.7042117592603019,6.649767887406963,0.8,0.25,5,0,AUG2026_REUSED_AUDIT,ACCEPT_FIRST
7,7,-5.625145775771618,-39.376020430401326,-3.573510397988236,0.0,-6.1251457757716095,-3.891147534911854,8.808411544703922,1.0,0.25,4,3,AUG2026_REUSED_AUDIT,ADVERSE_FIRST
1,0,,0.0,,,-9.60161030595797,,11.539291465378254,1.0,,0,1,AUG2026_REUSED_AUDIT,AMBIGUOUS_SAME_BAR
0,0,,0.0,,,,,,,,0,0,AUG2026_REUSED_AUDIT,NONE
1496,1496,0.5268937278381357,788.233016845851,3.6600074017779454,1.3213221358584244,1.0268937278381354,7.133200579456379,1.9901748236470282,0.5848930481283422,0.25,736,760,ALL_PRE_AUG,ACCEPT_FIRST
1403,1403,0.11355025157226636,159.3110029558897,0.6902459087149342,1.0584622755778026,-0.3864497484277341,-2.3491392936843933,3.139433701340165,0.8004276550249465,0.25,687,716,ALL_PRE_AUG,ADVERSE_FIRST
293,0,,0.0,,,0.37503900079918434,1.0067650723202657,3.205328338016438,0.7406143344709898,,139,154,ALL_PRE_AUG,AMBIGUOUS_SAME_BAR
4,0,,0.0,,,1.4586802164492245,1.392327331047362,0.9363017366011419,0.0,,1,3,ALL_PRE_AUG,NONE
260,260,0.3799124178269371,98.77722863500364,1.146813631844528,1.2214738445646092,0.8799124178269384,2.6561268025013276,2.425088310079482,0.6269230769230769,0.25,115,145,POOLED_RECENT,ACCEPT_FIRST
293,293,0.005502989071991403,1.6123757980934812,0.016986588431915597,1.002771087693363,-0.4944970109280086,-1.5264099375009033,3.3010343913005533,0.8327645051194539,0.25,144,149,POOLED_RECENT,ADVERSE_FIRST
71,0,,0.0,,,-0.29653365732235687,-0.404559258678415,3.1610780319649017,0.704225352112676,,35,36,POOLED_RECENT,AMBIGUOUS_SAME_BAR
1,0,,0.0,,,4.369920472467345,,0.42280460387235247,0.0,,0,1,POOLED_RECENT,NONE
