n,resid_n,mean_residual,cum_residual,t_residual,pf_residual,mean_total,t_total,median_mae,stop15_touch,median_delay_h,long_n,short_n,horizon,state,baseline_mean
1466,1466,0.5340041516272113,782.8500862854917,3.640040542174402,1.3218727253860931,1.034004151627211,7.048291705655536,2.004487634667181,0.5852660300136425,0.25,719,747,1H,ACCEPT_FIRST,0.34723565954371016
1378,1378,0.09484894661153791,130.70184843069924,0.5698539791785698,1.0483838370025365,-0.4051510533884624,-2.4341539699684915,3.1716125738136918,0.8033381712626996,0.25,674,704,1H,ADVERSE_FIRST,0.34723565954371016
292,0,,0.0,,,0.381741465471821,1.021419241190534,3.18335752358945,0.7397260273972602,,138,154,1H,AMBIGUOUS_SAME_BAR,0.34723565954371016
60,0,,0.0,,,0.6790787544622674,1.444082084684179,1.8569566387069174,0.5666666666666667,,32,28,1H,NONE,0.34723565954371016
1496,1496,0.5268937278381357,788.233016845851,3.6600074017779454,1.3213221358584244,1.0268937278381354,7.133200579456379,1.9901748236470282,0.5848930481283422,0.25,736,760,2H,ACCEPT_FIRST,0.34723565954371016
1403,1403,0.11355025157226636,159.3110029558897,0.6902459087149342,1.0584622755778026,-0.3864497484277341,-2.3491392936843933,3.139433701340165,0.8004276550249465,0.25,687,716,2H,ADVERSE_FIRST,0.34723565954371016
293,0,,0.0,,,0.37503900079918434,1.0067650723202657,3.205328338016438,0.7406143344709898,,139,154,2H,AMBIGUOUS_SAME_BAR,0.34723565954371016
4,0,,0.0,,,1.4586802164492245,1.392327331047362,0.9363017366011419,0.0,,1,3,2H,NONE,0.34723565954371016
1498,1498,0.5294892871249881,793.1749521132322,3.6825006369140088,1.3233367091653676,1.0294892871249879,7.159908703948929,1.9889885038081903,0.5841121495327103,0.25,737,761,4H,ACCEPT_FIRST,0.34723565954371016
1404,1404,0.11395344941479428,159.99064297837117,0.6931886723833309,1.05871168272201,-0.38604655058520615,-2.3483545013564213,3.138653395440814,0.7998575498575499,0.25,687,717,4H,ADVERSE_FIRST,0.34723565954371016
293,0,,0.0,,,0.37503900079918434,1.0067650723202657,3.205328338016438,0.7406143344709898,,139,154,4H,AMBIGUOUS_SAME_BAR,0.34723565954371016
1,0,,0.0,,,-0.2868544240656895,,1.2133834701864799,0.0,,0,1,4H,NONE,0.34723565954371016
