SL,TP,hold,RR,N,pos_years,EV,PF,MaxDD_R,SumR,R_DD,Y2021,Y2022,Y2023,Y2024,Y2025
1.5,1.5,6,1.0,2559,1,-0.06344703666448694,0.8769716977357409,195.46382205925633,-162.36096682442206,-0.8306445925077691,18.39269248596218,-21.00218714267812,-39.74576850167503,-58.501837271877584,-61.50386639415344
1.5,1.5,12,1.0,2550,1,-0.05910840881407444,0.8876555751107795,188.97845580120585,-150.72644247588983,-0.797585321759879,19.465002961252672,-28.95630218017559,-31.71035334393009,-50.051630294057006,-59.473159618980034
1.5,1.5,18,1.0,2548,1,-0.05899713249217272,0.8883666243347575,189.31104959333342,-150.32469359005609,-0.7940619098197096,19.173070813424452,-28.53834516124408,-29.68786498272662,-51.68199252478214,-59.58956173472791
1.5,1.5,24,1.0,2546,1,-0.0587137604792434,0.8890794080839738,188.47159018343103,-149.4852341801537,-0.7931446539749909,19.173070813424452,-29.26784658407961,-31.90795877074454,-48.33131223370702,-59.151187405047125
1.5,2.0,6,1.3333333333333333,2551,1,-0.0479041126492718,0.9152349106974321,158.16698986788865,-122.20339136829237,-0.7726226026705357,23.405111654098203,-22.488533619390505,-32.288707277831904,-48.05914327630883,-42.77211884885923
1.5,2.0,12,1.3333333333333333,2537,1,-0.046293692799937336,0.9209263796438758,156.9404383518035,-117.44709863344103,-0.7483545978772359,17.972652367679032,-28.886563674618277,-22.89303372998625,-33.820396717737935,-49.819756878777525
1.5,2.0,18,1.3333333333333333,2535,1,-0.04703233370396609,0.9204140026698407,159.49604952138293,-119.22696593955403,-0.7475230032175173,17.21368179346241,-28.351103944932248,-23.22893018062487,-36.91182794505495,-47.9487856624043
1.5,2.0,24,1.3333333333333333,2533,1,-0.04660953214460903,0.9212918978288707,158.33102850412357,-118.06194492229467,-0.7456652434947069,17.21368179346241,-30.56792034860662,-24.448419419703953,-32.63892823500434,-47.62035871244216
1.5,3.0,6,2.0,2510,1,-0.051173121328606214,0.9177075542211223,173.9071055058156,-128.4445345348016,-0.738581291208405,26.287930089525233,-21.38369887416465,-32.72293921944758,-48.68921330857558,-51.936613222138995
1.5,3.0,12,2.0,2482,1,-0.03560844440705666,0.9460802460052794,142.67925694600098,-88.38015901831463,-0.6194324312451626,28.734396987415803,-18.231577094998915,-16.36686371198746,-32.85628722492477,-49.65982797381915
