signal_ts,entry_ts,entry_k,side,entry_price,atr,R,exit_ts,exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,anchor_high,anchor_low,rejection_minute,rejection_close,class_1m,reclaim_minute_1m,class_3m,reclaim_minute_3m,class_5m,reclaim_minute_5m,period
1609480800,1609482600,6,-1,29120.47,129.00357142857087,-1.0075244609322458,1609494000,INITIAL_STOP,0.06371916613605205,0.8567979845519175,-0.7471110988067713,0.0648819246421955,0.8567979845519175,-0.5955649068408838,2.3136568755018048,0.8567979845519175,0.6404473851776207,2.3136568755018048,0.8567979845519175,0.4970405027546527,29191.0,29120.46,7.0,29194.39,RECLAIMED_1M,1.0,RECLAIMED_3M,1.0,RECLAIMED_5M,1.0,historical
1609494300,1609496100,51,1,29306.43,155.02357142857156,-1.006301499771922,1609515600,INITIAL_STOP,0.5954578336013497,0.34917270645478504,-0.30427630821120566,0.5954578336013497,0.473605396414382,-0.0499923974695092,0.5954578336013497,0.473605396414382,0.13817253597378062,0.9548225385079708,0.5953933272820211,-0.10585486999672758,29359.99,29261.54,10.0,29259.05,RECLAIMED_1M,1.0,RECLAIMED_3M,1.0,RECLAIMED_5M,1.0,historical
1609523700,1609524000,144,-1,29099.0,125.77428571428547,-1.007711963229668,1609524300,INITIAL_STOP,0.7659753299561599,1.5981009063855918,-1.0995888326026177,0.7659753299561599,1.5981009063855918,0.4293405420140396,3.7518002771404713,1.5981009063855918,0.0984302946321157,3.7518002771404713,1.5981009063855918,0.40175143681423925,29156.57,29066.0,4.0,29273.16,NO_RECLAIM_1M,,NO_RECLAIM_3M,,NO_RECLAIM_5M,,historical
1609550400,1609551600,236,1,29302.85,118.98785714285701,1.995671028856499,1609568700,PROFIT_STOP,1.0685964354105895,0.042609389913734294,0.5422402045827048,1.120198339566471,0.042609389913734294,0.9845542462316216,1.656891759663365,0.042609389913734294,1.1131387956754364,1.656891759663365,0.30137529039575334,-0.018909492565267784,29336.6,29244.58,,,NO_REJECTION,,NO_REJECTION,,NO_REJECTION,,historical
1609569900,1609570200,298,1,29718.46,119.81785714285668,-1.0082676769302519,1609581900,INITIAL_STOP,0.680532951801852,0.29720110882590245,0.4495990938627319,0.9286595725655085,0.29720110882590245,0.07503055232646152,0.9286595725655085,0.58805925660973,0.4811469790455891,1.5032817669677465,0.58805925660973,1.0343199499239981,29720.0,29610.0,,,NO_REJECTION,,NO_REJECTION,,NO_REJECTION,,historical
1609590300,1609591200,368,1,30584.69,148.74428571428584,2.7106413746186346,1609595100,PROFIT_STOP,2.5231893662181566,0.5559205155540096,0.9963407958048849,2.5231893662181566,0.5559205155540096,1.1826336665994353,4.576243024942147,0.5559205155540096,4.07995505229494,7.330365632293206,0.5559205155540096,4.712987773840064,30679.0,30276.0,,,NO_REJECTION,,NO_REJECTION,,NO_REJECTION,,historical
1609637700,1609639200,528,-1,32611.14,290.4578571428577,-1.0037424981740641,1609649700,INITIAL_STOP,0.07006179898238965,0.46502443186987846,-0.18202296374442922,0.07006179898238965,0.7879284184329672,-0.7020639827267714,0.07006179898238965,1.0914492144176433,-0.5331238119127256,0.5160473242983339,1.0914492144176433,0.03322340836265138,32794.1,32564.56,,,NO_REJECTION,,NO_REJECTION,,NO_REJECTION,,historical
1609652400,1609653000,574,-1,33943.32,275.5821428571435,-1.0041056506356585,1609658700,INITIAL_STOP,0.9155890776667542,0.314534167930226,-0.11531951842203716,0.9155890776667542,0.8634086284877532,-0.19812604486605703,0.9155890776667542,0.8634086284877532,0.11081995256794351,0.9155890776667542,3.225644415069392,-2.840786387258145,34125.0,33928.16,,,NO_REJECTION,,NO_REJECTION,,NO_REJECTION,,historical
1609660500,1609661400,602,-1,34308.73,403.23285714285754,0.3642305094893833,1609683000,TIME_EXIT,1.261628339527327,0.17610172073561284,-0.10105823292461276,1.261628339527327,0.6900727335853305,-0.6518318022553341,1.261628339527327,1.0792523285021283,-0.0975118949348649,1.261628339527327,1.0792523285021283,0.15045896911746787,34473.84,34201.1,,,NO_REJECTION,,NO_REJECTION,,NO_REJECTION,,historical
1609725300,1609726800,820,-1,33099.31,399.10928571428457,2.0144864824588598,1609745400,PROFIT_STOP,0.21124539823499305,0.1934307287835706,0.11019538150129748,0.21124539823499305,0.6643794306249916,-0.6096826325764755,0.21124539823499305,1.3740096250042662,-0.8124090608909637,0.21124539823499305,1.3887173760140925,-0.9056416699328819,33262.45,33081.47,,,NO_REJECTION,,NO_REJECTION,,NO_REJECTION,,historical
