period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,positive_periods,periods_total,skips
historical,CONTROL,5297,0.39022087974325087,0.1322202021482657,1.2256575126182987,700.3704107793633,31.976920699121933,21.902371944106395,14,5,5,0
historical,SKIP_CONFIRM_AGE_GT_15M,5248,0.38852896341463417,0.1384542772742332,1.2331388111155237,726.6080471351759,39.79848372454683,18.257179146928657,14,5,5,1966
forward_2026,CONTROL,544,0.3694852941176471,0.06525338378964178,1.1054907878098506,35.49784078156513,27.632952848676066,1.2846198875653596,16,4,6,0
forward_2026,SKIP_CONFIRM_AGE_GT_15M,540,0.35185185185185186,0.030153436849394633,1.0470417400931913,16.282855898673102,30.111757967900946,0.5407474354712396,13,4,6,209
