transition_time,destination,lag,window,seq_score,active_count,rank,top2
2020-01-07 04:00:00+00:00,EXPANSION,3,3,40.0,2.0,1.0,True
2020-01-09 08:00:00+00:00,PULLBACK,1,1,20.0,2.0,3.0,False
2020-01-09 08:00:00+00:00,PULLBACK,1,2,20.0,2.0,3.0,False
2020-01-09 08:00:00+00:00,PULLBACK,1,3,20.0,2.0,3.0,False
2020-01-09 08:00:00+00:00,PULLBACK,2,1,10.0,1.0,4.0,False
2020-01-09 08:00:00+00:00,PULLBACK,2,2,10.0,1.0,4.0,False
2020-01-09 08:00:00+00:00,PULLBACK,2,3,30.0,2.0,3.0,False
2020-01-09 08:00:00+00:00,PULLBACK,3,1,10.0,1.0,4.0,False
2020-01-09 08:00:00+00:00,PULLBACK,3,2,30.0,2.0,3.0,False
2020-01-09 08:00:00+00:00,PULLBACK,3,3,40.0,3.0,2.0,True
2020-01-10 04:00:00+00:00,EXPANSION,1,1,20.0,2.0,3.0,False
2020-01-10 04:00:00+00:00,EXPANSION,1,2,35.0,3.0,3.0,False
2020-01-10 04:00:00+00:00,EXPANSION,1,3,65.0,4.0,1.0,True
2020-01-10 04:00:00+00:00,EXPANSION,2,1,25.0,2.0,3.0,False
2020-01-10 04:00:00+00:00,EXPANSION,2,2,65.0,4.0,2.0,True
2020-01-10 04:00:00+00:00,EXPANSION,2,3,65.0,4.0,2.0,True
2020-01-10 04:00:00+00:00,EXPANSION,3,1,65.0,4.0,1.0,True
2020-01-10 04:00:00+00:00,EXPANSION,3,2,65.0,4.0,1.0,True
2020-01-10 04:00:00+00:00,EXPANSION,3,3,65.0,4.0,1.0,True
2020-01-12 00:00:00+00:00,PULLBACK,1,1,40.0,2.0,2.0,True
2020-01-12 00:00:00+00:00,PULLBACK,1,2,40.0,2.0,2.0,True
2020-01-12 00:00:00+00:00,PULLBACK,1,3,50.0,3.0,2.0,True
2020-01-12 00:00:00+00:00,PULLBACK,2,1,0.0,0.0,4.0,False
2020-01-12 00:00:00+00:00,PULLBACK,2,2,10.0,1.0,3.0,False
2020-01-12 00:00:00+00:00,PULLBACK,2,3,20.0,2.0,3.0,False
2020-01-12 00:00:00+00:00,PULLBACK,3,1,10.0,1.0,3.0,False
2020-01-12 00:00:00+00:00,PULLBACK,3,2,20.0,2.0,3.0,False
2020-01-12 00:00:00+00:00,PULLBACK,3,3,20.0,2.0,3.0,False
2020-01-14 08:00:00+00:00,EXPANSION,1,1,10.0,1.0,3.0,False
2020-01-14 08:00:00+00:00,EXPANSION,1,2,25.0,2.0,2.0,True
2020-01-14 08:00:00+00:00,EXPANSION,1,3,25.0,2.0,2.0,True
2020-01-14 08:00:00+00:00,EXPANSION,2,1,15.0,1.0,3.0,False
2020-01-14 08:00:00+00:00,EXPANSION,2,2,25.0,2.0,2.0,True
2020-01-14 08:00:00+00:00,EXPANSION,2,3,35.0,3.0,2.0,True
2020-01-14 08:00:00+00:00,EXPANSION,3,1,10.0,1.0,4.0,False
2020-01-14 08:00:00+00:00,EXPANSION,3,2,20.0,2.0,3.0,False
2020-01-14 08:00:00+00:00,EXPANSION,3,3,50.0,3.0,2.0,True
2020-01-16 08:00:00+00:00,PULLBACK,1,1,10.0,1.0,3.0,False
2020-01-16 08:00:00+00:00,PULLBACK,1,2,30.0,2.0,2.0,True
2020-01-16 08:00:00+00:00,PULLBACK,1,3,30.0,2.0,2.0,True
2020-01-16 08:00:00+00:00,PULLBACK,2,1,30.0,2.0,3.0,False
