year,vol_state,n,median_active,mean_active,median_score
2020,HIGH,193,2.0,2.5751295336787563,35.0
2020,LOW,244,2.0,2.5655737704918034,35.0
2020,NORMAL,1599,2.0,2.4734208880550344,35.0
2021,HIGH,151,2.0,2.337748344370861,30.0
2021,LOW,164,2.0,2.548780487804878,35.0
2021,NORMAL,1680,2.0,2.5642857142857145,35.0
2022,HIGH,131,2.0,2.49618320610687,35.0
2022,LOW,357,3.0,2.5714285714285716,35.0
2022,NORMAL,1549,3.0,2.6772111039380246,35.0
2023,HIGH,203,2.0,2.3596059113300494,30.0
2023,LOW,265,3.0,2.8,35.0
2023,NORMAL,1570,3.0,2.640764331210191,35.0
2024,HIGH,155,2.0,2.470967741935484,35.0
2024,LOW,262,2.0,2.5076335877862594,35.0
2024,NORMAL,1614,2.0,2.543370508054523,35.0
2025,HIGH,112,2.0,2.5714285714285716,30.0
2025,LOW,308,3.0,2.542207792207792,35.0
2025,NORMAL,1593,3.0,2.6114249843063404,35.0
2026,HIGH,60,2.0,2.033333333333333,30.0
2026,LOW,138,2.0,2.260869565217391,25.0
2026,NORMAL,958,2.0,2.549060542797495,35.0
