window,horizon_bars,candidates,converted,conversion
1,1,1529,21,0.013734466971877043
1,2,1528,28,0.01832460732984293
1,3,1528,29,0.018979057591623036
2,1,3336,29,0.00869304556354916
2,2,3335,36,0.010794602698650674
2,3,3335,41,0.012293853073463269
3,1,5146,29,0.005635445005829771
3,2,5145,38,0.007385811467444121
3,3,5144,45,0.008748055987558321
