comparison,point,clusters,draws,ci_lo,ci_hi
IGNITION-ABSORPTION,0.11626164569753311,239,5000,-0.7602270489164555,0.9749552727453857
OI_PERSIST-OI_FLUSH,-0.0033176984776775165,286,5000,-0.5484504050353838,0.5466586427195922
