flow_id,signal_time,side,state,touch_time,class_time,atr14,lab035_residual_atr,high_volume,high_volume_resolved,fut_vol15_logexp,fut_vol30_logexp,fut_vol60_logexp,spot_vol15_logexp,spot_vol30_logexp,spot_vol60_logexp,fut_imb60_pre,spot_imb60_pre,fut_taker_aligned_60,spot_taker_aligned_60,fut_minus_spot_vol60,activation_state,oi_state,oi_logchg_1h,oi_post1h_residual_atr
0,2021-01-01 00:00:00+00:00,1,ACCEPT,2021-01-01 01:00:00+00:00,2021-01-01 01:00:00+00:00,178.38500000000073,-0.8763629228914845,False,True,-0.19398109862771407,-0.34878785780183547,0.030114514516032666,0.05744525367587376,-0.01793074431172738,0.10019671898264591,-0.008193512567027945,0.05149491474018608,-0.008193512567027945,0.05149491474018608,-0.07008220446661324,LOWVOL_ACCEPT,OI_PERSIST,0.02618555938093614,0.03503657818762774
1,2021-01-01 12:00:00+00:00,1,REJECT,2021-01-01 12:30:00+00:00,2021-01-01 13:15:00+00:00,134.88714285714326,-0.7069613751178255,False,True,0.4302123183556564,0.1896451993106533,-0.009179084039444499,0.34224780181248754,0.11961826836896032,0.03916940567044758,0.023678312590736356,0.13518545657714043,0.023678312590736356,0.13518545657714043,-0.04834848970989208,LOWVOL_REJECT,OI_PERSIST,0.004314362829548557,-0.9181008462100575
2,2021-01-02 00:45:00+00:00,1,ACCEPT,2021-01-02 05:30:00+00:00,2021-01-02 05:45:00+00:00,117.40642857142848,8.785464412389183,False,True,0.25454104441866654,0.060122853507486584,-0.26237070727711326,0.2849232524815472,0.0010589351394604946,-0.31014965603082234,0.17569005673550842,0.19727354394496013,0.17569005673550842,0.19727354394496013,0.04777894875370908,LOWVOL_ACCEPT,OI_PERSIST,0.02935349144051891,7.896415990849864
3,2021-01-02 13:00:00+00:00,1,ACCEPT,2021-01-02 13:15:00+00:00,2021-01-02 13:30:00+00:00,244.44285714285743,4.576447899012312,True,True,1.467918832525338,1.7666578065032736,2.0958904965331797,1.2830829146952996,1.6222819077623802,1.9025056228353954,0.0860597492628853,0.18459274804884448,0.0860597492628853,0.18459274804884448,0.19338487369778434,IGNITION,OI_FLUSH,-0.006028156365632142,4.798462977032301
6,2021-01-04 01:00:00+00:00,-1,ACCEPT,2021-01-04 07:15:00+00:00,2021-01-04 07:30:00+00:00,384.2507142857131,2.9643926677336867,True,True,1.0112907620026086,0.8711929701274884,0.7700729878171876,1.2660991708666984,1.138922963479607,1.0582187620257144,-0.03474784564193241,0.05218355358841029,0.03474784564193241,-0.05218355358841029,-0.28814577420852683,IGNITION,OI_FLUSH,-0.017766851042717136,2.3199696626644526
8,2021-01-05 01:00:00+00:00,-1,REJECT,2021-01-05 04:15:00+00:00,2021-01-05 05:00:00+00:00,343.23714285714334,-2.2520290011903428,True,True,1.6171855123010976,1.6942934995471053,1.4460769431250187,1.724028653417773,1.5658534764726029,1.332100904312329,-0.1386794713786491,-0.0815510668803033,0.1386794713786491,0.0815510668803033,0.11397603881268958,ABSORPTION,OI_FLUSH,-0.014042368213370793,-5.307438422415147
9,2021-01-05 13:15:00+00:00,1,ACCEPT,2021-01-05 18:00:00+00:00,2021-01-05 18:00:00+00:00,284.3714285714286,2.033185974078168,False,True,0.8676304791812225,0.5967903420543181,0.43184513568323574,0.8483311620610118,0.6776086525512758,0.5963085637467779,0.035212083175540455,-0.05875244502819382,0.035212083175540455,-0.05875244502819382,-0.16446342806354214,LOWVOL_ACCEPT,OI_PERSIST,0.01797444694927819,0.8017331457851831
10,2021-01-06 01:15:00+00:00,1,ACCEPT,2021-01-06 04:00:00+00:00,2021-01-06 04:00:00+00:00,358.02499999999884,-0.1778367432441825,False,True,0.9612274528018075,0.6553434053533485,0.3898825731773209,0.9277672969123913,0.7253384866238335,0.506911623953912,0.05333863971975357,0.051239535300427796,0.05333863971975357,0.051239535300427796,-0.11702905077659109,LOWVOL_ACCEPT,OI_PERSIST,0.006825490874209805,-2.0464213392919506
12,2021-01-07 01:15:00+00:00,1,ACCEPT,2021-01-07 03:15:00+00:00,2021-01-07 03:15:00+00:00,417.3914285714293,1.6246140998172256,False,True,0.41859180032641513,0.4541198029801371,0.5374075455222471,0.9118160004849364,0.9294741846100953,0.8507019896510426,-0.013127349168217015,-0.0606805585290633,-0.013127349168217015,-0.0606805585290633,-0.3132944441287955,LOWVOL_ACCEPT,OI_PERSIST,0.00253655988442425,2.554364864772353
14,2021-01-08 01:45:00+00:00,-1,REJECT,2021-01-08 02:30:00+00:00,2021-01-08 03:15:00+00:00,597.7635714285706,-5.209434212523106,True,True,2.1637453483927387,1.6157314707818078,1.4679202527538082,1.9429754430712691,1.492898071790991,1.3702773192376831,-0.0785670694847706,-0.1589347474252258,0.0785670694847706,0.1589347474252258,0.09764293351612507,ABSORPTION,OI_PERSIST,0.006198208893673396,-4.401757025293091
