oi_state,n,resid_n,residual_mean,residual_hit,oi_logchg_mean
OI_PERSIST,762,762,0.24571235737296573,0.47506561679790027,0.009156979214914675
OI_FLUSH,569,569,0.24903005585064325,0.437609841827768,-0.010407810652196911
UNRESOLVED,32,0,,,
