window,n,resid_n,residual_mean,residual_hit,long_n,short_n
2021,54,54,1.1722787028696944,0.6296296296296297,24,30
2022,58,58,0.2065062241633605,0.46551724137931033,28,30
2023,64,64,0.9750812443379684,0.453125,34,30
2024,78,78,0.2216732345584957,0.47435897435897434,31,47
2025_H1,26,26,-0.9613216491870228,0.38461538461538464,9,17
2025_H2,35,35,0.6924549970657268,0.5714285714285714,19,16
2026_JAN_JUL,50,50,-0.29604141522809935,0.42,23,27
POOLED_RECENT,85,85,0.11098651924582927,0.4823529411764706,42,43
AUG_REUSED,0,0,,,0,0
2022_SHORT,30,30,1.08449035945711,0.4666666666666667,0,30
