state,n,resid_n,residual_mean,residual_hit,fut_vol60_logexp,fut_taker_aligned,spot_taker_aligned
IGNITION,365,365,0.38196058670318883,0.4876712328767123,1.1501066959840691,0.060231021541087344,0.06932287649484545
ABSORPTION,203,203,0.2656989410056557,0.5172413793103449,1.2201949111733972,0.05960012665970531,0.06295177109610263
LOWVOL_ACCEPT,998,998,0.33936224882977944,0.46593186372745493,-0.06200453951803846,0.045960425569500196,0.04788036505976123
LOWVOL_REJECT,400,400,0.1642526507216376,0.5,-0.052575430279715146,0.04857035003346666,0.05789248001402416
