signal_time,side
2026-08-11 09:00:00+00:00,1
2026-08-11 21:00:00+00:00,-1
2026-08-12 09:45:00+00:00,1
2026-08-12 21:45:00+00:00,-1
2026-08-13 11:15:00+00:00,-1
2026-08-14 06:45:00+00:00,-1
2026-08-14 18:45:00+00:00,1
2026-08-15 11:30:00+00:00,-1
2026-08-15 23:30:00+00:00,1
2026-08-16 16:15:00+00:00,-1
2026-08-17 04:15:00+00:00,1
2026-08-17 16:15:00+00:00,1
2026-08-18 04:15:00+00:00,-1
2026-08-18 16:15:00+00:00,1
2026-08-19 04:15:00+00:00,-1
2026-08-19 16:15:00+00:00,1
2026-08-20 07:00:00+00:00,1
2026-08-20 19:00:00+00:00,1
2026-08-21 08:15:00+00:00,-1
2026-08-23 05:00:00+00:00,1
2026-08-24 11:15:00+00:00,1
2026-08-25 02:15:00+00:00,1
2026-08-25 14:15:00+00:00,-1
2026-08-27 09:45:00+00:00,1
2026-08-28 04:45:00+00:00,-1
2026-08-28 16:45:00+00:00,-1
2026-08-30 01:45:00+00:00,1
2026-08-30 15:00:00+00:00,1
2026-08-31 10:00:00+00:00,1
2026-09-01 08:30:00+00:00,-1
2026-09-01 21:00:00+00:00,-1
2026-09-02 09:45:00+00:00,-1
2026-09-03 13:00:00+00:00,1
2026-09-04 10:00:00+00:00,-1
2026-09-07 05:00:00+00:00,-1
2026-09-07 17:00:00+00:00,-1
2026-09-08 05:00:00+00:00,-1
2026-09-08 17:00:00+00:00,1
