date,status,rows
2026-05-01,200,288
2026-05-02,200,288
2026-05-03,200,288
2026-05-04,200,288
2026-05-05,200,288
2026-05-06,200,288
2026-05-07,200,288
2026-05-08,200,288
2026-05-09,200,288
2026-05-10,200,288
2026-05-11,200,288
2026-05-12,200,288
2026-05-13,200,288
2026-05-14,200,288
2026-05-15,200,288
2026-05-16,200,288
2026-05-17,200,288
2026-05-18,200,288
2026-05-19,200,288
2026-05-20,200,288
2026-05-21,200,288
2026-05-22,200,288
2026-05-23,200,288
2026-05-24,200,288
2026-05-25,200,288
2026-05-26,200,288
2026-05-27,200,288
2026-05-28,200,288
2026-05-29,200,288
2026-05-30,200,288
2026-05-31,200,288
2026-06-01,200,288
2026-06-02,200,288
2026-06-03,200,288
2026-06-04,200,288
2026-06-05,200,288
2026-06-06,200,288
2026-06-07,200,288
2026-06-08,200,288
2026-06-09,200,288
2026-06-10,200,288
2026-06-11,200,288
2026-06-12,200,288
2026-06-13,200,288
2026-06-14,200,288
2026-06-15,200,288
2026-06-16,200,288
2026-06-17,200,288
2026-06-18,200,288
2026-06-19,200,288
2026-06-20,200,288
2026-06-21,200,288
2026-06-22,200,288
2026-06-23,200,288
2026-06-24,200,288
2026-06-25,200,288
2026-06-26,200,288
2026-06-27,200,288
2026-06-28,200,288
2026-06-29,200,288
2026-06-30,200,288
2026-07-01,200,288
2026-07-02,200,288
2026-07-03,200,288
2026-07-04,200,288
2026-07-05,200,288
2026-07-06,200,288
2026-07-07,200,288
2026-07-08,200,288
2026-07-09,200,288
2026-07-10,200,288
2026-07-11,200,288
2026-07-12,200,288
2026-07-13,200,288
2026-07-14,200,288
2026-07-15,200,288
2026-07-16,200,288
2026-07-17,200,288
2026-07-18,200,288
2026-07-19,200,288
2026-07-20,200,288
2026-07-21,200,288
2026-07-22,200,288
2026-07-23,200,288
2026-07-24,200,288
2026-07-25,200,288
2026-07-26,200,288
2026-07-27,200,288
2026-07-28,200,288
2026-07-29,200,288
2026-07-30,200,288
2026-07-31,200,288
2026-08-01,200,288
2026-08-02,200,288
2026-08-03,200,288
2026-08-04,200,288
2026-08-05,200,288
2026-08-06,200,288
2026-08-07,200,288
2026-08-08,200,288
2026-08-09,200,288
2026-08-10,200,288
2026-08-11,200,288
2026-08-12,200,285
2026-08-13,200,288
2026-08-14,200,288
2026-08-15,200,288
2026-08-16,200,288
2026-08-17,200,288
2026-08-18,200,288
2026-08-19,200,288
2026-08-20,200,288
2026-08-21,200,288
2026-08-22,200,288
2026-08-23,200,288
2026-08-24,200,288
2026-08-25,200,288
2026-08-26,200,288
2026-08-27,200,288
2026-08-28,200,288
2026-08-29,200,288
2026-08-30,200,288
2026-08-31,200,288
2026-09-01,200,288
2026-09-02,200,288
2026-09-03,200,288
2026-09-04,200,288
2026-09-05,200,288
2026-09-06,200,288
2026-09-07,200,288
2026-09-08,200,288
