slice,state,n,ev5,pf5,cum_r5,win
2021,HIGH_ATR90,33,0.4639884985244821,2.3740769643328745,15.31162045130791,0.6060606060606061
2021,LOW_ATR90,29,-0.019348436610747602,0.9634908412242882,-0.5611046617116805,0.41379310344827586
2022,HIGH_ATR90,17,-0.22794610124906303,0.6370826968004137,-3.8750837212340716,0.35294117647058826
2022,LOW_ATR90,32,0.059725155595162685,1.1109462154015928,1.911204979045206,0.4375
2023,HIGH_ATR90,35,-0.09229358518459005,0.819977689189658,-3.2302754814606516,0.4
2023,LOW_ATR90,17,0.17164217249021577,1.3533420855373581,2.917916932333668,0.47058823529411764
2024,HIGH_ATR90,48,-0.010592569130544136,0.9784586517499703,-0.5084433182661185,0.4166666666666667
2024,LOW_ATR90,16,0.36865623579287427,1.8716563702035607,5.898499772685988,0.5625
2025_H1,HIGH_ATR90,15,-0.22376537045644385,0.6126606141783142,-3.3564805568466576,0.4
2025_H1,LOW_ATR90,17,-0.018061370077583926,0.966508449178815,-0.3070432913189267,0.47058823529411764
2025_H2,HIGH_ATR90,22,0.2937085977057459,1.7381960428278542,6.46158914952641,0.5909090909090909
2025_H2,LOW_ATR90,11,-0.23689000495518178,0.6168166718053347,-2.6057900545069996,0.36363636363636365
2026_JAN_JUL,HIGH_ATR90,17,0.4386801857725658,2.1598907464089594,7.457563158133619,0.6470588235294118
2026_JAN_JUL,LOW_ATR90,18,0.1501869980659395,1.2796398206571946,2.7033659651869106,0.5
POOLED_RECENT,HIGH_ATR90,39,0.356901341222052,1.916773822932124,13.91915230766003,0.6153846153846154
POOLED_RECENT,LOW_ATR90,29,0.003364686575169322,1.0059252949588657,0.09757591067991034,0.4482758620689655
BAD_COMPOSITE,HIGH_ATR90,67,-0.15614686208270723,0.7194225958117652,-10.461839759541384,0.3880597014925373
BAD_COMPOSITE,LOW_ATR90,66,0.068516342728181,1.1304988666072153,4.522078620059946,0.45454545454545453
