period,variant,N_base,N_variant,delta_N,removed_signal_count,added_signal_count,common_signal_count,removed_trade_sumR,added_trade_sumR,common_signal_outcome_deltaR,full_sequence_deltaR
historical,V192_CANONICAL_CONTROL,5402,1147,-4255,5352,1097,50,-0.661328313982743,130.08718558958626,-0.056729801989164386,130.69178410157986
historical,FULL_V191F_CONTROL,5402,5403,1,485,486,4917,-20.067848252100262,-23.89576215163391,-0.4674064943134072,-4.2953203938470494
historical,SKIP_RAPID_REPEAT_30,5402,3805,-1597,4692,3095,710,-41.60231172581087,80.72088282468728,0.0,122.32319455049814
historical,SKIP_HIGH_VOL,5402,5127,-275,1694,1419,3708,-21.838532705454398,-31.363368194554457,0.0,-9.52483548910007
historical,SKIP_RAPID_REPEAT_30_AND_HIGH_VOL,5402,2967,-2435,4827,2392,575,-15.556620880219322,63.241516922403626,0.0,78.79813780262292
historical,Z100_125_ONLY,5402,5096,-306,4600,4294,802,-18.960591066053276,-76.3010471156198,0.0,-57.34045604956652
historical,Z100_125_SKIP_RAPID_REPEAT_30_AND_HIGH_VOL,5402,2034,-3368,5093,1725,309,-18.99079588070711,45.730597416509525,0.0,64.72139329721661
2026,V192_CANONICAL_CONTROL,550,135,-415,537,122,13,-19.54494180604948,19.288834276931205,5.815637240207074,44.649413323187744
2026,FULL_V191F_CONTROL,550,550,0,58,58,492,-6.613329249673476,-9.03353987290463,0.2339145692246277,-2.186296054006533
2026,SKIP_RAPID_REPEAT_30,550,399,-151,475,324,75,-24.488878126031466,-9.281209539143822,0.0,15.207668586887639
2026,SKIP_HIGH_VOL,550,520,-30,138,108,412,-13.35187983091594,2.6317516348148744,0.0,15.98363146573081
2026,SKIP_RAPID_REPEAT_30_AND_HIGH_VOL,550,316,-234,493,259,57,-25.659670097277438,7.141822501398127,0.0,32.801492598675566
2026,Z100_125_ONLY,550,537,-13,450,437,100,-19.300757219322122,5.887131541407431,0.0,25.187888760729546
2026,Z100_125_SKIP_RAPID_REPEAT_30_AND_HIGH_VOL,550,210,-340,520,180,30,-21.49948122965969,1.3759608997331298,0.0,22.875442129392813
