R,signal_ts,entry_ts,exit_ts,side,exit_reason,confirm_age_min,confirm_z,max_adverse_atr,response_ratio,signal_z,signal_abs_z,signal_atr,signal_px,atr_pct,h1_state,h4_state,trend_relation,vol_regime,mins_since_prior_same_extreme,episode_role,z_bucket,confirm_speed,adverse_bucket,response_bucket,prior_extreme_gap,z_persistence,z_persistence_bucket,is_rapid30,is_highvol,is_z100_125,is_z125_200,is_z200_plus,toxic_any,risk_mult
0.09006553790620385,1773360900,1773360912,1773361163,1,PROTECTED_STOP,0.2,-1.2184492764014982,0.0,334619641.6285052,-1.2184492764014982,1.2184492764014982,238.77857142856894,71085.1,0.0033590523390776535,1,1,ALIGNED_WITH,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,<=30m,0.9999999999991792,0.75-1.00,True,False,True,False,False,True,1.0
0.08375416093757189,1773535800,1773537037,1773538336,-1,PROTECTED_STOP,20.616666666666667,0.9704451167837364,0.41249263406011016,0.7799999981091057,1.0797038843889997,1.0797038843889997,145.4571428571414,70939.0,0.002050453810416575,1,1,ALIGNED_COUNTER,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,15-30m,0.30-0.50,0.75-1.00,<=30m,0.8988067291542705,0.75-1.00,True,False,True,False,False,True,1.0
0.0938107042781998,1773709200,1773709819,1773711769,1,PROTECTED_STOP,10.316666666666666,-1.733547416918361,0.6288206535119959,0.5328895841173533,-1.1277461028812958,1.1277461028812958,406.1571428571437,75283.9,0.0053950066728363395,1,1,ALIGNED_WITH,HIGH_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,5-15m,0.50-0.75,<0.75,<=30m,1.5371788139970128,1.50+,True,True,True,False,False,True,1.0
0.09398525622127873,1773720300,1773721318,1773723912,-1,PROTECTED_STOP,16.966666666666665,1.6299969717549647,0.47148183473510086,0.7028836236379469,1.0482973719077553,1.0482973719077553,411.89285714285717,74458.0,0.005531881827914491,1,1,ALIGNED_COUNTER,HIGH_VOL,345.0,FIRST_OR_RESET,1.00-1.25,15-30m,0.30-0.50,<0.75,>180m,1.5548994163622123,1.50+,False,True,True,False,False,True,1.0
0.09336861455080943,1774224300,1774224341,1774227021,-1,PROTECTED_STOP,0.6833333333333333,1.1823746313801984,0.015253420495727685,20.538460191991327,1.1823746313801984,1.1823746313801984,340.9071428571416,67927.3,0.005018705923202329,-1,-1,ALIGNED_WITH,HIGH_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,<=30m,0.9999999999991541,0.75-1.00,True,True,True,False,False,True,1.0
0.08825024253555508,1774486200,1774486336,1774486759,-1,PROTECTED_STOP,2.2666666666666666,1.035331287054763,0.037086747668833235,9.933333065492832,1.035331287054763,1.035331287054763,202.22857142857018,71355.5,0.0028340992835670714,1,1,ALIGNED_COUNTER,LOW_VOL,110.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,90-180m,0.999999999999034,0.75-1.00,False,False,True,False,False,False,1.0
0.08758356892969897,1774581600,1774581827,1774588184,-1,PROTECTED_STOP,3.783333333333333,1.0076280255740988,0.14097052786491743,2.361538444786236,1.0076280255740988,1.0076280255740988,184.43571428571263,68762.4,0.002682217524195093,-1,-1,ALIGNED_WITH,LOW_VOL,10.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,<=30m,0.9999999999990075,0.75-1.00,True,False,True,False,False,True,1.0
0.0846054951269315,1774661400,1774661734,1774662098,-1,PROTECTED_STOP,5.566666666666666,1.0492066850212158,0.5001496856601587,0.8687150820618612,1.019403904313226,1.019403904313226,143.15714285714162,66177.2,0.0021632396483553494,-1,-1,ALIGNED_WITH,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,5-15m,0.50-0.75,0.75-1.00,<=30m,1.0292354979030993,1.00-1.50,True,False,True,False,False,True,1.0
0.07992368233390024,1774675500,1774677609,1774680472,1,PROTECTED_STOP,35.15,-0.8576330773358246,0.7015883306321303,0.4695989644016462,-1.1385775442117103,1.1385775442117103,110.17857142856936,66323.1,0.0016612397705862564,-1,-1,ALIGNED_COUNTER,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,30-45m,0.50-0.75,<0.75,<=30m,0.7532495978821102,0.75-1.00,True,False,True,False,False,True,1.0
0.08664814146105228,1774746300,1774746458,1774751476,1,PROTECTED_STOP,2.6333333333333333,-1.15258269295508,0.0006018399106188134,711.9988169216357,-1.15258269295508,1.15258269295508,166.1571428571437,66488.8,0.002499024540330758,-1,-1,ALIGNED_COUNTER,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,<=30m,0.9999999999991324,0.75-1.00,True,False,True,False,False,True,1.0
