period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses
historical,V192_CANONICAL_CONTROL,1147,0.44725370531822145,0.11484303190535335,1.238697793391438,131.7249575954403,16.86443455010641,7.810813769300622,11
historical,FULL_V191F_CONTROL,5403,0.7210808809920415,-0.000603765852301796,0.9978344428262406,-3.262146899986604,52.94598730094388,-0.06161273150776526,6
historical,BASE_LAB045,5402,0.7117734172528694,0.0001912575886450288,1.0007140025166503,1.0331734938604455,59.969347500187965,0.017228359769250568,6
historical,SKIP_RAPID_REPEAT_LE30M,3805,0.7342969776609723,0.03241954482111921,1.1312307094223404,123.35636804435859,22.70436552202112,5.433156364784314,6
historical,SKIP_HIGH_VOL,5127,0.7082114296859762,-0.0016562633109498,0.9940296421471276,-8.491661995239625,63.80905274424981,-0.1330792674399144,6
historical,SKIP_RAPID30_PLUS_HIGHVOL,2967,0.7280080889787665,0.026906407582232342,1.105187942912335,79.83131129648336,20.46918397243448,3.9000729781895997,6
historical,Z100_125_ONLY,5096,0.7042778649921507,-0.011049309763678586,0.9589043316342702,-56.307282555706074,93.00153970625249,-0.6054446274067496,6
historical,Z100_125_SKIP_HIGHVOL,4452,0.701707097933513,-0.015904811353295467,0.9425703411776123,-70.80822014487141,108.72583619693262,-0.6512547764325133,6
historical,Z100_125_SKIP_RAPID30,2652,0.7368024132730016,0.028533742955510356,1.1179973816348028,75.67148631801346,30.90863172594537,2.4482315163273047,6
historical,Z100_125_SKIP_BOTH,2034,0.732055063913471,0.03232771228666522,1.1283556317213514,65.75456679107705,21.857488239836513,3.00833133567633,5
2026,V192_CANONICAL_CONTROL,135,0.4666666666666667,0.19629958785586393,1.4313396751426626,26.500444360541632,6.489289729509487,4.083720324588551,7
2026,FULL_V191F_CONTROL,550,0.7163636363636363,-0.03697320912118664,0.8705674014807673,-20.33526501665265,35.38074671458145,-0.5747551113236365,5
2026,BASE_LAB045,550,0.7109090909090909,-0.0329981253866293,0.8823351991089308,-18.148968962646116,42.653293020237896,-0.42549983078762277,6
2026,SKIP_RAPID_REPEAT_LE30M,399,0.7293233082706767,-0.007371680139745556,0.9719385955991082,-2.941300375758477,14.519919363260463,-0.2025700213735901,4
2026,SKIP_HIGH_VOL,520,0.7211538461538461,-0.004164110570990974,0.9848276238056387,-2.1653374969153063,29.634761650204844,-0.07306748481644491,5
2026,SKIP_RAPID30_PLUS_HIGHVOL,316,0.7468354430379747,0.04636874568363749,1.188897611414058,14.652523636029446,9.587359830977178,1.5283168561887606,4
2026,Z100_125_ONLY,537,0.7355679702048417,0.01310785809698963,1.0513035611954602,7.038919798083431,11.31000821517268,0.6223620411380897,6
2026,Z100_125_SKIP_HIGHVOL,477,0.7568134171907757,0.03974161751721573,1.166093076723422,18.956751555711904,9.680166633538702,1.958308392133745,4
2026,Z100_125_SKIP_RAPID30,269,0.7137546468401487,-0.057963186255892675,0.79576771347852,-15.59209710283513,17.3290750066487,-0.8997651113433845,4
2026,Z100_125_SKIP_BOTH,210,0.719047619047619,0.022507015079746177,1.0819610518336285,4.726473166746697,13.477556034791405,0.3506921547605236,4
