flow_id,signal_time,touch_time,class_time,side,state,activation_state,high_volume,atr14,residual_atr,fut_disp_atr_15,fut_aligned_aggr_norm_15,fut_impact_eff_15,fut_disp_atr_30,fut_aligned_aggr_norm_30,fut_impact_eff_30,fut_disp_atr_60,fut_aligned_aggr_norm_60,fut_impact_eff_60,spot_disp_atr_15,spot_aligned_aggr_norm_15,spot_impact_eff_15,spot_disp_atr_30,spot_aligned_aggr_norm_30,spot_impact_eff_30,spot_disp_atr_60,spot_aligned_aggr_norm_60,spot_impact_eff_60,fut_minus_spot_impact_60
0,2021-01-01 00:00:00+00:00,2021-01-01 01:00:00+00:00,2021-01-01 01:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,178.38500000000073,-0.8763629228914845,0.37777840065027407,1.001402904758001,0.37724915601434966,0.8729433528603892,0.8139624586268748,1.0724614429184032,0.3549625809344925,1.031753614170112,0.34403812699023656,0.36449253020153133,1.178636596307951,0.30924928968207405,0.8885276228382395,1.1992525312078715,0.7409011861274339,0.40081845446646136,1.1937390393541836,0.3357672332499952,0.00827089374024137
1,2021-01-01 12:00:00+00:00,2021-01-01 12:30:00+00:00,2021-01-01 13:15:00+00:00,1,REJECT,LOWVOL_REJECT,False,134.88714285714326,-0.7069613751178255,1.4083625464674216,1.9038459792548037,0.7397460518411672,1.0230774933542295,1.2983184820779368,0.7880019482714374,0.5619512608424172,1.0280309890013823,0.5466287172804881,1.361582698764041,1.792943719859456,0.7594118452701748,0.9649548299636693,1.2449438873286882,0.7750990544916853,0.5730716683788762,1.2082657024227779,0.4742927546728921,0.072335962607596
2,2021-01-02 00:45:00+00:00,2021-01-02 05:30:00+00:00,2021-01-02 05:45:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,117.40642857142848,8.785464412389183,0.7347979241827881,1.7310215036694827,0.4244880393600753,1.2966921986506117,1.2916198793309694,1.0039270991417921,1.6904525792576572,0.9147504129663888,1.8479932397907215,0.6820750871514856,1.7214816619311895,0.39621397208862585,1.246439413758071,1.2786861808160606,0.974781328255687,1.6442881565258918,0.8975265352679209,1.8320217753061248,0.015971464484596742
3,2021-01-02 13:00:00+00:00,2021-01-02 13:15:00+00:00,2021-01-02 13:30:00+00:00,1,ACCEPT,IGNITION,True,244.44285714285743,4.576447899012312,0.6324995616854672,4.640903258813714,0.13628802981063295,0.3115656595172686,6.174631432932736,0.050458988994147254,3.6856875693997915,8.9428474232053,0.4121380355697453,0.6281222605341621,3.900880517665827,0.16102063564613153,0.2557243878206933,5.266332413089767,0.048558345307841914,3.589427853427615,8.129694347138093,0.4415206402798164,-0.029382604710071092
6,2021-01-04 01:00:00+00:00,2021-01-04 07:15:00+00:00,2021-01-04 07:30:00+00:00,-1,ACCEPT,IGNITION,True,384.2507142857131,2.9643926677336867,0.9381635130337125,3.036384129851028,0.30897392191275247,0.7071684967589901,2.5304145838774024,0.27946744429341,0.616316355950636,2.2174164922920223,0.27794343466507887,0.7780336870830243,3.9407820152980277,0.19743129258677972,0.33980418290885256,3.281522618119842,0.10355076665707835,0.5915408652461006,2.722054725126085,0.21731409724641026,0.060629337418668605
8,2021-01-05 01:00:00+00:00,2021-01-05 04:15:00+00:00,2021-01-05 05:00:00+00:00,-1,REJECT,ABSORPTION,True,343.23714285714334,-2.2520290011903428,1.4039855826459031,5.277585370481266,0.26602801927159975,3.0263333139104116,6.0361645568576785,0.5013669334896111,5.135225125485908,4.764252864533899,1.077865779063409,1.5089567396135937,6.508791497739225,0.2318336268933668,3.0200694230561043,5.470502760716638,0.5520643266544069,5.179596780235237,4.06288523564047,1.274856777838257,-0.19699099877484794
9,2021-01-05 13:15:00+00:00,2021-01-05 18:00:00+00:00,2021-01-05 18:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,284.3714285714286,2.033185974078168,1.176384004822675,2.7302409672769934,0.43087186036767366,1.560634984426816,2.0073529182580265,0.777459195257568,0.9687330453129821,1.6157070415790284,0.5995722122781866,1.1101677886064527,2.672158294073137,0.4154573443754479,1.5342610268260797,2.012980152058077,0.7621838820702959,0.9594142469607085,1.7501748866686584,0.5481819298566727,0.05139028242151389
10,2021-01-06 01:15:00+00:00,2021-01-06 04:00:00+00:00,2021-01-06 04:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,358.02499999999884,-0.1778367432441825,1.1631031352559167,3.274939991316789,0.35515250305037066,1.165337616088269,2.146382915213184,0.5429309038143013,0.7314014384470399,1.5851298633231827,0.46141420672857436,1.0753439005656065,3.42287489053961,0.3141639513432758,1.1077159416241822,2.4133799483636804,0.4589894526865675,0.6823266531666626,1.7836875139312711,0.38253710240018757,0.0788771043283868
12,2021-01-07 01:15:00+00:00,2021-01-07 03:15:00+00:00,2021-01-07 03:15:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,417.3914285714293,1.6246140998172256,0.30175511852527226,1.8209454718407816,0.1657134292001781,0.5721967047033649,1.7076427747000245,0.33507986165542186,0.684585212921079,1.7194717285538785,0.3981369402896978,0.3659155160965622,2.696177168636918,0.1357164211436279,0.6712643835522664,2.5201748875519883,0.26635627030007814,0.7760341440374467,2.240237268379407,0.3464071216879771,0.05172981860172071
14,2021-01-08 01:45:00+00:00,2021-01-08 02:30:00+00:00,2021-01-08 03:15:00+00:00,-1,REJECT,ABSORPTION,True,597.7635714285706,-5.209434212523106,0.5498160405033469,9.430451058474445,0.05830219966088134,1.457131283390826,5.511614220533931,0.2643746868135608,1.1885301044727432,4.62364926520041,0.2570545550282406,0.549230524729686,7.932823279785482,0.0692351897122481,1.441907873275279,5.01365463466762,0.28759617052698533,1.1651763896141467,4.520458746125317,0.25775622675748794,-0.000701671729247344
