selector,year,n,ev5,pf5,cumR
FROZEN_FIRST_HIT_12H,2021,62,0.27321304111649675,1.6964165597414866,16.939208549222798
FROZEN_FIRST_HIT_12H,2022,51,0.020186692524594426,1.0438991787707663,1.0295213187543157
FROZEN_FIRST_HIT_12H,2023,53,-0.025393955479194204,0.9467937813347351,-1.3458796403972928
FROZEN_FIRST_HIT_12H,2024,64,0.08498095521554036,1.1929960733900995,5.438781133794583
FROZEN_FIRST_HIT_12H,2025,66,0.0728528000352174,1.1671235398767366,4.808284802324348
FROZEN_FIRST_HIT_12H,2026,35,0.17020308728782765,1.3835147112111663,5.9571080550739675
SHORT_RUN_ONSET_FROZEN_ROUTER,2021,209,0.02802056941449889,1.0595303874442277,5.856299007630268
SHORT_RUN_ONSET_FROZEN_ROUTER,2022,170,-0.025033601394610763,0.9492382542415733,-4.25571223708383
SHORT_RUN_ONSET_FROZEN_ROUTER,2023,145,-0.2133479487629782,0.619544862218257,-30.93545257063184
SHORT_RUN_ONSET_FROZEN_ROUTER,2024,194,0.18858748568062983,1.43300776720633,36.58597222204219
SHORT_RUN_ONSET_FROZEN_ROUTER,2025,205,0.021881278602960595,1.0484940931202906,4.485662113606922
SHORT_RUN_ONSET_FROZEN_ROUTER,2026,121,-0.04082323714724889,0.921357949085027,-4.939611694817116
SHORT_RUN_ONSET_NATIVE_ROUTER,2021,215,0.05175595130935523,1.114108949196748,11.127529531511374
SHORT_RUN_ONSET_NATIVE_ROUTER,2022,175,-0.03256462863287348,0.934947412728814,-5.698810010752859
SHORT_RUN_ONSET_NATIVE_ROUTER,2023,142,-0.22501635202769957,0.5996152826902349,-31.952321987933338
SHORT_RUN_ONSET_NATIVE_ROUTER,2024,184,0.16081622752780692,1.3558257232730917,29.590185865116474
SHORT_RUN_ONSET_NATIVE_ROUTER,2025,194,0.03779136114028366,1.0858373975698272,7.33152406121503
SHORT_RUN_ONSET_NATIVE_ROUTER,2026,114,-0.01307002149937191,0.9744371973750706,-1.4899824509283977
