period,cost_model,delay_bucket,N,WR,EV_R,PF,SumR,MaxDD_R,InitialStopRate,RightTail2R
historical,GROSS,15-30,979,0.39325842696629215,0.13864147947246364,1.2500488502668603,135.7300084035419,29.040107189965696,0.5291113381001021,0.16241062308478038
historical,GROSS,0-5,2234,0.38764547896150403,0.13279202982190075,1.2250280343189044,296.6573946221263,43.44684030343478,0.5796777081468218,0.18934646374216652
historical,GROSS,5-15,1874,0.3911419423692636,0.14307522972722092,1.2467833981185619,268.122980508812,38.88744445591462,0.5651013874066169,0.18516542155816434
historical,GROSS,30-60,210,0.41904761904761906,0.3164197066366721,1.5793014817890851,66.44813839370114,11.740320269705414,0.5285714285714286,0.21904761904761905
historical,IC,15-30,986,0.38640973630831643,0.10726064018982827,1.1876407423976398,105.75899122717067,30.659402285790147,0.5365111561866126,0.15517241379310345
historical,IC,0-5,2237,0.3781850692892266,0.08815633198945014,1.1448141615933574,197.20571466039996,52.237532155581135,0.5869468037550291,0.17568171658471166
historical,IC,5-15,1866,0.3858520900321543,0.11246057192291879,1.1886725783353858,209.85142720816646,35.96438723680063,0.5718113612004287,0.17792068595927116
historical,IC,30-60,210,0.4142857142857143,0.2747645587105431,1.4848060862952885,57.70055732921406,12.149157573042778,0.5428571428571428,0.21428571428571427
historical,GETLEVERAGED,15-30,968,0.3605371900826446,0.03881827764362608,1.0649674850990485,37.57609275903005,53.7847144896883,0.5692148760330579,0.15495867768595042
historical,GETLEVERAGED,0-5,2244,0.3663101604278075,0.07319088590076715,1.1188378807332602,164.2403479613215,53.9565600335701,0.6007130124777184,0.1769162210338681
historical,GETLEVERAGED,5-15,1870,0.36684491978609624,0.043441874086572914,1.0713760962483738,81.23630454189134,44.0894903999387,0.5903743315508021,0.16524064171122996
historical,GETLEVERAGED,30-60,215,0.3953488372093023,0.2334231570274714,1.397281408665763,50.18597876090635,15.058465976117567,0.5674418604651162,0.20465116279069767
forward_2026,GROSS,15-30,86,0.4069767441860465,0.18924739026347379,1.3415981900214204,16.275275562658745,8.050526983749261,0.5465116279069767,0.1744186046511628
forward_2026,GROSS,30-60,33,0.3333333333333333,-0.13048982548857685,0.7950527543483441,-4.306164241123036,6.576896660438294,0.6363636363636364,0.12121212121212122
forward_2026,GROSS,5-15,191,0.4083769633507853,0.2096698789897236,1.3648023074118218,40.04694688703721,15.858678232947549,0.5706806282722513,0.225130890052356
forward_2026,GROSS,0-5,234,0.32905982905982906,-0.032611971698647955,0.9499540235096141,-7.631201377483622,26.139782412078944,0.6452991452991453,0.1794871794871795
forward_2026,IC,15-30,85,0.38823529411764707,0.09914540390352068,1.1668060397580664,8.427359331799257,7.453034768241727,0.5764705882352941,0.16470588235294117
forward_2026,IC,30-60,32,0.28125,-0.2093750819914672,0.7023080374096959,-6.7000026237269505,9.617555677879206,0.6875,0.125
forward_2026,IC,5-15,191,0.41361256544502617,0.20394422584497557,1.3523380639756941,38.953347136390335,14.267585616733726,0.5602094240837696,0.225130890052356
forward_2026,IC,0-5,236,0.3305084745762712,-0.03858285567539047,0.9420354653218082,-9.105553939392152,26.726778087208395,0.6440677966101694,0.17372881355932204
forward_2026,GETLEVERAGED,15-30,86,0.3372093023255814,-0.037417745301388486,0.9416331473814438,-3.21792609591941,13.590559400813461,0.627906976744186,0.12790697674418605
forward_2026,GETLEVERAGED,30-60,29,0.27586206896551724,-0.18144998576865556,0.7396658660276603,-5.262049587291012,7.644650426072751,0.6896551724137931,0.13793103448275862
forward_2026,GETLEVERAGED,5-15,190,0.3894736842105263,0.15091745096239972,1.2512646653190937,28.674315682855948,11.225709845655235,0.5894736842105263,0.2
forward_2026,GETLEVERAGED,0-5,239,0.301255230125523,-0.09991697259095486,0.8550199115803481,-23.88015644923821,39.03995167785025,0.6778242677824268,0.1506276150627615
