period,cost_model,side,N,WR,EV_R,PF,SumR,MaxDD_R,InitialStopRate,RightTail2R
forward_2026,GETLEVERAGED,-1,286,0.36363636363636365,0.09367342204730197,1.1489092082176124,26.790598705528364,20.068534061114562,0.6188811188811189,0.1958041958041958
forward_2026,GETLEVERAGED,1,258,0.3062015503875969,-0.11812564013612811,0.8251160034563919,-30.476415155121053,52.64518674884266,0.6627906976744186,0.12790697674418605
forward_2026,GROSS,-1,285,0.3929824561403509,0.19107111626434176,1.3247688210065545,54.4552681353374,13.845710758000902,0.5824561403508772,0.22105263157894736
forward_2026,GROSS,1,259,0.3436293436293436,-0.038881896927598865,0.9383101443059833,-10.070411304248106,34.5903850172998,0.6254826254826255,0.1583011583011583
forward_2026,IC,-1,286,0.3916083916083916,0.168924956413618,1.2799063945434883,48.31253753429475,15.158053120544416,0.583916083916084,0.21328671328671328
forward_2026,IC,1,258,0.3372093023255814,-0.06487359546210947,0.9004147948560347,-16.737387629224244,38.790532252213595,0.6317829457364341,0.15891472868217055
historical,GETLEVERAGED,-1,2639,0.363395225464191,0.04758050970151867,1.0782841233422795,125.56496510230777,41.80249398337932,0.5873436907919667,0.16483516483516483
historical,GETLEVERAGED,1,2658,0.36982693754702783,0.07813158725389072,1.128119324799239,207.67375892084152,41.36794143090698,0.59255079006772,0.17494356659142213
historical,GROSS,-1,2633,0.3881503987846563,0.13157811463787852,1.2275870556672022,346.44517584153414,32.20253559160744,0.5613368780858337,0.1785036080516521
historical,GROSS,1,2664,0.39414414414414417,0.1578503551376303,1.2730520348466077,420.5133460866471,32.699169573977116,0.56493993993994,0.18956456456456455
historical,IC,-1,2644,0.3778366111951589,0.08520676570710851,1.1422487720860197,225.28668852959493,39.28031257487336,0.5726172465960666,0.16830559757942512
historical,IC,1,2655,0.3898305084745763,0.13003013254062384,1.2194824053865752,345.2300018953563,30.25288321310984,0.5683615819209039,0.1800376647834275
