N,WR,EV_R,PF,SumR,MaxDD_R,InitialStopRate,RightTail2R,period,cost_model,max_delay_min,retained
2234,0.38764547896150403,0.13279202982190075,1.2250280343189044,296.6573946221263,43.44684030343478,0.5796777081468218,0.18934646374216652,historical,GROSS,5,0.4217481593354729
3406,0.3913681738109219,0.13939175701266532,1.2384451151648292,474.76832438513804,40.7669914186842,0.5731062830299471,0.18761009982384028,historical,GROSS,10,0.6430054747970549
4108,0.38924050632911394,0.13748305139506772,1.234857012786638,564.7803751309382,38.4502592010453,0.5730282375851996,0.18743914313534565,historical,GROSS,15,0.775533320747593
5087,0.390013760566149,0.1377059924384667,1.2376546608378123,700.5103835344801,33.221297528386344,0.564576371142127,0.18262237074896795,historical,GROSS,30,0.9603549178780442
5297,0.39116481026996414,0.1447911123141743,1.25045164318429,766.9585219281813,31.123306879905414,0.5631489522371154,0.18406645270908062,historical,GROSS,45,1.0
5297,0.39116481026996414,0.1447911123141743,1.25045164318429,766.9585219281813,31.123306879905414,0.5631489522371154,0.18406645270908062,historical,GROSS,60,1.0
5297,0.39116481026996414,0.1447911123141743,1.25045164318429,766.9585219281813,31.123306879905414,0.5631489522371154,0.18406645270908062,historical,GROSS,90,1.0
5297,0.39116481026996414,0.1447911123141743,1.25045164318429,766.9585219281813,31.123306879905414,0.5631489522371154,0.18406645270908062,historical,GROSS,120,1.0
5297,0.39116481026996414,0.1447911123141743,1.25045164318429,766.9585219281813,31.123306879905414,0.5631489522371154,0.18406645270908062,historical,GROSS,180,1.0
2237,0.3781850692892266,0.08815633198945014,1.1448141615933574,197.20571466039996,52.237532155581135,0.5869468037550291,0.17568171658471166,historical,IC,5,0.422155123608228
3402,0.38242210464432685,0.09584560028465054,1.1589612700198917,326.0667321683811,50.950371806424954,0.5805408583186361,0.17372134038800705,historical,IC,10,0.6420079260237781
4103,0.38167194735559345,0.09920963730649925,1.164531576375661,407.0571418685664,47.3625208858503,0.5800633682671216,0.17669997562758957,historical,IC,15,0.7742970371768259
5089,0.3825898997838475,0.10076952900289587,1.1688193816631685,512.8161330957371,40.62900355736616,0.5716250736883474,0.17252898408331696,historical,IC,30,0.9603698811096433
5299,0.3838460086808832,0.10766497271654109,1.1807331813422866,570.5166904249512,36.175872658431615,0.5704849971692773,0.1741838082657105,historical,IC,45,1.0
5299,0.3838460086808832,0.10766497271654109,1.1807331813422866,570.5166904249512,36.175872658431615,0.5704849971692773,0.1741838082657105,historical,IC,60,1.0
5299,0.3838460086808832,0.10766497271654109,1.1807331813422866,570.5166904249512,36.175872658431615,0.5704849971692773,0.1741838082657105,historical,IC,90,1.0
5299,0.3838460086808832,0.10766497271654109,1.1807331813422866,570.5166904249512,36.175872658431615,0.5704849971692773,0.1741838082657105,historical,IC,120,1.0
5299,0.3838460086808832,0.10766497271654109,1.1807331813422866,570.5166904249512,36.175872658431615,0.5704849971692773,0.1741838082657105,historical,IC,180,1.0
2244,0.3663101604278075,0.07319088590076715,1.1188378807332602,164.2403479613215,53.9565600335701,0.6007130124777184,0.1769162210338681,historical,GETLEVERAGED,5,0.42363602038889936
3414,0.36760398359695373,0.060427461332839036,1.0986096160449834,206.29935299031246,67.22861265919889,0.5969537199765671,0.1704745166959578,historical,GETLEVERAGED,10,0.6445157636397961
4114,0.3665532328633933,0.05966860780340614,1.0974037079213965,245.47665250321285,64.33349330105733,0.5960136120563928,0.17160913952357804,historical,GETLEVERAGED,15,0.7766660373796489
5082,0.3654073199527745,0.05569711634440041,1.0913491429406388,283.05274526224287,53.56362656102519,0.5909090909090909,0.16843762298307752,historical,GETLEVERAGED,30,0.9594109873513309
