period,cost_model,mode,N,WR,EV_R,PF,SumR,MaxDD_R,InitialStopRate,RightTail2R
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,544,0.33639705882352944,-0.006775397885280672,0.9895933443319518,-3.6858164495926857,46.27538275912326,0.6397058823529411,0.1636029411764706
forward_2026,GETLEVERAGED,MARKET_RAW,552,0.33152173913043476,-0.0636682110534855,0.9027809087528476,-35.14485250152399,64.25966773714721,0.6376811594202898,0.17753623188405798
forward_2026,GROSS,CONFIRM_CANONICAL,544,0.3694852941176471,0.0815898103512671,1.1341270495537077,44.3848568310893,25.72251807079045,0.6029411764705882,0.19117647058823528
forward_2026,GROSS,MARKET_RAW,552,0.34057971014492755,-0.02274751714631082,0.9643269024032636,-12.556629464763573,49.81148154972119,0.6268115942028986,0.17753623188405798
forward_2026,IC,CONFIRM_CANONICAL,544,0.36580882352941174,0.058042554972556046,1.0926844895020698,31.57514990507049,28.868538961929502,0.6066176470588235,0.1875
forward_2026,IC,MARKET_RAW,552,0.33695652173913043,-0.053066266695630734,0.9193106676106312,-29.292579215988166,64.11012394211727,0.6322463768115942,0.1721014492753623
historical,GETLEVERAGED,CONFIRM_CANONICAL,5297,0.36662261657542006,0.06291084085768345,1.103332887459265,333.23872402314925,56.26122934057247,0.5899565791957712,0.1699074948083821
historical,GETLEVERAGED,MARKET_RAW,5405,0.3652173913043478,0.03941730607829452,1.0648869062682345,213.0505393531819,79.73490455239032,0.5877890841813136,0.16466234967622573
historical,GROSS,CONFIRM_CANONICAL,5297,0.39116481026996414,0.1447911123141743,1.25045164318429,766.9585219281813,31.123306879905414,0.5631489522371154,0.18406645270908062
historical,GROSS,MARKET_RAW,5405,0.3992599444958372,0.13946944012422285,1.2448932070653587,753.8323238714246,26.80755194767255,0.5548566142460685,0.17890841813135985
historical,IC,CONFIRM_CANONICAL,5299,0.3838460086808832,0.10766497271654109,1.1807331813422866,570.5166904249512,36.175872658431615,0.5704849971692773,0.1741838082657105
historical,IC,MARKET_RAW,5405,0.39222941720629045,0.11020819044376975,1.1881498420798824,595.6752693485755,32.091769100833346,0.5602220166512488,0.17317298797409805
