cost_model,year,N,WR,EV_R,PF,SumR,MaxDD_R,InitialStopRate,RightTail2R
GETLEVERAGED,2021,1070,0.3850467289719626,0.06565754151494542,1.1113845881183229,70.2535694209916,35.32390206465793,0.5719626168224299,0.15981308411214953
GETLEVERAGED,2022,1008,0.3869047619047619,0.1360950860743487,1.232973054043868,137.1838467629435,30.724072922904114,0.5674603174603174,0.18154761904761904
GETLEVERAGED,2023,1064,0.35150375939849626,0.0546454703054266,1.087664492128413,58.142780404973905,34.447426333009936,0.6005639097744361,0.16635338345864661
GETLEVERAGED,2024,1078,0.3608534322820037,0.04011745103019118,1.0652820751537198,43.24661221054609,49.75946788429861,0.5983302411873841,0.17161410018552875
GETLEVERAGED,2025,1077,0.3500464252553389,0.022666587951433812,1.0359191374844123,24.411915223694216,56.26122934057277,0.6100278551532033,0.17084493964716807
GROSS,2021,1071,0.3949579831932773,0.11101301398339405,1.1924879162546946,118.89493797621503,31.123306879905414,0.5630252100840336,0.1746031746031746
GROSS,2022,1009,0.41526263627353815,0.22518774774101893,1.4062528610487872,227.2144374706881,24.28522587595191,0.5401387512388504,0.19722497522299307
GROSS,2023,1065,0.38309859154929576,0.1713718459761027,1.2954924599576745,182.51101596454936,28.420067685928586,0.5633802816901409,0.18403755868544602
GROSS,2024,1075,0.3851162790697674,0.10164591850563735,1.1734554277991442,109.26936239356016,27.461845205680774,0.5711627906976744,0.17488372093023255
GROSS,2025,1077,0.3788300835654596,0.11984101032791886,1.2023887146154095,129.0687681231686,20.423905727783932,0.5766016713091922,0.1903435468895079
IC,2021,1071,0.39402427637721754,0.10174910294455719,1.1749091567689494,108.97328925362075,30.081921033865683,0.5620915032679739,0.16619981325863678
IC,2022,1009,0.40237859266600595,0.17374293090497941,1.3028762890055716,175.30661728312424,26.22009306181465,0.5510406342913776,0.18929633300297324
IC,2023,1066,0.3705440900562852,0.11532281351531072,1.189935205232493,122.93411920732123,30.39471464445275,0.575046904315197,0.1726078799249531
IC,2024,1075,0.38325581395348834,0.07747165385993965,1.1294288284007292,83.28202789943512,36.17587265843104,0.5748837209302325,0.16744186046511628
IC,2025,1078,0.37012987012987014,0.07423064636498128,1.1204867242743215,80.02063678144982,33.28576591187103,0.588126159554731,0.17625231910946196
