year,n,trades_per_week,ev,pf,positive_rate,total_R,gross_ev,tp_rate,max_dd_R,worst_day_R,max_consec_losses,stress05_ev,stress10_ev,buy_ev,sell_ev,back_ev,through_ev,correct_rate,median_wait_entry_min,median_vs_retest_entry_atr
2022,830,27.353870096580767,-0.14208441085189322,0.7832552639388001,0.3686746987951807,-117.93006100707136,-0.08628436447904671,0.35180722891566263,121.25010778994083,-7.623088276948162,13,-0.19788445722473968,-0.25368450359758615,-0.1690923227363373,-0.11791294633430852,-0.12322729162248204,-0.15996768824316573,0.8289156626506025,8.0,-0.20568546998660694
2023,1518,29.448045449646656,-0.24947504543774932,0.6455961565976217,0.32806324110671936,-378.70311897450347,-0.18917327982699164,0.30764163372859027,381.6043306244939,-10.536339164680612,15,-0.309776811048507,-0.3700785766592647,-0.18845625372434086,-0.3119582881522796,-0.2917163806896513,-0.2102394468746739,0.8188405797101449,7.0,-0.20169186945688883
2024,1456,27.941575155733585,-0.1846261868033519,0.7262158602618894,0.34615384615384615,-268.8157279856804,-0.14078251355385987,0.32623626373626374,276.10376281956223,-11.458229938709135,17,-0.22846986005284395,-0.272313533302336,-0.20559617335309188,-0.16128223951213194,-0.18803161934028545,-0.18096850000442327,0.8447802197802198,8.0,-0.20154881856387852
2025,642,25.12622595649844,-0.21985598293220562,0.6797114233609743,0.32554517133956384,-141.147541042476,-0.19263430386095157,0.3099688473520249,144.05844973903916,-8.786526212150688,21,-0.2470776620034597,-0.2742993410747137,-0.24800996970122893,-0.1904467228677481,-0.2077760720776064,-0.23320329426991032,0.8566978193146417,8.0,-0.20720298197194986
