split,branch,n,signal_correct,lab005_retest_entry_ev_noncausal_selected,lab004_market_ev_same_signals,lab006_actual_ev,median_entry_deterioration_atr,median_wait_from_decision_min
DISCOVERY,PRIMARY_BOTH,4952,0.8327948303715671,0.19494838477014942,-0.3935050254978083,-0.2124336217291354,0.2068063507146296,8.0
DISCOVERY,REACCEL_ONLY,9862,0.8357331170148043,0.1998639373725618,-0.3543635175238717,-0.20125657919622697,0.1996157660716848,7.0
DISCOVERY,IFVG_ONLY,7749,0.7567428055232933,-0.019214478457274125,-0.47336726540064605,-0.21936092696109064,0.0424318358139345,7.0
CONFIRMATION,PRIMARY_BOTH,4356,0.8457300275482094,0.18929994106152703,-0.3906073250502715,-0.18305137568186336,0.20515266340089466,8.0
CONFIRMATION,REACCEL_ONLY,8514,0.845900869156683,0.19391892518691575,-0.34109005645401547,-0.16543639545592995,0.1978360520854051,7.0
CONFIRMATION,IFVG_ONLY,6570,0.7634703196347032,0.0031742837793037096,-0.471661175459804,-0.1893897135093307,0.033232129155401954,7.0
