split,branch,target,n,trades_per_week,ev,pf,positive_rate,total_R,gross_ev,tp_rate,max_dd_R,worst_day_R,max_consec_losses,stress05_ev,stress10_ev,buy_ev,sell_ev,back_ev,through_ev,correct_rate,median_wait_entry_min,median_vs_retest_entry_atr
DISCOVERY,PRIMARY_BOTH,1.5,2348,28.509767925932888,-0.21151327937886488,0.6920410538853594,0.3424190800681431,-496.63317998157476,-0.15280283700808434,0.32325383304940375,497.2269416314136,-10.536339164680612,15,-0.27022372174964543,-0.3289341641204261,-0.18191258049391207,-0.24041631869413876,-0.2317431718939364,-0.19258423733054986,0.8224020442930153,8.0,-0.20279498062874352
DISCOVERY,PRIMARY_BOTH,2.0,2339,28.4004885769834,-0.21640155078254733,0.7060466182469005,0.2932877297990594,-506.16322728037824,-0.1576840534785267,0.2535271483539974,507.7867624403752,-10.036339164680612,20,-0.275119048086568,-0.33383654539058855,-0.19933003420401568,-0.23314059921433367,-0.23616764268980747,-0.19799019514969066,0.8234288157332194,8.0,-0.20273852805198952
DISCOVERY,REACCEL_ONLY,1.5,4460,54.13729405049481,-0.18604149732748373,0.7254766494085798,0.3515695067264574,-829.7450780805775,-0.1276335682555999,0.33542600896860986,830.96109615218,-12.353450796136885,17,-0.24444942639936768,-0.3028573554712515,-0.1748563795481691,-0.19721658810744452,-0.19087553309909577,-0.1802653955295143,0.829372197309417,7.0,-0.19679723204817645
DISCOVERY,REACCEL_ONLY,2.0,4383,53.20263673168582,-0.19388115656646865,0.7341804361843398,0.2997946611909651,-849.781109230832,-0.13554077688775817,0.2626055213324207,850.9943277784245,-16.093076313622554,20,-0.25222153624517907,-0.3105619159238895,-0.19202640800290535,-0.19573844588148884,-0.19848876200606722,-0.18840128216502794,0.8297969427332877,7.0,-0.1963883136229958
DISCOVERY,IFVG_ONLY,1.5,3593,43.61518619051862,-0.2128648082846329,0.6897086785796193,0.3414973559699416,-764.823256166686,-0.1542723398864401,0.3206234344558864,765.2422717295121,-13.564406135304006,17,-0.27145727668282565,-0.3300497450810185,-0.1912363207775413,-0.23374789386998115,-0.22381383048532505,-0.20207911403942064,0.7520178124130253,7.0,-0.054337753826079735
DISCOVERY,IFVG_ONLY,2.0,3525,42.78973874800394,-0.2037760638622986,0.7207294943225249,0.2978723404255319,-718.3106251146025,-0.1452599132334198,0.2550354609929078,720.242728009162,-13.064406135304006,19,-0.2622922144911773,-0.3208083651200561,-0.16630681201856537,-0.23976571788572865,-0.22927798021933482,-0.17877558968082205,0.7526241134751773,7.0,-0.053481347244690045
CONFIRMATION,PRIMARY_BOTH,1.5,2098,26.94335584150847,-0.1954067059238114,0.7118092660800716,0.3398474737845567,-409.96326902815633,-0.15664945796623017,0.32125834127740704,414.8381617207674,-11.458229938709135,21,-0.23416395388139274,-0.272921201838974,-0.21830094522723703,-0.17041249651478746,-0.1941305016248658,-0.1967893661920832,0.8484270734032412,8.0,-0.2032999763036309
CONFIRMATION,PRIMARY_BOTH,2.0,2084,26.76356223722767,-0.19393508304037957,0.7314807062305256,0.2946257197696737,-404.160713056151,-0.1552722156424965,0.2533589251439539,408.95012660164804,-11.458229938709135,21,-0.23259795043826262,-0.27126081783614575,-0.2285467689191407,-0.15619897215751766,-0.18908681638324576,-0.1991805104026931,0.8464491362763915,8.0,-0.2025197725941199
CONFIRMATION,REACCEL_ONLY,1.5,3924,50.335349092908196,-0.16778416056473877,0.7479376614360194,0.35015290519877673,-658.385046056035,-0.12950583062611004,0.33231396534148827,667.5130572704426,-15.039329206736962,17,-0.20606249050336747,-0.24434082044199618,-0.1965908933585527,-0.13675096774556914,-0.18865281210546384,-0.14053965778947958,0.836901121304791,7.0,-0.19634787501570894
CONFIRMATION,REACCEL_ONLY,2.0,3845,49.32197177936595,-0.15964866430891617,0.774999630800895,0.30533159947984395,-613.8491142677826,-0.12152791587387993,0.26423927178153445,622.9852651048245,-14.539329206736962,17,-0.1977694127439523,-0.23589016117898848,-0.17945336336227122,-0.13811293564231988,-0.17358625747758824,-0.1414964097329509,0.8369310793237972,7.0,-0.19485054764267776
CONFIRMATION,IFVG_ONLY,1.5,3122,40.05554615078158,-0.19566638269760123,0.7097283002949626,0.3417680973734785,-610.870446781911,-0.15737096227714076,0.3187059577194106,614.3246281351771,-13.562569695889502,16,-0.2339618031180617,-0.2722572235385221,-0.1852657209438805,-0.20708753948898542,-0.22518494045477122,-0.16378791359408856,0.7565663036515055,7.0,-0.040950702460465165
CONFIRMATION,IFVG_ONLY,2.0,3068,39.36272120134462,-0.1860857683791583,0.74052433344403,0.2985658409387223,-570.9111373872577,-0.14788093965655175,0.25391134289439377,575.7292247203761,-14.477324395025596,20,-0.22429059710176483,-0.26249542582437135,-0.1712548750595445,-0.20233491652441823,-0.2075999725122596,-0.16327117581625236,0.758148631029987,7.0,-0.043035697155692124
