date,status,rows
2021-01-01,404,0
2021-01-07,404,0
2021-01-19,404,0
2021-01-25,404,0
2021-02-08,404,0
2021-02-17,404,0
2021-02-25,404,0
2021-03-04,404,0
2021-03-14,404,0
2021-03-24,404,0
2021-04-08,404,0
2021-04-15,404,0
2021-04-22,404,0
2021-04-27,404,0
2021-05-05,404,0
2021-05-15,404,0
2021-05-28,404,0
2021-06-07,404,0
2021-06-17,404,0
2021-06-26,404,0
2021-07-14,404,0
2021-07-25,404,0
2021-08-01,404,0
2021-08-08,404,0
2021-08-18,404,0
2021-08-22,404,0
2021-08-27,404,0
2021-09-10,404,0
2021-09-27,404,0
2021-10-05,404,0
2021-10-15,404,0
2021-10-23,404,0
2021-10-29,404,0
2021-11-08,404,0
2021-11-16,404,0
2021-11-25,404,0
2021-12-03,404,0
2021-12-09,404,0
2021-12-14,404,0
2021-12-21,404,0
2021-12-28,404,0
2022-01-28,404,0
2022-02-12,404,0
2022-02-17,404,0
2022-02-28,404,0
2022-03-11,404,0
2022-03-19,404,0
2022-03-31,404,0
2022-04-09,404,0
2022-04-17,404,0
2022-04-25,404,0
2022-04-29,404,0
2022-05-07,404,0
2022-05-15,404,0
2022-05-22,404,0
2022-05-28,404,0
2022-06-04,404,0
2022-06-13,404,0
2022-06-28,404,0
2022-07-11,404,0
2022-07-21,404,0
2022-08-01,404,0
2022-08-07,404,0
2022-08-11,404,0
2022-08-15,404,0
2022-08-27,404,0
2022-09-04,404,0
2022-09-16,404,0
2022-09-22,404,0
2022-10-01,404,0
2022-10-07,404,0
2022-10-14,404,0
2022-11-07,404,0
2022-11-13,404,0
2022-11-28,404,0
2022-12-12,404,0
2022-12-19,404,0
2023-01-18,404,0
2023-01-30,404,0
2023-02-12,404,0
2023-02-21,404,0
2023-03-02,404,0
2023-03-13,404,0
2023-03-23,404,0
2023-04-05,404,0
2023-04-14,404,0
2023-04-26,404,0
2023-05-04,404,0
2023-05-12,404,0
2023-05-22,404,0
2023-06-01,404,0
2023-06-10,404,0
2023-06-19,404,0
2023-07-05,404,0
2023-07-20,404,0
2023-08-01,404,0
2023-08-10,404,0
2023-08-24,404,0
2023-09-11,404,0
2023-09-29,404,0
2023-10-08,404,0
2023-10-16,404,0
2023-10-26,404,0
2023-11-04,404,0
2023-11-15,404,0
2023-11-26,404,0
2023-12-13,404,0
2023-12-20,404,0
2023-12-28,404,0
2024-01-04,404,0
2024-01-16,404,0
2024-01-21,404,0
2024-01-31,404,0
2024-02-05,404,0
2024-02-11,404,0
2024-02-21,404,0
2024-02-28,404,0
2024-03-10,404,0
2024-03-17,404,0
2024-03-29,404,0
