sample,n,full_mean,full_hit,resid_n,resid_mean,resid_hit
OI_BACKED,747,2.7752200686171697,0.6934404283801874,747,0.463104070630886,0.4779116465863454
NO_OI_BACKING,618,2.605622032519371,0.7281553398058253,618,0.21978432729646277,0.46440129449838186
OI_FLUSH,658,2.3671772004281553,0.6914893617021277,658,-0.12217146316655043,0.43465045592705165
NO_OI_FLUSH,702,3.0192607786949175,0.7264957264957265,702,0.8049061534159507,0.5071225071225072
