sample,n,full_mean,full_hit,resid_n,resid_mean,resid_hit
ALL,3196,0.34723565954371016,0.5087609511889862,1980,0.3008571698682554,0.47929292929292927
NO_TOUCH,1216,-2.4916902953464053,0.2631578947368421,0,,
ACCEPT,1365,2.6984350237025625,0.7091575091575092,1365,0.35294172529705925,0.4717948717948718
REJECT,604,0.6957259610170681,0.5447019867549668,604,0.1886287107759267,0.5049668874172185
UNRESOLVED,11,3.279843566783622,0.8181818181818182,11,0.0,0.0
